URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип,Диаметр кабеля,Диаметр отверстия бокса,Степень защиты
https://001.com.ua/salnik-pg16-diametr-kabelya-10-14-mm-ip54-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/salniki/asko-salnik-pg16-photo.jpg ;; https://001.com.ua/media/photos/asko/salniki/gabaritnye-razmery-asko-salnik-pg16-photo.jpg,"Сальник PG16 диаметр кабеля 10-14 мм IP54, АСКО-УКРЕМ",Сальники,АСКО-УКРЕМ,A0150050005,A0150050005,instock,1,12,"12,88","Сальник PG16 диаметр кабеля 10-14 мм IP54, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для механической защиты вводов электрических устройств от воздействия природных факторов и дополнительной фиксации проводов.</p><p><strong>Материал изготовления:</strong></p><ul><li>корпус - полиамид (PA66)</li><li>уплотнитель - маслоустойчивая резина</li></ul><p><strong>Диапазон рабочих температур:</strong> -25...+150°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Диаметр кабеля, мм</td><td>10-14</td></tr><tr><td>Диаметр отверстия бокса, мм</td><td>22</td></tr><tr><td>Степень защиты</td><td>IP54</td></tr></tbody></table>","Сальник PG16 діаметр кабелю 10-14 мм IP54, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для механічного захисту вводів електричних пристроїв від впливу природних факторів і додаткової фіксації проводів.</p><p><strong>Матеріал виготовлення:</strong></p><ul><li>корпус - поліамід (PA66)</li><li>ущільнювач - маслостійка гума</li></ul><p><strong>Діапазон робочих температур:</strong> -25 ... + 150°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Діаметр кабелю, мм</td><td>10-14</td></tr><tr><td>Діаметр отвору боксу, мм</td><td>22</td></tr><tr><td>Ступінь захисту</td><td>IP54</td></tr></tbody></table>",Русский ~ Сальник PG,Русский ~ 10-14,Русский ~ 22,Русский ~ IP54
https://001.com.ua/salnik-pg21-diametr-kabelya-13-18-mm-ip54-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/salniki/asko-salnik-pg21-photo.jpg ;; https://001.com.ua/media/photos/asko/salniki/gabaritnye-razmery-asko-salnik-pg21-photo.jpg,"Сальник PG21 диаметр кабеля 13-18 мм IP54, АСКО-УКРЕМ",Сальники,АСКО-УКРЕМ,A0150050007,A0150050007,instock,1,12,"19,54","Сальник PG21 диаметр кабеля 13-18 мм IP54, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для механической защиты вводов электрических устройств от воздействия природных факторов и дополнительной фиксации проводов.</p><p><strong>Материал изготовления:</strong></p><ul><li>корпус - полиамид (PA66)</li><li>уплотнитель - маслоустойчивая резина</li></ul><p><strong>Диапазон рабочих температур:</strong> -25...+150°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Диаметр кабеля, мм</td><td>13-18</td></tr><tr><td>Диаметр отверстия бокса, мм</td><td>27</td></tr><tr><td>Степень защиты</td><td>IP54</td></tr></tbody></table>","Сальник PG21 діаметр кабелю 13-18 мм IP54, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для механічного захисту вводів електричних пристроїв від впливу природних факторів і додаткової фіксації проводів.</p><p><strong>Матеріал виготовлення:</strong></p><ul><li>корпус - поліамід (PA66)</li><li>ущільнювач - маслостійка гума</li></ul><p><strong>Діапазон робочих температур:</strong> -25 ... + 150°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Діаметр кабелю, мм</td><td>13-18</td></tr><tr><td>Діаметр отвору боксу, мм</td><td>27</td></tr><tr><td>Ступінь захисту</td><td>IP54</td></tr></tbody></table>",Русский ~ Сальник PG,Русский ~ 13-18,Русский ~ 27,Русский ~ IP54
https://001.com.ua/salnik-pg7-diametr-kabelya-3-5-6-mm-ip54-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/salniki/asko-salnik-pg7-photo.jpg ;; https://001.com.ua/media/photos/asko/salniki/gabaritnye-razmery-asko-salnik-pg7-photo.jpg,"Сальник PG7 диаметр кабеля 3.5-6 мм IP54, АСКО-УКРЕМ",Сальники,АСКО-УКРЕМ,A0150050001,A0150050001,instock,1,12,"6,30","Сальник PG7 диаметр кабеля 3.5-6 мм IP54, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для механической защиты вводов электрических устройств от воздействия природных факторов и дополнительной фиксации проводов.</p><p><strong>Материал изготовления:</strong></p><ul><li>корпус - полиамид (PA66)</li><li>уплотнитель - маслоустойчивая резина</li></ul><p><strong>Диапазон рабочих температур:</strong> -25...+150°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Диаметр кабеля, мм</td><td>3,5-6</td></tr><tr><td>Диаметр отверстия бокса, мм</td><td>12</td></tr><tr><td>Степень защиты</td><td>IP54</td></tr></tbody></table>","Сальник PG7 діаметр кабелю 3.5-6 мм IP54, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для механічного захисту вводів електричних пристроїв від впливу природних факторів і додаткової фіксації проводів.</p><p><strong>Матеріал виготовлення:</strong></p><ul><li>корпус - поліамід (PA66)</li><li>ущільнювач - маслостійка гума</li></ul><p><strong>Діапазон робочих температур:</strong> -25 ... + 150°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Діаметр кабелю, мм</td><td>3,5-6</td></tr><tr><td>Діаметр отвору боксу, мм</td><td>12</td></tr><tr><td>Ступінь захисту</td><td>IP54</td></tr></tbody></table>",Русский ~ Сальник PG,"Русский ~ 3,5-6",Русский ~ 12,Русский ~ IP54
https://001.com.ua/salnik-pg-13-5-diametr-kabelya-7-11-mm-ip54-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-salnik-pg-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/iek-salnik-big-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-pg-13-5-photo.jpg,"Сальник PG 13.5 диаметр кабеля 7-11 мм IP54, IEK",Сальники,IEK,YSA20-12-13-54-K41,YSA20-12-13-54-K41,instock,1,12,"11,16","Сальник PG 13.5 диаметр кабеля 7-11 мм IP54, IEK","<h2>Описание товара</h2><p>Предназначены для ввода проводов и кабелей в электрощитовое оборудование с целью защиты проводников от механического повреждения и защиты самой сборки от проникновения пыли и влаги в месте ввода.</p><p>Уплотнитель и прокладка выполнены из неопрена.</p><p>Корпус, гайка уплотнения и фиксирующая гайка выполнены из нейлона. Установка сальника производится при помощи трубного (газового) ключа.</p><p>Диапазон рабочих температур от -40 до +80 °С.</p> <h2>Технические характеристики</h2><p>Степень защиты: IP54<br/>Цвет: серый RAL 7035</p> ","Сальник PG 13.5 діаметр кабелю 7-11 мм IP54, IEK","<h2>Опис товару</h2><p>Призначені для введення проводів та кабелів в електрощитове обладнання з метою захисту провідників від механічного пошкодження і захисту самої збірки від проникнення пилу і вологи в місці введення.</p><p>Ущільнювач і прокладка виконані з неопрену.</p><p>Корпус, гайка ущільнення і фіксуюча гайка виконані з нейлону. Установка сальника проводиться за допомогою трубного (газового) ключа.</p><p>Діапазон робочих температур від -40 до +80 °С.</p> <h2>Технічні характеристики</h2><p>Ступінь захисту: IP54<br/>Колір: сірий RAL 7035</p> ",Русский ~ Сальник PG,Русский ~ 7-11,Русский ~ 20,Русский ~ IP54
https://001.com.ua/salnik-pg9-diametr-kabelya-4-8-mm-ip54-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/salniki/asko-salnik-pg9-photo.jpg ;; https://001.com.ua/media/photos/asko/salniki/gabaritnye-razmery-asko-salnik-pg9-photo.jpg,"Сальник PG9 диаметр кабеля 4-8 мм IP54, АСКО-УКРЕМ",Сальники,АСКО-УКРЕМ,A0150050002,A0150050002,instock,1,12,"7,43","Сальник PG9 диаметр кабеля 4-8 мм IP54, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для механической защиты вводов электрических устройств от воздействия природных факторов и дополнительной фиксации проводов.</p><p><strong>Материал изготовления:</strong></p><ul><li>корпус - полиамид (PA66)</li><li>уплотнитель - маслоустойчивая резина</li></ul><p><strong>Диапазон рабочих температур:</strong> -25...+150°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Диаметр кабеля, мм</td><td>4-8</td></tr><tr><td>Диаметр отверстия бокса, мм</td><td>16</td></tr><tr><td>Степень защиты</td><td>IP54</td></tr></tbody></table>","Сальник PG9 діаметр кабелю 4-8 мм IP54, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для механічного захисту вводів електричних пристроїв від впливу природних факторів і додаткової фіксації проводів.</p><p><strong>Матеріал виготовлення:</strong></p><ul><li>корпус - поліамід (PA66)</li><li>ущільнювач - маслостійка гума</li></ul><p><strong>Діапазон робочих температур:</strong> -25 ... + 150°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Діаметр кабелю, мм</td><td>4-8</td></tr><tr><td>Діаметр отвору боксу, мм</td><td>16</td></tr><tr><td>Ступінь захисту</td><td>IP54</td></tr></tbody></table>",Русский ~ Сальник PG,Русский ~ 4-8,Русский ~ 16,Русский ~ IP54
https://001.com.ua/salnik-pg-7-diametr-kabelya-5-6-mm-ip54-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-salnik-pg-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/iek-salnik-big-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-pg-7-photo.jpg,"Сальник PG 7 диаметр кабеля 5-6 мм IP54, IEK",Сальники,IEK,YSA20-06-07-54-K41,YSA20-06-07-54-K41,instock,1,12,"5,94","Сальник PG 7 диаметр кабеля 5-6 мм IP54, IEK","<h2>Описание товара</h2><p>Предназначены для ввода проводов и кабелей в электрощитовое оборудование с целью защиты проводников от механического повреждения и защиты самой сборки от проникновения пыли и влаги в месте ввода.</p><p>Уплотнитель и прокладка выполнены из неопрена.</p><p>Корпус, гайка уплотнения и фиксирующая гайка выполнены из нейлона. Установка сальника производится при помощи трубного (газового) ключа.</p><p>Диапазон рабочих температур от -40 до +80 °С.</p> <h2>Технические характеристики</h2><p>Степень защиты: IP54<br/>Цвет: серый RAL 7035</p> ","Сальник PG 7 діаметр кабелю 5-6 мм IP54, IEK","<h2>Опис товару</h2><p>Призначені для введення проводів та кабелів в електрощитове обладнання з метою захисту провідників від механічного пошкодження і захисту самої збірки від проникнення пилу і вологи в місці введення.</p><p>Ущільнювач і прокладка виконані з неопрену.</p><p>Корпус, гайка ущільнення і фіксуюча гайка виконані з нейлону. Установка сальника проводиться за допомогою трубного (газового) ключа.</p><p>Діапазон робочих температур від -40 до +80 °С.</p> <h2>Технічні характеристики</h2><p>Ступінь захисту: IP54<br/>Колір: сірий RAL 7035</p> ",Русский ~ Сальник PG,Русский ~ 5-6,Русский ~ 12,Русский ~ IP54
https://001.com.ua/salnik-pg-16-diametr-kabelya-9-13-mm-ip54-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-salnik-pg-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/iek-salnik-big-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-pg-16-photo.jpg,"Сальник PG 16 диаметр кабеля 9-13 мм IP54, IEK",Сальники,IEK,YSA20-14-16-54-K41,YSA20-14-16-54-K41,instock,1,12,"13,55","Сальник PG 16 диаметр кабеля 9-13 мм IP54, IEK","<h2>Описание товара</h2><p>Предназначены для ввода проводов и кабелей в электрощитовое оборудование с целью защиты проводников от механического повреждения и защиты самой сборки от проникновения пыли и влаги в месте ввода.</p><p>Уплотнитель и прокладка выполнены из неопрена.</p><p>Корпус, гайка уплотнения и фиксирующая гайка выполнены из нейлона. Установка сальника производится при помощи трубного (газового) ключа.</p><p>Диапазон рабочих температур от -40 до +80 °С.</p> <h2>Технические характеристики</h2><p>Степень защиты: IP54<br/>Цвет: серый RAL 7035</p> ","Сальник PG 16 діаметр кабелю 9-13 мм IP54, IEK","<h2>Опис товару</h2><p>Призначені для введення проводів та кабелів в електрощитове обладнання з метою захисту провідників від механічного пошкодження і захисту самої збірки від проникнення пилу і вологи в місці введення.</p><p>Ущільнювач і прокладка виконані з неопрену.</p><p>Корпус, гайка ущільнення і фіксуюча гайка виконані з нейлону. Установка сальника проводиться за допомогою трубного (газового) ключа.</p><p>Діапазон робочих температур від -40 до +80 °С.</p> <h2>Технічні характеристики</h2><p>Ступінь захисту: IP54<br/>Колір: сірий RAL 7035</p> ",Русский ~ Сальник PG,Русский ~ 9-13,Русский ~ 22,Русский ~ IP54
https://001.com.ua/salnik-pg-29-diametr-kabelya-18-24-mm-ip54-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-salnik-pg-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/iek-salnik-big-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-pg-29-photo.jpg,"Сальник PG 29 диаметр кабеля 18-24 мм IP54, IEK",Сальники,IEK,YSA20-25-29-54-K41,YSA20-25-29-54-K41,instock,1,12,"33,51","Сальник PG 29 диаметр кабеля 18-24 мм IP54, IEK","<h2>Описание товара</h2><p>Предназначены для ввода проводов и кабелей в электрощитовое оборудование с целью защиты проводников от механического повреждения и защиты самой сборки от проникновения пыли и влаги в месте ввода.</p><p>Уплотнитель и прокладка выполнены из неопрена.</p><p>Корпус, гайка уплотнения и фиксирующая гайка выполнены из нейлона. Установка сальника производится при помощи трубного (газового) ключа.</p><p>Диапазон рабочих температур от -40 до +80 °С.</p> <h2>Технические характеристики</h2><p>Степень защиты: IP54<br/>Цвет: серый RAL 7035</p> ","Сальник PG 29 діаметр кабелю 18-24 мм IP54, IEK","<h2>Опис товару</h2><p>Призначені для введення проводів та кабелів в електрощитове обладнання з метою захисту провідників від механічного пошкодження і захисту самої збірки від проникнення пилу і вологи в місці введення.</p><p>Ущільнювач і прокладка виконані з неопрену.</p><p>Корпус, гайка ущільнення і фіксуюча гайка виконані з нейлону. Установка сальника проводиться за допомогою трубного (газового) ключа.</p><p>Діапазон робочих температур від -40 до +80 °С.</p> <h2>Технічні характеристики</h2><p>Ступінь захисту: IP54<br/>Колір: сірий RAL 7035</p> ",Русский ~ Сальник PG,Русский ~ 18-24,Русский ~ 36,Русский ~ IP54
https://001.com.ua/salnik-pg11-diametr-kabelya-5-10-mm-ip54-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/salniki/asko-salnik-pg11-photo.jpg ;; https://001.com.ua/media/photos/asko/salniki/gabaritnye-razmery-asko-salnik-pg11-photo.jpg,"Сальник PG11 диаметр кабеля 5-10 мм IP54, АСКО-УКРЕМ",Сальники,АСКО-УКРЕМ,A0150050003,A0150050003,instock,1,12,"8,93","Сальник PG11 диаметр кабеля 5-10 мм IP54, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для механической защиты вводов электрических устройств от воздействия природных факторов и дополнительной фиксации проводов.</p><p><strong>Материал изготовления:</strong></p><ul><li>корпус - полиамид (PA66)</li><li>уплотнитель - маслоустойчивая резина</li></ul><p><strong>Диапазон рабочих температур:</strong> -25...+150°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Диаметр кабеля, мм</td><td>5-10</td></tr><tr><td>Диаметр отверстия бокса, мм</td><td>18</td></tr><tr><td>Степень защиты</td><td>IP54</td></tr></tbody></table>","Сальник PG11 діаметр кабелю 5-10 мм IP54, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для механічного захисту вводів електричних пристроїв від впливу природних факторів і додаткової фіксації проводів.</p><p><strong>Матеріал виготовлення:</strong></p><ul><li>корпус - поліамід (PA66)</li><li>ущільнювач - маслостійка гума</li></ul><p><strong>Діапазон робочих температур:</strong> -25 ... + 150°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Діаметр кабелю, мм</td><td>5-10</td></tr><tr><td>Діаметр отвору боксу, мм</td><td>18</td></tr><tr><td>Ступінь захисту</td><td>IP54</td></tr></tbody></table>",Русский ~ Сальник PG,Русский ~ 5-10,Русский ~ 18,Русский ~ IP54
https://001.com.ua/salnik-pg13-5-diametr-kabelya-6-12-mm-ip54-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/salniki/asko-salnik-pg13-5-photo.jpg ;; https://001.com.ua/media/photos/asko/salniki/gabaritnye-razmery-asko-salnik-pg13-5-photo.jpg,"Сальник PG13.5 диаметр кабеля 6-12 мм IP54, АСКО-УКРЕМ",Сальники,АСКО-УКРЕМ,A0150050004,A0150050004,instock,1,12,"10,41","Сальник PG13.5 диаметр кабеля 6-12 мм IP54, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для механической защиты вводов электрических устройств от воздействия природных факторов и дополнительной фиксации проводов.</p><p><strong>Материал изготовления:</strong></p><ul><li>корпус - полиамид (PA66)</li><li>уплотнитель - маслоустойчивая резина</li></ul><p><strong>Диапазон рабочих температур:</strong> -25...+150°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Диаметр кабеля, мм</td><td>6-12</td></tr><tr><td>Диаметр отверстия бокса, мм</td><td>20</td></tr><tr><td>Степень защиты</td><td>IP54</td></tr></tbody></table>","Сальник PG13.5 діаметр кабелю 6-12 мм IP54, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для механічного захисту вводів електричних пристроїв від впливу природних факторів і додаткової фіксації проводів.</p><p><strong>Матеріал виготовлення:</strong></p><ul><li>корпус - поліамід (PA66)</li><li>ущільнювач - маслостійка гума</li></ul><p><strong>Діапазон робочих температур:</strong> -25 ... + 150°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип сальника</td><td>PG</td></tr><tr><td>Діаметр кабелю, мм</td><td>6-12</td></tr><tr><td>Діаметр отвору боксу, мм</td><td>20</td></tr><tr><td>Ступінь захисту</td><td>IP54</td></tr></tbody></table>",Русский ~ Сальник PG,Русский ~ 6-12,Русский ~ 20,Русский ~ IP54
