URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип,Габариты,Количество отверстий,Цвет товара
https://001.com.ua/shina-nulevaya-s-din-izolyatorom-shni-6x9-12-d-s-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-nulevaya-s-din-izolyatorom-shni-6x9-12-d-s-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shni-6x9-12-d-photo.jpg,"Шина нулевая с DIN-изолятором ШНИ-6x9-12-Д-С, IEK",Шины нулевые,IEK,YNN10-69-12D-K07,YNN10-69-12D-K07,instock,1,12,"52,01","Шина нулевая с DIN-изолятором ШНИ-6x9-12-Д-С, IEK","<h2>Описание товара</h2><p><strong>Шины нулевые с изолятором типа ШНИ</strong> предназначены для электрического и механического соединения нулевых рабочих и нулевых защитных проводников. Конструктивно шины ШНИ выполнены из латунной шины, установленной в/на пластиковый изолятор, изготовленный из самозатухающего пластика.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>с DIN-изолятором</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>12</td></tr><tr><td>Цвет изолятора</td><td>синий</td></tr></tbody></table>","Шина нульова з DIN-ізолятором ШНИ-6x9-12-Д-С, IEK","<h2>Опис товару</h2><p><strong>Шини нульові з ізолятором типу ШНИ</strong> призначені для електричного і механічного з'єднання нульових робочих і нульових захисних провідників. Конструктивно шини ШНИ виконані з латунної шини, встановленої в/на пластиковий ізолятор, виготовлений з самозатухаючого пластика.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>з DIN-ізолятором</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>12</td></tr><tr><td>Колір ізолятора</td><td>синій</td></tr></tbody></table>",Русский ~ с DIN-изолятором,Русский ~ 6х9,Русский ~ 12,Русский ~ Синий
https://001.com.ua/shina-nulevaya-s-din-izolyatorom-shni-6x9-6-d-s-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-nulevaya-s-din-izolyatorom-shni-6x9-6-d-s-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shni-6x9-6-d-photo.jpg,"Шина нулевая с DIN-изолятором ШНИ-6x9-6-Д-С, IEK",Шины нулевые,IEK,YNN10-69-6D-K07,YNN10-69-6D-K07,instock,1,12,"35,60","Шина нулевая с DIN-изолятором ШНИ-6x9-6-Д-С, IEK","<h2>Описание товара</h2><p><strong>Шины нулевые с изолятором типа ШНИ</strong> предназначены для электрического и механического соединения нулевых рабочих и нулевых защитных проводников. Конструктивно шины ШНИ выполнены из латунной шины, установленной в/на пластиковый изолятор, изготовленный из самозатухающего пластика.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>с DIN-изолятором</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>6</td></tr><tr><td>Цвет изолятора</td><td>синий</td></tr></tbody></table>","Шина нульова з DIN-ізолятором ШНИ-6x9-6-Д-С, IEK","<h2>Опис товару</h2><p><strong>Шини нульові з ізолятором типу ШНИ</strong> призначені для електричного і механічного з'єднання нульових робочих і нульових захисних провідників. Конструктивно шини ШНИ виконані з латунної шини, встановленої в/на пластиковий ізолятор, виготовлений з самозатухаючого пластика.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>з DIN-ізолятором</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>6</td></tr><tr><td>Колір ізолятора</td><td>синій</td></tr></tbody></table>",Русский ~ с DIN-изолятором,Русский ~ 6х9,Русский ~ 6,Русский ~ Синий
https://001.com.ua/shina-nulevaya-s-din-izolyatorom-shni-6x9-10-d-s-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-nulevaya-s-din-izolyatorom-shni-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shni-6x9-10-d-photo.jpg,"Шина нулевая с DIN-изолятором ШНИ-6x9-10-Д-С, IEK",Шины нулевые,IEK,YNN10-69-10D-K07,YNN10-69-10D-K07,instock,1,12,"48,17","Шина нулевая с DIN-изолятором ШНИ-6x9-10-Д-С, IEK","<h2>Описание товара</h2><p><strong>Шины нулевые с изолятором типа ШНИ</strong> предназначены для электрического и механического соединения нулевых рабочих и нулевых защитных проводников. Конструктивно шины ШНИ выполнены из латунной шины, установленной в/на пластиковый изолятор, изготовленный из самозатухающего пластика.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>с DIN-изолятором</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>10</td></tr><tr><td>Цвет изолятора</td><td>синий</td></tr></tbody></table>","Шина нульова з DIN-ізолятором ШНИ-6x9-10-Д-С, IEK","<h2>Опис товару</h2><p><strong>Шини нульові з ізолятором типу ШНИ</strong> призначені для електричного і механічного з'єднання нульових робочих і нульових захисних провідників. Конструктивно шини ШНИ виконані з латунної шини, встановленої в/на пластиковий ізолятор, виготовлений з самозатухаючого пластика.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>з DIN-ізолятором</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>10</td></tr><tr><td>Колір ізолятора</td><td>синій</td></tr></tbody></table>",Русский ~ с DIN-изолятором,Русский ~ 6х9,Русский ~ 10,Русский ~ Синий
https://001.com.ua/shina-nulevaya-na-dvuh-uglovyh-izolyatorah-shni-6x9-6-u2-s-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-nulevaya-na-dvuh-uglovyh-izolyatorah-shni-6x9-6-u2-s-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shni-6x9-6-u2-photo.jpg,"Шина нулевая на двух угловых изоляторах ШНИ-6x9-6-У2-С, IEK",Шины нулевые,IEK,YNN10-69-6C2-K07,YNN10-69-6C2-K07,instock,1,12,"38,85","Шина нулевая на двух угловых изоляторах ШНИ-6x9-6-У2-С, IEK","<h2>Описание товара</h2><p><strong>Шины нулевые с изолятором типа ШНИ</strong> предназначены для электрического и механического соединения нулевых рабочих и нулевых защитных проводников. Конструктивно шины ШНИ выполнены из латунной шины, установленной в/на пластиковый изолятор, изготовленный из самозатухающего пластика.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>с двумя угловыми изоляторами</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>6</td></tr><tr><td>Цвет изолятора</td><td>синий</td></tr></tbody></table>","Шина нульова на двох кутових ізоляторах ШНИ-6x9-6-У2-С, IEK","<h2>Опис товару</h2><p><strong>Шини нульові з ізолятором типу ШНИ</strong> призначені для електричного і механічного з'єднання нульових робочих і нульових захисних провідників. Конструктивно шини ШНИ виконані з латунної шини, встановленої в/на пластиковий ізолятор, виготовлений з самозатухаючого пластика.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>з двома кутовими ізоляторами</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>6</td></tr><tr><td>Колір ізолятора</td><td>синій</td></tr></tbody></table>",Русский ~ с двумя угловыми изоляторами,Русский ~ 6х9,Русский ~ 6,Русский ~ Синий
https://001.com.ua/shina-pen-zemlya-nol-6x9-mm-12-2-12-grupp-krepezh-po-krayam-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-pen-zemlya-nol-6x9-mm-12-2-krepezh-po-krayam-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-6x9-12-2-photo.jpg,"Шина PEN «земля-ноль» 6x9 мм 12/2 (12 групп/крепеж по краям), IEK",Шины нулевые,IEK,YNN11-12-100,YNN11-12-100,instock,1,12,"49,80","Шина PEN «земля-ноль» 6x9 мм 12/2 (12 групп/крепеж по краям), IEK","<h2>Описание товара</h2><p>Применяются в щитовом оборудовании для подсоединения нулевых рабочих (N) и нулевых защитных проводов (РЕ). Крепление шины предусмотрено по центру (например, типы 8/1; 14/1) и по краям (например, типы 8/2 и 14/2) через изолятор нулевой шины на 35 мм монтажную DIN-рейку и через угловые изоляторы нулевой шины, а также непосредственно на панель щита. При подключении к шинам медных многожильных проводов рекомендуется оконцевание их наконечниками-гильзами. Выполнены из латуни.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>без изоляторов</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>12</td></tr><tr><td>Цвет изолятора</td><td>-</td></tr></tbody></table>","Шина PEN «земля-нуль» 6x9 мм 12/2 (12 груп/кріплення по краях), IEK","<h2>Опис товару</h2><p>Застосовуються в щитовому обладнанні для під'єднання нульових робочих (N) і нульових захисних проводів (РЕ). Кріплення шини передбачено по центру (наприклад, типи 8/1; 14/1) і по краях (наприклад, типи 8/2 і 14/2) через ізолятор нульової шини на 35 мм монтажну DIN-рейку і через кутові ізолятори нульової шини, а також безпосередньо на панель щита. При підключенні до шин мідних багатожильних проводів рекомендується окінцювання їх накінечниками-гільзами. Виконані з латуні.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>без ізоляторів</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>12</td></tr><tr><td>Колір ізолятора</td><td>-</td></tr></tbody></table>",Русский ~ без изоляторов,Русский ~ 6х9,Русский ~ 12,Русский ~ 
https://001.com.ua/shina-pen-zemlya-nol-6x9-mm-14-2-14-grupp-krepezh-po-krayam-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-pen-zemlya-nol-6x9-mm-krepezh-po-krayam-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-6x9-14-2-photo.jpg,"Шина PEN «земля-ноль» 6x9 мм 14/2 (14 групп/крепеж по краям), IEK",Шины нулевые,IEK,YNN11-14-100,YNN11-14-100,instock,1,12,"55,80","Шина PEN «земля-ноль» 6x9 мм 14/2 (14 групп/крепеж по краям), IEK","<h2>Описание товара</h2><p>Применяются в щитовом оборудовании для подсоединения нулевых рабочих (N) и нулевых защитных проводов (РЕ). Крепление шины предусмотрено по центру (например, типы 8/1; 14/1) и по краям (например, типы 8/2 и 14/2) через изолятор нулевой шины на 35 мм монтажную DIN-рейку и через угловые изоляторы нулевой шины, а также непосредственно на панель щита. При подключении к шинам медных многожильных проводов рекомендуется оконцевание их наконечниками-гильзами. Выполнены из латуни.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>без изоляторов</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>14</td></tr><tr><td>Цвет изолятора</td><td>-</td></tr></tbody></table>","Шина PEN «земля-нуль» 6x9 мм 14/2 (14 груп/кріплення по краях), IEK","<h2>Опис товару</h2><p>Застосовуються в щитовому обладнанні для під'єднання нульових робочих (N) і нульових захисних проводів (РЕ). Кріплення шини передбачено по центру (наприклад, типи 8/1; 14/1) і по краях (наприклад, типи 8/2 і 14/2) через ізолятор нульової шини на 35 мм монтажну DIN-рейку і через кутові ізолятори нульової шини, а також безпосередньо на панель щита. При підключенні до шин мідних багатожильних проводів рекомендується окінцювання їх накінечниками-гільзами. Виконані з латуні.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>без ізоляторів</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>14</td></tr><tr><td>Колір ізолятора</td><td>-</td></tr></tbody></table>",Русский ~ без изоляторов,Русский ~ 6х9,Русский ~ 14,Русский ~ 
https://001.com.ua/shina-pen-zemlya-nol-6x9-mm-18-2-18-grupp-krepezh-po-krayam-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-pen-zemlya-nol-6x9-mm-18-2-krepezh-po-krayam-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-6x9-18-2-photo.jpg,"Шина PEN «земля-ноль» 6x9 мм 18/2 (18 групп/крепеж по краям), IEK",Шины нулевые,IEK,YNN11-18-100,YNN11-18-100,instock,1,12,"65,65","Шина PEN «земля-ноль» 6x9 мм 18/2 (18 групп/крепеж по краям), IEK","<h2>Описание товара</h2><p>Применяются в щитовом оборудовании для подсоединения нулевых рабочих (N) и нулевых защитных проводов (РЕ). Крепление шины предусмотрено по центру (например, типы 8/1; 14/1) и по краям (например, типы 8/2 и 14/2) через изолятор нулевой шины на 35 мм монтажную DIN-рейку и через угловые изоляторы нулевой шины, а также непосредственно на панель щита. При подключении к шинам медных многожильных проводов рекомендуется оконцевание их наконечниками-гильзами. Выполнены из латуни.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>без изоляторов</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>18</td></tr><tr><td>Цвет изолятора</td><td>-</td></tr></tbody></table>","Шина PEN «земля-нуль» 6x9 мм 18/2 (18 груп/кріплення по краях), IEK","<h2>Опис товару</h2><p>Застосовуються в щитовому обладнанні для під'єднання нульових робочих (N) і нульових захисних проводів (РЕ). Кріплення шини передбачено по центру (наприклад, типи 8/1; 14/1) і по краях (наприклад, типи 8/2 і 14/2) через ізолятор нульової шини на 35 мм монтажну DIN-рейку і через кутові ізолятори нульової шини, а також безпосередньо на панель щита. При підключенні до шин мідних багатожильних проводів рекомендується окінцювання їх накінечниками-гільзами. Виконані з латуні.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>без ізоляторів</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>18</td></tr><tr><td>Колір ізолятора</td><td>-</td></tr></tbody></table>",Русский ~ без изоляторов,Русский ~ 6х9,Русский ~ 18,Русский ~ 
https://001.com.ua/shina-pen-zemlya-nol-6x9-mm-20-2-20-grupp-krepezh-po-krayam-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-pen-zemlya-nol-6x9-mm-20-2-krepezh-po-krayam-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-6x9-20-2-photo.jpg,"Шина PEN «земля-ноль» 6x9 мм 20/2 (20 групп/крепеж по краям), IEK",Шины нулевые,IEK,YNN11-20-100,YNN11-20-100,instock,1,12,"70,59","Шина PEN «земля-ноль» 6x9 мм 20/2 (20 групп/крепеж по краям), IEK","<h2>Описание товара</h2><p>Применяются в щитовом оборудовании для подсоединения нулевых рабочих (N) и нулевых защитных проводов (РЕ). Крепление шины предусмотрено по центру (например, типы 8/1; 14/1) и по краям (например, типы 8/2 и 14/2) через изолятор нулевой шины на 35 мм монтажную DIN-рейку и через угловые изоляторы нулевой шины, а также непосредственно на панель щита. При подключении к шинам медных многожильных проводов рекомендуется оконцевание их наконечниками-гильзами. Выполнены из латуни.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>без изоляторов</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>20</td></tr><tr><td>Цвет изолятора</td><td>-</td></tr></tbody></table>","Шина PEN «земля-нуль» 6x9 мм 20/2 (20 груп/кріплення по краях), IEK","<h2>Опис товару</h2><p>Застосовуються в щитовому обладнанні для під'єднання нульових робочих (N) і нульових захисних проводів (РЕ). Кріплення шини передбачено по центру (наприклад, типи 8/1; 14/1) і по краях (наприклад, типи 8/2 і 14/2) через ізолятор нульової шини на 35 мм монтажну DIN-рейку і через кутові ізолятори нульової шини, а також безпосередньо на панель щита. При підключенні до шин мідних багатожильних проводів рекомендується окінцювання їх накінечниками-гільзами. Виконані з латуні.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>без ізоляторів</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>20</td></tr><tr><td>Колір ізолятора</td><td>-</td></tr></tbody></table>",Русский ~ без изоляторов,Русский ~ 6х9,Русский ~ 20,Русский ~ 
https://001.com.ua/shina-pen-zemlya-nol-6x9-mm-22-2-22-gruppy-krepezh-po-krayam-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-pen-zemlya-nol-6x9-mm-22-2-krepezh-po-krayam-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-6x9-22-2-photo.jpg,"Шина PEN «земля-ноль» 6x9 мм 22/2 (22 группы/крепеж по краям), IEK",Шины нулевые,IEK,YNN11-22-100,YNN11-22-100,instock,1,12,"76,09","Шина PEN «земля-ноль» 6x9 мм 22/2 (22 группы/крепеж по краям), IEK","<h2>Описание товара</h2><p>Применяются в щитовом оборудовании для подсоединения нулевых рабочих (N) и нулевых защитных проводов (РЕ). Крепление шины предусмотрено по центру (например, типы 8/1; 14/1) и по краям (например, типы 8/2 и 14/2) через изолятор нулевой шины на 35 мм монтажную DIN-рейку и через угловые изоляторы нулевой шины, а также непосредственно на панель щита. При подключении к шинам медных многожильных проводов рекомендуется оконцевание их наконечниками-гильзами. Выполнены из латуни.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>без изоляторов</td></tr><tr><td>Габарит шины</td><td>6х9 мм</td></tr><tr><td>Количество отверстий</td><td>22</td></tr><tr><td>Цвет изолятора</td><td>-</td></tr></tbody></table>","Шина PEN «земля-нуль» 6x9 мм 22/2 (22 групи/кріплення по краях), IEK","<h2>Опис товару</h2><p>Застосовуються в щитовому обладнанні для під'єднання нульових робочих (N) і нульових захисних проводів (РЕ). Кріплення шини передбачено по центру (наприклад, типи 8/1; 14/1) і по краях (наприклад, типи 8/2 і 14/2) через ізолятор нульової шини на 35 мм монтажну DIN-рейку і через кутові ізолятори нульової шини, а також безпосередньо на панель щита. При підключенні до шин мідних багатожильних проводів рекомендується окінцювання їх накінечниками-гільзами. Виконані з латуні.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>без ізоляторів</td></tr><tr><td>Габарит шини</td><td>6х9 мм</td></tr><tr><td>Кількість отворів</td><td>22</td></tr><tr><td>Колір ізолятора</td><td>-</td></tr></tbody></table>",Русский ~ без изоляторов,Русский ~ 6х9,Русский ~ 22,Русский ~ 
https://001.com.ua/shina-pen-zemlya-nol-8x12-mm-10-2-10-grupp-krepezh-po-krayam-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-pen-zemlya-nol-8x12-mm-10-2-krepezh-po-krayam-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-8x12-10-2-photo.jpg,"Шина PEN «земля-ноль» 8x12 мм 10/2 (10 групп/крепеж по краям), IEK",Шины нулевые,IEK,YNN21-10-100,YNN21-10-100,instock,1,12,"86,97","Шина PEN «земля-ноль» 8x12 мм 10/2 (10 групп/крепеж по краям), IEK","<h2>Описание товара</h2><p>Применяются в щитовом оборудовании для подсоединения нулевых рабочих (N) и нулевых защитных проводов (РЕ). Крепление шины предусмотрено по центру (например, типы 8/1; 14/1) и по краям (например, типы 8/2 и 14/2) через изолятор нулевой шины на 35 мм монтажную DIN-рейку и через угловые изоляторы нулевой шины, а также непосредственно на панель щита. При подключении к шинам медных многожильных проводов рекомендуется оконцевание их наконечниками-гильзами. Выполнены из латуни.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>без изоляторов</td></tr><tr><td>Габарит шины</td><td>8x12 мм</td></tr><tr><td>Количество отверстий</td><td>10</td></tr><tr><td>Цвет изолятора</td><td>-</td></tr></tbody></table>","Шина PEN «земля-нуль» 8x12 мм 10/2 (10 груп/кріплення по краях), IEK","<h2>Опис товару</h2><p>Застосовуються в щитовому обладнанні для під'єднання нульових робочих (N) і нульових захисних проводів (РЕ). Кріплення шини передбачено по центру (наприклад, типи 8/1; 14/1) і по краях (наприклад, типи 8/2 і 14/2) через ізолятор нульової шини на 35 мм монтажну DIN-рейку і через кутові ізолятори нульової шини, а також безпосередньо на панель щита. При підключенні до шин мідних багатожильних проводів рекомендується окінцювання їх накінечниками-гільзами. Виконані з латуні.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>без ізоляторів</td></tr><tr><td>Габарит шини</td><td>8x12 мм</td></tr><tr><td>Кількість отворів</td><td>10</td></tr><tr><td>Колір ізолятора</td><td>-</td></tr></tbody></table>",Русский ~ без изоляторов,Русский ~ 8x12,Русский ~ 10,Русский ~ 
