URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description
https://001.com.ua/shina-soedinitelnaya-tipa-pin-shtyr-1p-63-a-shag-18-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-pin-shtyr-2-polyusnaya-shag-18-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-pin-1p-63a-18mm-photo.jpg,"Шина соединительная типа PIN (штырь) 1P 63 А шаг 18 мм, IEK",Шины соединительные,IEK,YNS21-1-063,YNS21-1-063,instock,1,12,"212,43","Шина соединительная типа PIN (штырь) 1P 63 А шаг 18 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу PIN (штир) 1P 63 А крок 18 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
https://001.com.ua/shina-soedinitelnaya-tipa-pin-shtyr-3p-63-a-shag-18-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-pin-shtyr-3-polyusnaya-shag-18-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-pin-3p-63a-18mm-photo.jpg,"Шина соединительная типа PIN (штырь) 3P 63 А шаг 18 мм, IEK",Шины соединительные,IEK,YNS21-3-063,YNS21-3-063,instock,1,12,"699,27","Шина соединительная типа PIN (штырь) 3P 63 А шаг 18 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу PIN (штир) 3P 63 А крок 18 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
https://001.com.ua/shina-soedinitelnaya-tipa-pin-shtyr-3p-100-a-shag-27-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-pin-shtyr-shag-27-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-pin-3p-100a-27mm-photo.jpg,"Шина соединительная типа PIN (штырь) 3P 100 А шаг 27 мм, IEK",Шины соединительные,IEK,YNS51-3-100,YNS51-3-100,instock,1,12,"2 019,64","Шина соединительная типа PIN (штырь) 3P 100 А шаг 27 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу PIN (штир) 3P 100 А крок 27 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
https://001.com.ua/shina-soedinitelnaya-tipa-fork-vilka-3p-100-a-shag-18-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-fork-vilka-3-polyusnaya-shag-18-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-fork-3p-100a-18mm-photo.jpg,"Шина соединительная типа FORK (вилка) 3P 100 А шаг 18 мм, IEK",Шины соединительные,IEK,YNS11-3-100,YNS11-3-100,instock,1,12,"2 090,02","Шина соединительная типа FORK (вилка) 3P 100 А шаг 18 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу FORK (вилка) 3P 100 А крок 18 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
https://001.com.ua/zaglushka-dlya-pin-3p-100-a-shag-27-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-zaglushka-dlya-pin-3p-100-a-shag-27-mm-photo.jpg,"Заглушка для PIN 3P 100 А шаг 27 мм, IEK",Шины соединительные,IEK,YNK51-3-100,YNK51-3-100,instock,1,12,"3,48","Заглушка для PIN 3P 100 А шаг 27 мм, IEK",<h2>Описание товара</h2><p>Используются совместно с шинами PIN 3P 100 А шаг 27 мм.</p> ,"Заглушка для PIN 3P 100 А крок 27 мм, IEK",<h2>Опис товару</h2><p>Використовуються спільно з шинами PIN 3P 100 А крок 27 мм.</p> 
https://001.com.ua/shina-soedinitelnaya-tipa-fork-vilka-1p-63-a-shag-18-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-fork-vilka-1-polyusnaya-shag-18-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-fork-1p-63a-18mm-photo.jpg,"Шина соединительная типа FORK (вилка) 1P 63 А шаг 18 мм, IEK",Шины соединительные,IEK,YNS11-1-063,YNS11-1-063,outofstock,1,12,"230,49","Шина соединительная типа FORK (вилка) 1P 63 А шаг 18 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу FORK (вилка) 1P 63 А крок 18 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
https://001.com.ua/shina-soedinitelnaya-tipa-pin-shtyr-2p-63-a-shag-18-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-pin-shtyr-2-polyusnaya-shag-18-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-pin-2p-63a-18mm-photo.jpg,"Шина соединительная типа PIN (штырь) 2P 63 А шаг 18 мм, IEK",Шины соединительные,IEK,YNS21-2-063,YNS21-2-063,outofstock,1,12,"519,93","Шина соединительная типа PIN (штырь) 2P 63 А шаг 18 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу PIN (штир) 2P 63 А крок 18 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
https://001.com.ua/shina-soedinitelnaya-tipa-pin-shtyr-3p-100-a-shag-18-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-pin-shtyr-3-polyusnaya-shag-18-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-pin-3p-100a-18mm-photo.jpg,"Шина соединительная типа PIN (штырь) 3P 100 А шаг 18 мм, IEK",Шины соединительные,IEK,YNS21-3-100,YNS21-3-100,outofstock,1,12,"1 974,45","Шина соединительная типа PIN (штырь) 3P 100 А шаг 18 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу PIN (штир) 3P 100 А крок 18 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
https://001.com.ua/shina-soedinitelnaya-tipa-fork-vilka-3p-63-a-shag-18-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-fork-vilka-3-polyusnaya-shag-18-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-fork-3p-63a-18mm-photo.jpg,"Шина соединительная типа FORK (вилка) 3P 63 А шаг 18 мм, IEK",Шины соединительные,IEK,YNS11-3-063,YNS11-3-063,outofstock,1,12,"740,82","Шина соединительная типа FORK (вилка) 3P 63 А шаг 18 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу FORK (вилка) 3P 63 А крок 18 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
https://001.com.ua/shina-soedinitelnaya-tipa-pin-shtyr-4p-63-a-shag-18-mm-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-soedinitelnaya-tipa-pin-shtyr-3-polyusnaya-shag-18-mm-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-pin-4p-63a-18mm-photo.jpg,"Шина соединительная типа PIN (штырь) 4P 63 А шаг 18 мм, IEK",Шины соединительные,IEK,YNS21-4-063,YNS21-4-063,outofstock,1,12,"963,30","Шина соединительная типа PIN (штырь) 4P 63 А шаг 18 мм, IEK","<h2>Описание товара</h2><p>Применяются для удобного и безопасного соединения групп: ВА (выключатели автоматические), АД (автоматы дифференциальные), ВД (выключатели дифференциальные), ВН (выключатели нагрузки).</p> ","Шина з'єднувальна типу PIN (штир) 4P 63 А крок 18 мм, IEK","<h2>Опис товару</h2><p>Застосовуються для зручного і безпечного з'єднання груп: ВА (вимикачі автоматичні), АД (автомати диференційні), ВД (вимикачі диференційні), ВН (вимикачі навантаження).</p> "
