URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип,Типоразмер,Номинальная ёмкость аккумулятора
https://001.com.ua/batareyka-chasovaya-ag13-lr44-upakovka-blister-10-sht-videx,new,,,https://001.com.ua/media/photos/videx/batteries/videx-batareika-chasovaya-23272-photo.jpg,"Батарейка часовая AG13/LR44 упаковка blister 10 шт., VIDEX",Батарейки и аккумуляторы,VIDEX,23272,23272,instock,1,12,54,"Батарейка часовая AG13/LR44 упаковка blister 10 шт., VIDEX","<h2>Описание товара</h2><p>Щелочные элементы питания, в сравнении с солевыми, дольше сохраняют рабочие свойства, обладают большей ёмкостью, сроком хранения и рабочим диапазоном температур. За счёт лучших разрядных характеристик используются там, где требуется постоянная нагрузка – беспроводные устройства, радиоприёмники, фотоаппараты.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>батарейка щелочная</td></tr><tr><td>Типоразмер</td><td>AG13</td></tr><tr><td>Напряжение, В</td><td>1,5</td></tr><tr><td>Диаметр, мм</td><td>11,6</td></tr><tr><td>Высота, мм</td><td>5,4</td></tr><tr><td>Вес, г</td><td>2</td></tr><tr><td>Ёмкость, мА·ч</td><td>158</td></tr></tbody></table>","Батарейка годинникова AG13/LR44 упаковка blister 10 шт., VIDEX","<h2>Опис товару</h2><p>Лужні елементи живлення, в порівнянні з сольовими, довше зберігають робочі властивості, володіють більшою ємністю, терміном зберігання і робочим діапазоном температур. За рахунок кращих розрядних характеристик використовуються там, де потрібне постійне навантаження – бездротові пристрої, радіоприймачі, фотоапарати.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>батарейка лужна</td></tr><tr><td>Типорозмір</td><td>AG13</td></tr><tr><td>Напруга, В</td><td>1,5</td></tr><tr><td>Діаметр, мм</td><td>11,6</td></tr><tr><td>Висота, мм</td><td>5,4</td></tr><tr><td>Вага, г</td><td>2</td></tr><tr><td>Ємність, мА·год</td><td>158</td></tr></tbody></table>",Русский ~ батарейка щелочная,Русский ~ AG13,Русский ~ 
https://001.com.ua/batareyka-schelochnaya-6lr61-9v-krona-videx,new,,,https://001.com.ua/media/photos/videx/batteries/videx-batareika-krona-23235-photo.jpg,"Батарейка щелочная 6LR61/9V (Крона), VIDEX",Батарейки и аккумуляторы,VIDEX,23235,23235,instock,1,12,"80,55","Батарейка щелочная 6LR61/9V (Крона), VIDEX","<h2>Описание товара</h2><p>Щелочные элементы питания, в сравнении с солевыми, дольше сохраняют рабочие свойства, обладают большей ёмкостью, сроком хранения и рабочим диапазоном температур. За счёт лучших разрядных характеристик используются там, где требуется постоянная нагрузка – беспроводные устройства, радиоприёмники, фотоаппараты.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>батарейка щелочная</td></tr><tr><td>Типоразмер</td><td>«Крона»</td></tr><tr><td>Напряжение, В</td><td>9</td></tr><tr><td>Размеры, мм</td><td>48,5×26,5×17,5 (Д×Ш×В)</td></tr><tr><td>Вес, г</td><td>44</td></tr><tr><td>Ёмкость, мА·ч</td><td>600</td></tr></tbody></table>","Батарейка лужна 6LR61/9V (Крона), VIDEX","<h2>Опис товару</h2><p>Лужні елементи живлення, в порівнянні з сольовими, довше зберігають робочі властивості, володіють більшою ємністю, терміном зберігання і робочим діапазоном температур. За рахунок кращих розрядних характеристик використовуються там, де потрібне постійне навантаження – бездротові пристрої, радіоприймачі, фотоапарати.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>батарейка лужна</td></tr><tr><td>Типорозмір</td><td>«Крона»</td></tr><tr><td>Напруга, В</td><td>9</td></tr><tr><td>Розміри, мм</td><td>48,5×26,5×17,5 (Д×Ш×В)</td></tr><tr><td>Вага, г</td><td>44</td></tr><tr><td>Ємність, мА·год</td><td>600</td></tr></tbody></table>",Русский ~ батарейка щелочная,Русский ~ «Крона»,Русский ~ 
https://001.com.ua/batareyka-schelochnaya-lr03-aaa-upakovka-blister-4-sht-videx,new,,,https://001.com.ua/media/photos/videx/batteries/videx-batareika-alkaline-21165-photo.jpg ;; https://001.com.ua/media/photos/videx/batteries/graphic-videx-lr03-turbo-photo.jpg,"Батарейка щелочная LR03/AAA упаковка blister 4 шт., VIDEX",Батарейки и аккумуляторы,VIDEX,21165,21165,instock,1,12,"61,20","Батарейка щелочная LR03/AAA упаковка blister 4 шт., VIDEX","<h2>Описание товара</h2><p>Щелочные элементы питания, в сравнении с солевыми, дольше сохраняют рабочие свойства, обладают большей ёмкостью, сроком хранения и рабочим диапазоном температур. За счёт лучших разрядных характеристик используются там, где требуется постоянная нагрузка – беспроводные устройства, радиоприёмники, фотоаппараты.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>батарейка щелочная</td></tr><tr><td>Типоразмер</td><td>AAA</td></tr><tr><td>Напряжение, В</td><td>1,5</td></tr><tr><td>Диаметр, мм</td><td>10,5</td></tr><tr><td>Высота, мм</td><td>44,5</td></tr><tr><td>Вес, г</td><td>10,8</td></tr><tr><td>Ёмкость, мА·ч</td><td>1200</td></tr></tbody></table>","Батарейка лужна LR03/AAA упаковка blister 4 шт., VIDEX","<h2>Опис товару</h2><p>Лужні елементи живлення, в порівнянні з сольовими, довше зберігають робочі властивості, володіють більшою ємністю, терміном зберігання і робочим діапазоном температур. За рахунок кращих розрядних характеристик використовуються там, де потрібне постійне навантаження – бездротові пристрої, радіоприймачі, фотоапарати.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>батарейка лужна</td></tr><tr><td>Типорозмір</td><td>AAA</td></tr><tr><td>Напруга, В</td><td>1,5</td></tr><tr><td>Діаметр, мм</td><td>10,5</td></tr><tr><td>Висота, мм</td><td>44,5</td></tr><tr><td>Вага, г</td><td>10,8</td></tr><tr><td>Ємність, мА·год</td><td>1200</td></tr></tbody></table>",Русский ~ батарейка щелочная,Русский ~ AAA,Русский ~ 
https://001.com.ua/batareyka-schelochnaya-lr6-aa-upakovka-blister-4-sht-videx,new,,,https://001.com.ua/media/photos/videx/batteries/videx-batareika-alkaline-21163-photo.jpg ;; https://001.com.ua/media/photos/videx/batteries/graphic-videx-lr6-turbo-photo.jpg,"Батарейка щелочная LR6/AA упаковка blister 4 шт., VIDEX",Батарейки и аккумуляторы,VIDEX,21163,21163,instock,1,12,"64,80","Батарейка щелочная LR6/AA упаковка blister 4 шт., VIDEX","<h2>Описание товара</h2><p>Щелочные элементы питания, в сравнении с солевыми, дольше сохраняют рабочие свойства, обладают большей ёмкостью, сроком хранения и рабочим диапазоном температур. За счёт лучших разрядных характеристик используются там, где требуется постоянная нагрузка – беспроводные устройства, радиоприёмники, фотоаппараты.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>батарейка щелочная</td></tr><tr><td>Типоразмер</td><td>AA</td></tr><tr><td>Напряжение, В</td><td>1,5</td></tr><tr><td>Диаметр, мм</td><td>14,5</td></tr><tr><td>Высота, мм</td><td>50,5</td></tr><tr><td>Вес, г</td><td>23</td></tr><tr><td>Ёмкость, мА·ч</td><td>2600</td></tr></tbody></table>","Батарейка лужна LR6/AA упаковка blister 4 шт., VIDEX","<h2>Опис товару</h2><p>Лужні елементи живлення, в порівнянні з сольовими, довше зберігають робочі властивості, володіють більшою ємністю, терміном зберігання і робочим діапазоном температур. За рахунок кращих розрядних характеристик використовуються там, де потрібне постійне навантаження – бездротові пристрої, радіоприймачі, фотоапарати.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>батарейка лужна</td></tr><tr><td>Типорозмір</td><td>AA</td></tr><tr><td>Напруга, В</td><td>1,5</td></tr><tr><td>Діаметр, мм</td><td>14,5</td></tr><tr><td>Висота, мм</td><td>50,5</td></tr><tr><td>Вага, г</td><td>23</td></tr><tr><td>Ємність, мА·год</td><td>2600</td></tr></tbody></table>",Русский ~ батарейка щелочная,Русский ~ AA,Русский ~ 
https://001.com.ua/akkumulyator-li-ion-18650-imr-vysokotokovyy-2200mah-videx,new,,,https://001.com.ua/media/photos/videx/batteries/videx-accumulator-li-ion-24245-photo.jpg ;; https://001.com.ua/media/photos/videx/batteries/videx-accumulator-li-ion-24245-2-photo.jpg,"Аккумулятор Li-Ion 18650 IMR (высокотоковый) 2200mAh, VIDEX",Батарейки и аккумуляторы,VIDEX,24245,24245,instock,1,12,258,"Аккумулятор Li-Ion 18650 IMR (высокотоковый) 2200mAh, VIDEX","<h2>Описание товара</h2><p>Литий-ионные (Li-ion) аккумуляторы VIDEX – перезаряжаемые источники питания, предназначенные для использования в устройствах с высоким постоянным энергопотреблением.</p><p>Аккумуляторы разделены на два типа. Первый имеет встроенную систему защиты от перезаряда, переразряда, короткого замыкания, перегрева (для устройств без собственной защитной платы). Второй тип аккумуляторов предназначен для устройств с собственной платой защиты.</p><p>Широко применяются в портативных зарядных устройствах (POWER BANK), блоках питания малогабаритных транспортных средств, фонарях, электрических инструментах, медицинских приборах, для питания ноутбуков.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>аккумулятор Li-Ion</td></tr><tr><td>Типоразмер</td><td>18650</td></tr><tr><td>Номинальная ёмкость аккумулятора, мА·ч</td><td>2200</td></tr><tr><td>Напряжение, В</td><td>3,7</td></tr><tr><td>Диаметр, мм</td><td>18</td></tr><tr><td>Высота, мм</td><td>65</td></tr><tr><td>Вес, г</td><td>42</td></tr><tr><td>Ток стандарного заряда, мА</td><td>440</td></tr><tr><td>Время стандарного заряда, мА</td><td>420</td></tr><tr><td>Ток максимального заряда, мА</td><td>2200</td></tr><tr><td>Время максимального заряда, мА</td><td>84</td></tr></tbody></table>","Акумулятор Li-Ion 18650 IMR (високострумовий) 2200mAh, VIDEX","<h2>Опис товару</h2><p>Літій-іонні (Li-ion) акумулятори VIDEX – акумуляторні джерела живлення, призначені для використання в пристроях з високим постійним енергоспоживанням.</p><p>Акумулятори розділені на два типи. Перший має вбудовану систему захисту від перезаряду, перерозряду, короткого замикання, перегріву (для пристроїв без власної захисної плати). Другий тип акумуляторів призначений для пристроїв з власною платою захисту.</p><p>Широко застосовуються в портативних зарядних пристроях (POWER BANK), блоках живлення малогабаритних транспортних засобів, ліхтарях, електричних інструментах, медичних приладах, для живлення ноутбуків.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>акумулятор Li-Ion</td></tr><tr><td>Типорозмір</td><td>18650</td></tr><tr><td>Номінальна ємність акумулятора, мА·год</td><td>2200</td></tr><tr><td>Напруга, В</td><td>3,7</td></tr><tr><td>Діаметр, мм</td><td>18</td></tr><tr><td>Висота, мм</td><td>65</td></tr><tr><td>Вага, г</td><td>42</td></tr><tr><td>Струм стандартного заряду, мА</td><td>440</td></tr><tr><td>Час стандартного заряду, мА</td><td>420</td></tr><tr><td>Струм максимального заряду, мА</td><td>2200</td></tr><tr><td>Час максимального заряду, мА</td><td>84</td></tr></tbody></table>",Русский ~ аккумулятор Li-Ion,Русский ~ 18650,Русский ~ 2200
https://001.com.ua/akkumulyator-li-ion-18650-p-s-zaschitoy-3400mah-videx,new,,,https://001.com.ua/media/photos/videx/batteries/videx-accumulator-li-ion-24453-photo.jpg ;; https://001.com.ua/media/photos/videx/batteries/videx-accumulator-li-ion-24453-2-photo.jpg,"Аккумулятор Li-Ion 18650-P (с защитой) 3400mAh, VIDEX",Батарейки и аккумуляторы,VIDEX,24453,24453,instock,1,12,431,"Аккумулятор Li-Ion 18650-P (с защитой) 3400mAh, VIDEX","<h2>Описание товара</h2><p>Литий-ионные (Li-ion) аккумуляторы VIDEX – перезаряжаемые источники питания, предназначенные для использования в устройствах с высоким постоянным энергопотреблением.</p><p>Аккумуляторы разделены на два типа. Первый имеет встроенную систему защиты от перезаряда, переразряда, короткого замыкания, перегрева (для устройств без собственной защитной платы). Второй тип аккумуляторов предназначен для устройств с собственной платой защиты.</p><p>Широко применяются в портативных зарядных устройствах (POWER BANK), блоках питания малогабаритных транспортных средств, фонарях, электрических инструментах, медицинских приборах, для питания ноутбуков.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>аккумулятор Li-Ion</td></tr><tr><td>Типоразмер</td><td>18650</td></tr><tr><td>Номинальная ёмкость аккумулятора, мА·ч</td><td>3400</td></tr><tr><td>Напряжение, В</td><td>3,7</td></tr><tr><td>Диаметр, мм</td><td>18</td></tr><tr><td>Высота, мм</td><td>65</td></tr><tr><td>Вес, г</td><td>48,1</td></tr><tr><td>Ток стандарного заряда, мА</td><td>680</td></tr><tr><td>Время стандарного заряда, мА</td><td>420</td></tr><tr><td>Ток максимального заряда, мА</td><td>3400</td></tr><tr><td>Время максимального заряда, мА</td><td>84</td></tr></tbody></table>","Акумулятор Li-Ion 18650-P (із захистом) 3400mAh, VIDEX","<h2>Опис товару</h2><p>Літій-іонні (Li-ion) акумулятори VIDEX – акумуляторні джерела живлення, призначені для використання в пристроях з високим постійним енергоспоживанням.</p><p>Акумулятори розділені на два типи. Перший має вбудовану систему захисту від перезаряду, перерозряду, короткого замикання, перегріву (для пристроїв без власної захисної плати). Другий тип акумуляторів призначений для пристроїв з власною платою захисту.</p><p>Широко застосовуються в портативних зарядних пристроях (POWER BANK), блоках живлення малогабаритних транспортних засобів, ліхтарях, електричних інструментах, медичних приладах, для живлення ноутбуків.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>акумулятор Li-Ion</td></tr><tr><td>Типорозмір</td><td>18650</td></tr><tr><td>Номінальна ємність акумулятора, мА·год</td><td>3400</td></tr><tr><td>Напруга, В</td><td>3,7</td></tr><tr><td>Діаметр, мм</td><td>18</td></tr><tr><td>Висота, мм</td><td>65</td></tr><tr><td>Вага, г</td><td>48,1</td></tr><tr><td>Струм стандартного заряду, мА</td><td>680</td></tr><tr><td>Час стандартного заряду, мА</td><td>420</td></tr><tr><td>Струм максимального заряду, мА</td><td>3400</td></tr><tr><td>Час максимального заряду, мА</td><td>84</td></tr></tbody></table>",Русский ~ аккумулятор Li-Ion,Русский ~ 18650,Русский ~ 3400
https://001.com.ua/batareyka-schelochnaya-aaa-lr03-sp4-tiporazmer-aaa-upakovka-shrink-4-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/batteries/asko-ukrem-batareika-schelochnaya-aaa-lr03-s4-shrink-4-photo.jpg,"Батарейка щелочная AАА.LR03.SP4, типоразмер AAA упаковка shrink 4 шт., АСКО-УКРЕМ",Батарейки и аккумуляторы,АСКО-УКРЕМ,Аско.LR03.SP4,Аско.LR03.SP4,instock,1,12,"50,82","Батарейка щелочная AАА.LR03.SP4, типоразмер AAA упаковка shrink 4 шт., АСКО-УКРЕМ","<h2>Описание товара</h2><p>Щелочные элементы «АСКО-УКРЕМ» применяются в устройствах бытового назначения с высоким и средним уровнем потребления энергии. Применяются для питания устройств повышенной мощности, таких как фотоаппараты, портативная аудиоаппаратура (магнитолы, радиоприемники, МР3-плееры), детские игрушки, фонари и т.п.</p><p><strong>Преимущества:</strong></p><ul><li>длительность работы в несколько раз больше, чем у солевых батареек;</li><li>более широкий температурный режим;</li><li>меньшая вероятность протечки;</li><li>экологически безопасны – не содержат кадмия и ртути;</li><li>увеличенный срок хранения;</li><li>оптимальное соотношение цена-качество.</li></ul><p><strong>Условия хранения:</strong></p><ul><li>температура окружающей среды: -25...+40 °С;</li><li>относительная влажность воздуха: ≤75%;</li><li>запрещено хранить в местах с агрессивной средой.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>батарейка щелочная</td></tr><tr><td>Типоразмер</td><td>AAA.LR03</td></tr><tr><td>Химический состав</td><td>щелочной</td></tr><tr><td>Напряжение, В</td><td>1,5</td></tr><tr><td>Высота, мм</td><td>44</td></tr><tr><td>Диаметр, мм</td><td>10,4</td></tr><tr><td>Вес, г</td><td>12</td></tr><tr><td>Количество в упаковке, шт.</td><td>4</td></tr></tbody></table>","Батарейка лужна AАА.LR03.SP4, типорозмір AAA упаковка shrink 4 шт., АСКО-УКРЕМ","<h2>Опис товару</h2><p>Лужні елементи «АСКО-УКРЕМ» застосовуються в пристроях побутового призначення з високим і середнім рівнем споживання енергії. Застосовуються для живлення пристроїв підвищеної потужності, таких як фотоапарати, портативна аудіоапаратура (магнітоли, радіоприймачі, МР3-плеєри), дитячі іграшки, ліхтарі тощо.</p><p><strong>Переваги: ​​</strong></p><ul><li>тривалість роботи в кілька разів більше, ніж у сольових батарейок;</li><li>ширший температурний режим;</li><li>менша ймовірність протікання;</li><li>екологічно безпечні – не містять кадмію і ртуті;</li><li>збільшений термін зберігання;</li><li>оптимальне співвідношення ціна-якість.</li></ul><p><strong>Умови зберігання:</strong></p><ul><li>температура навколишнього середовища: -25...+40 °С;</li><li>відносна вологість повітря: ≤75%;</li><li>заборонено зберігати в місцях з агресивним середовищем.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>батарейка лужна</td></tr><tr><td>Типорозмір</td><td>AAA.LR03</td></tr><tr><td>Хімічний склад</td><td>лужний</td></tr><tr><td>Напруга, В</td><td>1,5</td></tr><tr><td>Висота, мм</td><td>44</td></tr><tr><td>Діаметр, мм</td><td>10,4</td></tr><tr><td>Вага, г</td><td>12</td></tr><tr><td>Кількість в упаковці</td><td>4</td></tr></tbody></table>",Русский ~ батарейка щелочная,Русский ~ AAA.LR03,Русский ~ 
https://001.com.ua/batareyka-litievaya-tabletka-cr2032-bp5-tiporazmer-cr2032-upakovka-blister-5-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/batteries/asko-ukrem-batareika-litievaya-cr2032-bp5-blister-5-photo.jpg,"Батарейка литиевая «таблетка» CR2032.BP5, типоразмер CR2032 упаковка blister 5 шт., АСКО-УКРЕМ",Батарейки и аккумуляторы,АСКО-УКРЕМ,Аско.CR2032.BP5,Аско.CR2032.BP5,instock,1,12,"66,45","Батарейка литиевая «таблетка» CR2032.BP5, типоразмер CR2032 упаковка blister 5 шт., АСКО-УКРЕМ","<h2>Описание товара</h2><p>Отличаясь высокой энергетической плотностью, батарейки данного типа применяются для надежного и долговечного электропитания мониторов сердечного ритма, компьютерной техники, систем сигнализации и других устройств повышенной ответственности.</p><p>Имеют срок годности до 10 лет.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>батарейка литиевая</td></tr><tr><td>Типоразмер</td><td>CR2032</td></tr><tr><td>Напряжение, В</td><td>3</td></tr><tr><td>Номинальная емкость, мАч до 2В</td><td>220</td></tr><tr><td>Высота, мм</td><td>3,2</td></tr><tr><td>Диаметр, мм</td><td>20</td></tr><tr><td>Вес, г</td><td>3,1</td></tr><tr><td>Материал корпуса</td><td>сталь</td></tr><tr><td>Количество в упаковке, шт.</td><td>5</td></tr></tbody></table>","Батарейка літієва «таблетка» CR2032.BP5, типорозмір CR2032 упаковка blister 5 шт., АСКО-УКРЕМ","<h2>Опис товару</h2><p>Відрізняючись високою енергетичною щільністю, батарейки даного типу застосовуються для надійного і довговічного електроживлення моніторів серцевого ритму, комп'ютерної техніки, систем сигналізації та інших пристроїв підвищеної відповідальності.</p><p>Мають термін придатності до 10 років.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>батарейка літієва</td></tr><tr><td>Типорозмір</td><td>CR2032</td></tr><tr><td>Напруга, В</td><td>3</td></tr><tr><td>Номінальна ємність, мАг до 2В</td><td>220</td></tr><tr><td>Висота, мм</td><td>3,2</td></tr><tr><td>Діаметр, мм</td><td>20</td></tr><tr><td>Вага, г</td><td>3,1</td></tr><tr><td>Матеріал корпусу</td><td>сталь</td></tr><tr><td>Кількість в упаковці</td><td>5</td></tr></tbody></table>",Русский ~ батарейка литиевая,Русский ~ CR2032,Русский ~ 
https://001.com.ua/batareyka-schelochnaya-aa-lr6-bl4-tiporazmer-aa-upakovka-blister-4-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/batteries/asko-ukrem-batareika-schelochnaya-aa-lr6-bp4-blister-4-photo.jpg,"Батарейка щелочная AА.LR6.BL4, типоразмер AA упаковка blister 4 шт., АСКО-УКРЕМ",Батарейки и аккумуляторы,АСКО-УКРЕМ,Аско.LR6.BL4,Аско.LR6.BL4,instock,1,12,"67,43","Батарейка щелочная AА.LR6.BL4, типоразмер AA упаковка blister 4 шт., АСКО-УКРЕМ","<h2>Описание товара</h2><p>Щелочные элементы «АСКО-УКРЕМ» применяются в устройствах бытового назначения с высоким и средним уровнем потребления энергии. Применяются для питания устройств повышенной мощности, таких как фотоаппараты, портативная аудиоаппаратура (магнитолы, радиоприемники, МР3-плееры), детские игрушки, фонари и т.п.</p><p><strong>Преимущества:</strong></p><ul><li>длительность работы в несколько раз больше, чем у солевых батареек;</li><li>более широкий температурный режим;</li><li>меньшая вероятность протечки;</li><li>экологически безопасны – не содержат кадмия и ртути;</li><li>увеличенный срок хранения;</li><li>оптимальное соотношение цена-качество.</li></ul><p><strong>Условия хранения:</strong></p><ul><li>температура окружающей среды: -25...+40 °С;</li><li>относительная влажность воздуха: ≤75%;</li><li>запрещено хранить в местах с агрессивной средой.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>батарейка щелочная</td></tr><tr><td>Типоразмер</td><td>AA.LR6</td></tr><tr><td>Химический состав</td><td>щелочной</td></tr><tr><td>Напряжение, В</td><td>1,5</td></tr><tr><td>Высота, мм</td><td>50</td></tr><tr><td>Диаметр, мм</td><td>14</td></tr><tr><td>Вес, г</td><td>24</td></tr><tr><td>Количество в упаковке, шт.</td><td>4</td></tr></tbody></table>","Батарейка лужна AА.LR6.BL4, типорозмір AA упаковка blister 4 шт., АСКО-УКРЕМ","<h2>Опис товару</h2><p>Лужні елементи «АСКО-УКРЕМ» застосовуються в пристроях побутового призначення з високим і середнім рівнем споживання енергії. Застосовуються для живлення пристроїв підвищеної потужності, таких як фотоапарати, портативна аудіоапаратура (магнітоли, радіоприймачі, МР3-плеєри), дитячі іграшки, ліхтарі тощо.</p><p><strong>Переваги: ​​</strong></p><ul><li>тривалість роботи в кілька разів більше, ніж у сольових батарейок;</li><li>ширший температурний режим;</li><li>менша ймовірність протікання;</li><li>екологічно безпечні – не містять кадмію і ртуті;</li><li>збільшений термін зберігання;</li><li>оптимальне співвідношення ціна-якість.</li></ul><p><strong>Умови зберігання:</strong></p><ul><li>температура навколишнього середовища: -25...+40 °С;</li><li>відносна вологість повітря: ≤75%;</li><li>заборонено зберігати в місцях з агресивним середовищем.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>батарейка лужна</td></tr><tr><td>Типорозмір</td><td>AA.LR6</td></tr><tr><td>Хімічний склад</td><td>лужний</td></tr><tr><td>Напруга, В</td><td>1,5</td></tr><tr><td>Висота, мм</td><td>50</td></tr><tr><td>Діаметр, мм</td><td>14</td></tr><tr><td>Вага, г</td><td>24</td></tr><tr><td>Кількість в упаковці</td><td>4</td></tr></tbody></table>",Русский ~ батарейка щелочная,Русский ~ AA.LR6,Русский ~ 
https://001.com.ua/batareyka-schelochnaya-a23-mn21-bp1-tiporazmer-a23-upakovka-blister-1-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/batteries/asko-ukrem-batareika-schelochnaya-a23-mn21-bp1-blister-1-photo.jpg,"Батарейка щелочная A23.MN21.BP1, типоразмер A23 упаковка blister 1 шт., АСКО-УКРЕМ",Батарейки и аккумуляторы,АСКО-УКРЕМ,Аско.A23.BP1,Аско.A23.BP1,instock,1,12,"27,23","Батарейка щелочная A23.MN21.BP1, типоразмер A23 упаковка blister 1 шт., АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для питания пультов дистанционного управления автомобилей (автомобильных ключей) и других устройств.</p><p>Батарейки данной серии не содержат ртути, что повышает их безопасность и не требует специальной утилизации.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>батарейка щелочная</td></tr><tr><td>Типоразмер</td><td>A23</td></tr><tr><td>Химический состав</td><td>щелочной</td></tr><tr><td>Напряжение, В</td><td>12</td></tr><tr><td>Высота, мм</td><td>28,3</td></tr><tr><td>Диаметр, мм</td><td>10</td></tr><tr><td>Вес, г</td><td>7,9</td></tr><tr><td>Материал корпуса</td><td>алюминий</td></tr><tr><td>Количество в упаковке, шт.</td><td>1</td></tr></tbody></table>","Батарейка лужна A23.MN21.BP1, типорозмір A23 упаковка blister 1 шт., АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для живлення пультів дистанційного керування автомобілів (автомобільних ключів) і інших пристроїв.</p><p>Батарейки даної серії не містять ртуті, що підвищує їх безпеку і не вимагає спеціальної утилізації.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>батарейка лужна</td></tr><tr><td>Типорозмір</td><td>A23</td></tr><tr><td>Хімічний склад</td><td>лужний</td></tr><tr><td>Напруга, В</td><td>12</td></tr><tr><td>Висота, мм</td><td>28,3</td></tr><tr><td>Діаметр, мм</td><td>10</td></tr><tr><td>Вага, г</td><td>7,9</td></tr><tr><td>Матеріал корпусу</td><td>алюміній</td></tr><tr><td>Кількість в упаковці</td><td>1</td></tr></tbody></table>",Русский ~ батарейка щелочная,Русский ~ A23,Русский ~ 
