URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип,Тип обжимаемых изделий,"Обжим, мм²",Профиль обжатия
https://001.com.ua/press-gidravlicheskiy-ruchnoy-pgr-70-iek,new,,,https://001.com.ua/media/photos/iek/instrument/iek-press-gidravlicheskiy-ruchnoy-pgr-70-photo.jpg ;; https://001.com.ua/media/photos/iek/instrument/iek-press-gidravlicheskiy-ruchnoy-pgr-70-box-open-photo.jpg ;; https://001.com.ua/media/photos/iek/instrument/iek-press-gidravlicheskiy-ruchnoy-pgr-70-box-photo.jpg,"Пресс гидравлический ручной ПГР-70, IEK",Инструмент для опрессовки наконечников,IEK,TKL10-001,TKL10-001,instock,1,12,"2 005,20","Пресс гидравлический ручной ПГР-70, IEK","<h2>Описание товара</h2><p>Гидравлические прессы позволяют создавать механические соединения типа кабельная жила-гильза или кабельная жила-наконечник с помощью механической опрессовки. Прессы снабжены сменными матрицами, предназначенными для различных сечений жил.</p><p>Гидравлические прессы значительно облегчают процесс опрессовки, так как требуют применения меньших усилий, чем механические прессы.</p> <h2>Технические характеристики</h2><p>Размеры обжимаемых матриц, мм<sup>2</sup>: 4, 6, 8, 10, 16, 25, 35, 50, 70</p><p>Профиль обжатия: <img alt=""Профиль обжатия (схема)"" height=""52"" src=""/media/images/products/iek/instrument/prof-ob-6.jpg"" title=""Профиль обжатия"" width=""60""/></p> ","Прес гідравлічний ручний ПГР-70, IEK","<h2>Опис товару</h2><p>Гідравлічні преси дозволяють створювати механічні з'єднання типу кабельна жила-гільза або кабельна жила-накінечник за допомогою механічного опресування. Преси забезпечені змінними матрицями, призначеними для різних перерізів жил.</p><p>Гідравлічні преси значно полегшують процес опресування, оскільки вимагають застосування менших зусиль, ніж механічні преси.</p> <h2>Технічні характеристики</h2><p>Розміри обтискаючих матриць, мм<sup>2</sup>: 4, 6, 8, 10, 16, 25, 35, 50, 70</p><p>Профіль обтискання: <img alt=""Профіль обтискання (схема)"" height=""52"" src=""/media/images/products/iek/instrument/prof-ob-6.jpg"" title=""Профіль обтискання"" width=""60""/></p> ",Русский ~ Гидравлический инструмент,Русский ~ Наконечники и гильзы силовые,Русский ~ 4 ;; Русский ~ 6 ;; Русский ~ 8 ;; Русский ~ 10 ;; Русский ~ 16 ;; Русский ~ 25 ;; Русский ~ 35 ;; Русский ~ 50 ;; Русский ~ 70,Русский ~ Шестигранник
https://001.com.ua/press-kleschi-mehanicheskie-sn-05wf-dlya-obzhima-nakonechnikov-i-gilz-0-5-6-0-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-sn-05wf-photo.jpg,"Пресс-клещи механические SN-05WF для обжима наконечников и гильз 0,5-6,0 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010036,A0170010036,instock,1,12,"638,38","Пресс-клещи механические SN-05WF для обжима наконечников и гильз 0,5-6,0 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><p>Инструмент предназначен для обжима втулочных (трубчатых) наконечников под проводники сечением 0,5-6,0 мм².</p><p>Инструмент оснащен храповым механизмом для качественного обжатия наконечников.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип обжимаемых изделий</td><td>наконечники втулочные изолированные</td></tr><tr><td>Диапазон сечений, мм²</td><td>0,5-6</td></tr><tr><td>Вес, кг</td><td>0,37</td></tr><tr><td>Длина, мм</td><td>190</td></tr><tr><td>Упаковка</td><td>блистер</td></tr></tbody></table> ","Прес-кліщі механічні SN-05WF для обтиску накінечників та гільз 0,5-6,0 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><p>Інструмент призначений для обтиску втулкових (трубчастих) наконечників під провідники перетином 0,5-6,0 мм².</p><p>Інструмент оснащений храповим механізмом для якісного обтиску наконечників.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробів, що обтискаються</td><td>накінечники втулкові ізольовані</td></tr><tr><td>Діапазон перетинів, мм²</td><td>0,5-6</td></tr><tr><td>Вага, кг</td><td>0,37</td></tr><tr><td>Довжина, мм</td><td>190</td></tr><tr><td>Упаковка</td><td>блістер</td></tr></tbody></table> ",Русский ~ Механический инструмент,Русский ~ Наконечники-гильзы,"Русский ~ 0,5 ;; Русский ~ 1 ;; Русский ~ 1,5 ;; Русский ~ 2,5 ;; Русский ~ 4 ;; Русский ~ 6",Русский ~ Трапеция
https://001.com.ua/press-kleschi-mehanicheskie-hsc8-6-6-dlya-obzhima-nakonechnikov-i-gilz-0-5-6-0-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-hsc8-6-6-photo.jpg,"Пресс-клещи механические HSC8 6-6 для обжима наконечников и гильз 0,5-6,0 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010045,A0170010045,instock,1,12,"1 295,26","Пресс-клещи механические HSC8 6-6 для обжима наконечников и гильз 0,5-6,0 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><ul><li>Компактный и легкий универсальный инструмент для опрессовки одинарных и двойных втулочных наконечников</li><li>Одна саморегулирующаяся матрица на все типоразмеры диапазона</li><li>Система с поворотными кулачками диафрагменного типа</li><li>Гексагональный профиль обжима с рифлением</li><li>Храповой механизм, гарантирующий полный цикл опрессовки</li><li>Плавные закругленные линии корпуса — удобство и безопасность использования</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип обжимаемых изделий</td><td>наконечники втулочные одинарные и двойные изолированные</td></tr><tr><td>Диапазон сечений, мм²</td><td>HT (одинарные): 0,25-6; TE (двойные): 2×0,5-2×4,0</td></tr><tr><td>Вес, кг</td><td>0,36</td></tr><tr><td>Длина, мм</td><td>175</td></tr><tr><td>Упаковка</td><td>блистер</td></tr></tbody></table> ","Прес-кліщі механічні HSC8 6-6 для обтиску накінечників та гільз 0,5-6,0 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><ul><li>Компактний і легкий універсальний інструмент для опресовування одинарних і подвійних втулкових наконечників</li><li>Одна саморегульована матриця на всі типорозміри діапазону</li><li>Система з поворотними кулачками діафрагменного типу</li><li>Гексагональний профіль обтиску з рифленням</li><li>Храповий механізм, який гарантує повний цикл опресування</li><li>Плавні закруглені лінії корпусу — зручність і безпека використання</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробів, що обтискаються</td><td>накінечники втулкові одинарні та подвійні ізольовані</td></tr><tr><td>Діапазон перетинів, мм²</td><td>HT (одинарні): 0,25-6; TE (подвійні): 2×0,5-2×4,0</td></tr><tr><td>Вага, кг</td><td>0,36</td></tr><tr><td>Довжина, мм</td><td>175</td></tr><tr><td>Упаковка</td><td>блістер</td></tr></tbody></table> ",Русский ~ Механический инструмент,Русский ~ Наконечники-гильзы,"Русский ~ 0,5 ;; Русский ~ 1 ;; Русский ~ 1,5 ;; Русский ~ 2,5 ;; Русский ~ 4 ;; Русский ~ 6",Русский ~ Шестигранник
https://001.com.ua/press-kleschi-mehanicheskie-hsc8-6-4-dlya-obzhima-nakonechnikov-i-gilz-0-25-6-0-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-hsc8-6-4-photo.jpg,"Пресс-клещи механические HSC8 6-4 для обжима наконечников и гильз 0,25-6,0 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010044,A0170010044,instock,1,12,"1 009,43","Пресс-клещи механические HSC8 6-4 для обжима наконечников и гильз 0,25-6,0 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><ul><li>Компактный и легкий универсальный инструмент для опрессовки одинарных и двойных втулочных наконечников</li><li>Одна саморегулирующаяся матрица на все типоразмеры диапазона</li><li>Система с поворотными кулачками диафрагменного типа</li><li>Квадратный профиль обжима с рифлением</li><li>Храповой механизм, гарантирующий полный цикл опрессовки</li><li>Плавные закругленные линии корпуса — удобство и безопасность использования</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип обжимаемых изделий</td><td>наконечники втулочные одинарные и двойные изолированные</td></tr><tr><td>Диапазон сечений, мм²</td><td>HT (одинарные): 0,25-6; TE (двойные): 2×0,5-2×4,0</td></tr><tr><td>Вес, кг</td><td>0,36</td></tr><tr><td>Длина, мм</td><td>175</td></tr><tr><td>Упаковка</td><td>блистер</td></tr></tbody></table> ","Прес-кліщі механічні HSC8 6-4 для обтиску накінечників та гільз 0,25-6,0 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><ul><li>Компактний і легкий універсальний інструмент для опресовування одинарних і подвійних втулкових наконечників</li><li>Одна саморегульована матриця на всі типорозміри діапазону</li><li>Система з поворотними кулачками діафрагменного типу</li><li>Квадратний профіль обтиску з рифленням</li><li>Храповий механізм, який гарантує повний цикл опресування</li><li>Плавні закруглені лінії корпусу — зручність і безпека використання</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробів, що обтискаються</td><td>накінечники втулкові одинарні та подвійні ізольовані</td></tr><tr><td>Діапазон перетинів, мм²</td><td>HT (одинарні): 0,25-6; TE (подвійні): 2×0,5-2×4,0</td></tr><tr><td>Вага, кг</td><td>0,36</td></tr><tr><td>Довжина, мм</td><td>175</td></tr><tr><td>Упаковка</td><td>блістер</td></tr></tbody></table> ",Русский ~ Механический инструмент,Русский ~ Наконечники-гильзы,"Русский ~ 0,5 ;; Русский ~ 1 ;; Русский ~ 1,5 ;; Русский ~ 2,5 ;; Русский ~ 4 ;; Русский ~ 6",Русский ~ Квадрат
https://001.com.ua/press-kleschi-mehanicheskie-hx-50b-dlya-obzhima-nakonechnikov-i-gilz-6-50-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-hx-50b-photo.jpg,"Пресс-клещи механические HX-50B для обжима наконечников и гильз 6-50 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010006,A0170010006,instock,1,12,"1 625,44","Пресс-клещи механические HX-50B для обжима наконечников и гильз 6-50 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><ul><li>Оснащены матрицами револьверного типа</li><li>Гексагональный обжим</li><li>Быстрая перенастройка на нужный размер</li><li>Обработка поверхности: хромирование</li><li>Рукоятки: стандартные</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип обжимаемых изделий</td><td>силовые неизолированные наконечники и гильзы</td></tr><tr><td>Диапазон сечений, мм²</td><td>6, 10, 16, 25, 50</td></tr><tr><td>Вес, кг</td><td>1,3</td></tr><tr><td>Длина, мм</td><td>390</td></tr><tr><td>Упаковка</td><td>картонная коробка</td></tr></tbody></table> ","Прес-кліщі механічні HX-50B для обтиску накінечників та гільз 6-50 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><ul><li>Оснащені матрицями револьверного типу</li><li>Гексагональний обтиск</li><li>Швидке перенастроювання на потрібний розмір</li><li>Обробка поверхні: хромування</li><li>Рукоятки: стандартні</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробів, що обтискаються</td><td>силові неізольовані накінечники та гільзи</td></tr><tr><td>Діапазон перетинів, мм²</td><td>6, 10, 16, 25, 50</td></tr><tr><td>Вага, кг</td><td>1,3</td></tr><tr><td>Довжина, мм</td><td>390</td></tr><tr><td>Упаковка</td><td>картонна коробка</td></tr></tbody></table> ",Русский ~ Механический инструмент,Русский ~ Наконечники и гильзы силовые,Русский ~ 6 ;; Русский ~ 10 ;; Русский ~ 16 ;; Русский ~ 25 ;; Русский ~ 50,Русский ~ Шестигранник
https://001.com.ua/press-kleschi-mehanicheskie-hx-10-dlya-obzhima-nakonechnikov-i-gilz-1-5-10-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-hx-10-photo.jpg,"Пресс-клещи механические HX-10 для обжима наконечников и гильз 1,5-10 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010023,A0170010023,instock,1,12,"739,70","Пресс-клещи механические HX-10 для обжима наконечников и гильз 1,5-10 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><p>Инструмент предназначен для обжима силовых медных и алюминиевых неизолированных наконечников (DT, DL, DTL, JG и др.) и гильз (GL, GT и др.) под проводники сечением 1,5-10 мм².</p><p>Инструмент оснащен храповым механизмом для качественного обжатия наконечников.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>механический инструмент</td></tr><tr><td>Тип обжимаемых изделий</td><td>наконечники и гильзы силовые</td></tr><tr><td>Обжим, мм²</td><td>1,5; 2,5; 4; 6; 10</td></tr><tr><td>Профиль обжатия</td><td>шестигранник</td></tr></tbody></table>","Прес-кліщі механічні HX-10 для обтиску накінечників та гільз 1,5-10 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><p>Інструмент призначений для обтиску силових мідних і алюмінієвих неізольованих наконечників (DT, DL, DTL, JG та ін.) і гільз (GL, GT та ін.) під провідники перетином 1,5-10 мм².</p><p>Інструмент оснащений храповим механізмом для якісного обтиску наконечників.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>механічний інструмент</td></tr><tr><td>Тип виробів для обтиску</td><td>накінечники та гільзи силові</td></tr><tr><td>Обтиск, мм²</td><td>1,5; 2,5; 4; 6; 10</td></tr><tr><td>Профіль обтиску</td><td>шестигранник</td></tr></tbody></table>",Русский ~ Механический инструмент,Русский ~ Наконечники и гильзы силовые,"Русский ~ 1,5 ;; Русский ~ 2,5 ;; Русский ~ 4 ;; Русский ~ 6 ;; Русский ~ 10",Русский ~ Шестигранник
https://001.com.ua/press-kleschi-mehanicheskie-hx-26b-dlya-obzhima-nakonechnikov-i-gilz-6-25-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-hx-26b-photo.jpg,"Пресс-клещи механические HX-26B для обжима наконечников и гильз 6-25 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010026,A0170010026,instock,1,12,"1 088,16","Пресс-клещи механические HX-26B для обжима наконечников и гильз 6-25 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><p>Инструмент предназначен для обжима силовых медных и алюминиевых неизолированных наконечников (DT, DL, DTL, JG и др.) и гильз (GL, GT и др.) под проводники сечением 6, 10, 16, 25 мм².</p><p>Инструмент оснащен храповым механизмом для качественного обжатия наконечников.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип обжимаемых изделий</td><td>силовые неизолированные наконечники и гильзы</td></tr><tr><td>Диапазон сечений, мм²</td><td>6, 10, 16, 25</td></tr><tr><td>Вес, кг</td><td>0,85</td></tr><tr><td>Длина, мм</td><td>354</td></tr><tr><td>Упаковка</td><td>блистер</td></tr></tbody></table> ","Прес-кліщі механічні HX-26B для обтиску накінечників та гільз 6-25 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><p>Інструмент призначений для обтиску силових мідних і алюмінієвих неізольованих наконечників (DT, DL, DTL, JG та ін.) і гільз (GL, GT та ін.) під провідники перетином 6, 10, 16, 25 мм².</p><p>Інструмент оснащений храповим механізмом для якісного обтиску наконечників.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробів, що обтискаються</td><td>силові неізольовані накінечники та гільзи</td></tr><tr><td>Діапазон перетинів, мм²</td><td>6, 10, 16, 25</td></tr><tr><td>Вага, кг</td><td>0,85</td></tr><tr><td>Довжина, мм</td><td>354</td></tr><tr><td>Упаковка</td><td>блістер</td></tr></tbody></table> ",Русский ~ Механический инструмент,Русский ~ Наконечники и гильзы силовые,Русский ~ 6 ;; Русский ~ 10 ;; Русский ~ 16 ;; Русский ~ 25,Русский ~ Шестигранник
https://001.com.ua/press-kleschi-mehanicheskie-las-005-dlya-obzhima-nakonechnikov-i-gilz-0-5-10-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-las-005-photo.jpg ;; https://001.com.ua/media/photos/asko/tools/asko-matriza-dlya-press-kleschey-las-005-b-photo.jpg ;; https://001.com.ua/media/photos/asko/tools/asko-matriza-dlya-press-kleschey-las-005-n-photo.jpg ;; https://001.com.ua/media/photos/asko/tools/asko-matriza-dlya-press-kleschey-las-005-w-photo.jpg,"Пресс-клещи механические LAS-005 для обжима наконечников и гильз 0,5-10 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010060,A0170010060,instock,1,12,"1 993,49","Пресс-клещи механические LAS-005 для обжима наконечников и гильз 0,5-10 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><p>Универсальные пресс-клещи: три формы опрессовки для трех типов наконечников (три пары матриц — одна пара в рабочем положении, две пары — в рукоятках, смена матриц — без дополнительного инструмента).</p> <h2>Технические характеристики</h2><table><tbody><tr><td colspan=""2""><strong>Матрица тип W</strong></td></tr><tr><td>Тип обжимаемых изделий</td><td>для изолированных кольцевых, вилочных и др. наконечников типов SV, RV, FDFN, MDFN, FDFD и т.п.</td></tr><tr><td>Диапазон сечений, мм²</td><td>0,5-6,0</td></tr><tr><td colspan=""2""><strong>Матрица тип B</strong></td></tr><tr><td>Тип обжимаемых изделий</td><td>для трубчатых изолированных наконечников типов HT, TE, неизолированных гильз типа EN</td></tr><tr><td>Диапазон сечений, мм²</td><td>0,5-10,0</td></tr><tr><td colspan=""2""><strong>Матрица тип N</strong></td></tr><tr><td>Тип обжимаемых изделий</td><td>для неизолированных наконечников и гильз типов SC, RNB, SNB, GT, GL и т.п.</td></tr><tr><td>Диапазон сечений, мм²</td><td>1,5-10,0</td></tr><tr><td>Вес, кг</td><td>0,68 (вместе с 3 парами матриц)</td></tr><tr><td>Длина, мм</td><td>230</td></tr><tr><td>Упаковка</td><td>блистер</td></tr></tbody></table> ","Прес-кліщі механічні LAS-005 для обтиску накінечників та гільз 0,5-10 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><p>Універсальні прес-кліщі: три форми опресування для трьох типів накінечників (три пари матриць — одна пара в робочому положенні, дві пари — в рукоятках, зміна матриць — без додаткового інструменту).</p> <h2>Технічні характеристики</h2><table><tbody><tr><td colspan=""2""><strong>Матриця тип W</strong></td></tr><tr><td>Тип виробів, що обтискаються</td><td>для ізольованих кільцевих, вилочних та ін. накінечників типів SV, RV, FDFN, MDFN, FDFD тощо.</td></tr><tr><td>Діапазон перетинів, мм²</td><td>0,5-6,0</td></tr><tr><td colspan=""2""><strong>Матриця тип B</strong></td></tr><tr><td>Тип виробів, що обтискаються</td><td>для трубчастих ізольованих накінечників типів HT, TE, неізольованих гільз типу EN</td></tr><tr><td>Діапазон перетинів, мм²</td><td>0,5-10,0</td></tr><tr><td colspan=""2""><strong>Матриця тип N</strong></td></tr><tr><td>Тип виробів, що обтискаються</td><td>для неізольованих накінечників і гільз типів SC, RNB, SNB, GT, GL і т.п.</td></tr><tr><td>Діапазон перетинів, мм²</td><td>1,5-10,0</td></tr><tr><td>Вага, кг</td><td>0,68 (разом з 3 парами матриць)</td></tr><tr><td>Довжина, мм</td><td>230</td></tr><tr><td>Упаковка</td><td>блістер</td></tr></tbody></table> ",Русский ~ Механический инструмент,Русский ~ Наконечники и гильзы силовые ;; Русский ~ наконечники изолированные ;; Русский ~ наконечники неизолированные ;; Русский ~ наконечники-гильзы,"Русский ~ 0,5 ;; Русский ~ 1 ;; Русский ~ 1,5 ;; Русский ~ 2,5 ;; Русский ~ 4 ;; Русский ~ 6 ;; Русский ~ 10",Русский ~ Круг/овал ;; Русский ~ точка ;; Русский ~ трапеция
https://001.com.ua/press-kleschi-mehanicheskie-hsc8-16-4-dlya-obzhima-nakonechnikov-i-gilz-4-16-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-hsc8-16-4-photo.jpg,"Пресс-клещи механические HSC8 16-4 для обжима наконечников и гильз 4-16 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010046,A0170010046,instock,1,12,"1 243,85","Пресс-клещи механические HSC8 16-4 для обжима наконечников и гильз 4-16 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><ul><li>Компактный и легкий универсальный инструмент для опрессовки одинарных и двойных втулочных наконечников</li><li>Одна саморегулирующаяся матрица на все типоразмеры диапазона</li><li>Система с поворотными кулачками диафрагменного типа</li><li>Квадратный профиль обжима с рифлением</li><li>Храповой механизм, гарантирующий полный цикл опрессовки</li><li>Плавные закругленные линии корпуса — удобство и безопасность использования</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип обжимаемых изделий</td><td>наконечники втулочные одинарные и двойные изолированные</td></tr><tr><td>Диапазон сечений, мм²</td><td>HT (одинарные): 4,0-16,0; TE (двойные): 2×4,0-2×16,0</td></tr><tr><td>Вес, кг</td><td>0,52</td></tr><tr><td>Длина, мм</td><td>210</td></tr><tr><td>Упаковка</td><td>блистер</td></tr></tbody></table> ","Прес-кліщі механічні HSC8 16-4 для обтиску накінечників та гільз 4-16 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><ul><li>Компактний і легкий універсальний інструмент для опресовування одинарних і подвійних втулкових наконечників</li><li>Одна саморегульована матриця на всі типорозміри діапазону</li><li>Система з поворотними кулачками діафрагменного типу</li><li>Квадратний профіль обтиску з рифленням</li><li>Храповий механізм, який гарантує повний цикл опресування</li><li>Плавні закруглені лінії корпусу — зручність і безпека використання</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробів, що обтискаються</td><td>накінечники втулкові одинарні та подвійні ізольовані</td></tr><tr><td>Діапазон перетинів, мм²</td><td>HT (одинарні): 4,0-16,0; TE (подвійні): 2×4,0-2×16,0</td></tr><tr><td>Вага, кг</td><td>0,52</td></tr><tr><td>Довжина, мм</td><td>210</td></tr><tr><td>Упаковка</td><td>блістер</td></tr></tbody></table> ",Русский ~ Механический инструмент,Русский ~ Наконечники-гильзы,Русский ~ 4 ;; Русский ~ 6 ;; Русский ~ 10 ;; Русский ~ 16,Русский ~ Квадрат
https://001.com.ua/press-kleschi-mehanicheskie-hs-30j-dlya-obzhima-nakonechnikov-i-gilz-1-5-6-0-mm2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-press-kleshi-mehanicheskie-hs-30j-photo.jpg,"Пресс-клещи механические HS-30J для обжима наконечников и гильз 1,5-6,0 мм², АСКО-УКРЕМ",Инструмент для опрессовки наконечников,АСКО-УКРЕМ,A0170010018,A0170010018,instock,1,12,"640,83","Пресс-клещи механические HS-30J для обжима наконечников и гильз 1,5-6,0 мм², АСКО-УКРЕМ","<h2>Описание товара</h2><p>Инструмент предназначен для обжима наконечников (вилочных, кольцевых и т.д.) с изолированным фланцем под проводники сечением 1.5-6 мм².</p><p>Инструмент оснащен храповым механизмом для качественного обжатия наконечников.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип обжимаемых изделий</td><td>наконечники изолированные (вилочные, кольцевые и др.)</td></tr><tr><td>Диапазон сечений, мм²</td><td>1,5-6</td></tr><tr><td>Вес, кг</td><td>0,6</td></tr><tr><td>Длина, мм</td><td>230</td></tr><tr><td>Упаковка</td><td>блистер</td></tr></tbody></table> ","Прес-кліщі механічні HS-30J для обтиску накінечників та гільз 1,5-6,0 мм², АСКО-УКРЕМ","<h2>Опис товару</h2><p>Інструмент призначений для обтиску наконечників (вилочних, кільцевих і т.д.) з ізольованим фланцем під провідники перетином 1.5-6 мм².</p><p>Інструмент оснащений храповим механізмом для якісного обтиску наконечників.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробів, що обтискаються</td><td>накінечники ізольовані (вилочні, кільцеві та ін.)</td></tr><tr><td>Діапазон перетинів, мм²</td><td>1,5-6</td></tr><tr><td>Вага, кг</td><td>0,6</td></tr><tr><td>Довжина, мм</td><td>230</td></tr><tr><td>Упаковка</td><td>блістер</td></tr></tbody></table> ",Русский ~ Механический инструмент,Русский ~ Наконечники изолированные,"Русский ~ 1,5 ;; Русский ~ 2,5 ;; Русский ~ 4 ;; Русский ~ 6",Русский ~ Круг/овал
