URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип оборудования,Ширина мм,Длина мм,В упаковке,Цвет товара
https://001.com.ua/homut-kabelnyy-2-5x100-mm-neylon-belyy-upakovka-100-sht-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-homut-kabelnyy-neylon-belyy-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-homut-photo.jpg,"Хомут кабельный 2,5×100 мм нейлон белый (упаковка 100 шт.), IEK",Стяжки,IEK,UHH31-D025-100-100,UHH31-D025-100-100,instock,1,12,"27,21","Хомут кабельный 2,5×100 мм нейлон белый (упаковка 100 шт.), IEK","<h2>Описание товара</h2><p>Предназначены для увязки в пучок и монтажа кабелей и проводников.</p><p><strong>Хомуты кабельные</strong> - один из наиболее удобных, быстрых и экономически выгодных способов крепления и бандажирования кабелей при проведении электромонтажных работ.</p><p>Материал хомутов - нейлон. Этот материал сохраняет высокую прочность и пластичность при достаточной жесткости в широком диапазоне температур (от -45 °С до + 85 °С), обладает высокой устойчивостью к органическим растворителям, горюче-смазочным материалам и щелочам, имеет высокие электроизоляционные свойства и не поддерживает горение.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>обычный</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Длина, мм</td><td>100</td></tr><tr><td>Цвет</td><td>белый</td></tr></tbody></table>","Хомут кабельний 2,5×100 мм нейлон білий (упаковка 100 шт.), IEK","<h2>Опис товару</h2><p>Призначені для ув'язки в пучок і монтажу кабелів і провідників.</p><p><strong>Хомути кабельні</strong> - один з найбільш зручних, швидких і економічно вигідних способів кріплення та бандажування кабелів при проведенні електромонтажних робіт.</p><p>Матеріал хомутів - нейлон. Цей матеріал зберігає високу міцність і пластичність при достатній жорсткості в широкому діапазоні температур (від -45 °С до + 85 °С), має високу стійкість до органічних розчинників, пально-мастильних матеріалів і лугів, має високі електроізоляційні властивості і не підтримує горіння.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>звичайний</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Довжина, мм</td><td>100</td></tr><tr><td>Колір</td><td>білий</td></tr></tbody></table>",Русский ~ Обычный,"Русский ~ 2,5",Русский ~ 100,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/homut-kabelnyy-e-ct-stand-150-3-black-2-5x150-mm-neylon-chernyy-upakovka-100-sht-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-kabelnaya-styazhka-e-ct-stand-black-photo.jpg,"Хомут кабельный e.ct.stand.150.3.black, 2,5×150 мм нейлон черный (упаковка 100 шт.), E.NEXT",Стяжки,E.NEXT,s015121,s015121,instock,1,12,"30,71","Хомут кабельный e.ct.stand.150.3.black, 2,5×150 мм нейлон черный (упаковка 100 шт.), E.NEXT","<h2>Описание товара</h2><p>Хомуты кабельные (стяжки) предназначены для увязки и крепления кабелей, проводов и т.п.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6, не поддерживающий горения, не стойкий к ультрафиолетовому излучению</td></tr><tr><td>Температура эксплуатации, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Прочность на разрыв, кгс</td><td>8</td></tr><tr><td>Длина, мм</td><td>150</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Диаметр увязки, мм</td><td>2-35</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table> ","Хомут кабельний e.ct.stand.150.3.black, 2,5×150 мм нейлон чорний (упаковка 100 шт.), E.NEXT","<h2>Опис товару</h2><p>Хомути кабельні (стяжки) призначені для ув'язки і кріплення кабелів, проводів і т.п.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6, який не підтримує горіння, не стійкий до ультрафіолетового випромінювання</td></tr><tr><td>Температура експлуатації, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Міцність на розрив, кгс</td><td>8</td></tr><tr><td>Довжина, мм</td><td>150</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Діаметр ув'язки, мм</td><td>2-35</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table> ",Русский ~ Обычный,"Русский ~ 2,5",Русский ~ 150,Русский ~ 100шт,Русский ~ Черный
https://001.com.ua/homut-kabelnyy-2-5x150-mm-neylon-belyy-upakovka-100-sht-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-homut-kabelnyy-neylon-belyy-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-homut-photo.jpg,"Хомут кабельный 2,5×150 мм нейлон белый (упаковка 100 шт.), IEK",Стяжки,IEK,UHH31-D025-150-100,UHH31-D025-150-100,instock,1,12,"39,33","Хомут кабельный 2,5×150 мм нейлон белый (упаковка 100 шт.), IEK","<h2>Описание товара</h2><p>Предназначены для увязки в пучок и монтажа кабелей и проводников.</p><p><strong>Хомуты кабельные</strong> - один из наиболее удобных, быстрых и экономически выгодных способов крепления и бандажирования кабелей при проведении электромонтажных работ.</p><p>Материал хомутов - нейлон. Этот материал сохраняет высокую прочность и пластичность при достаточной жесткости в широком диапазоне температур (от -45 °С до + 85 °С), обладает высокой устойчивостью к органическим растворителям, горюче-смазочным материалам и щелочам, имеет высокие электроизоляционные свойства и не поддерживает горение.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>обычный</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Длина, мм</td><td>150</td></tr><tr><td>Цвет</td><td>белый</td></tr></tbody></table>","Хомут кабельний 2,5×150 мм нейлон білий (упаковка 100 шт.), IEK","<h2>Опис товару</h2><p>Призначені для ув'язки в пучок і монтажу кабелів і провідників.</p><p><strong>Хомути кабельні</strong> - один з найбільш зручних, швидких і економічно вигідних способів кріплення та бандажування кабелів при проведенні електромонтажних робіт.</p><p>Матеріал хомутів - нейлон. Цей матеріал зберігає високу міцність і пластичність при достатній жорсткості в широкому діапазоні температур (від -45 °С до + 85 °С), має високу стійкість до органічних розчинників, пально-мастильних матеріалів і лугів, має високі електроізоляційні властивості і не підтримує горіння.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>звичайний</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Довжина, мм</td><td>150</td></tr><tr><td>Колір</td><td>білий</td></tr></tbody></table>",Русский ~ Обычный,"Русский ~ 2,5",Русский ~ 150,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/homut-kabelnyy-3-6x150-mm-neylon-belyy-upakovka-100-sht-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-homut-kabelnyy-neylon-belyy-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-homut-photo.jpg,"Хомут кабельный 3,6×150 мм нейлон белый (упаковка 100 шт.), IEK",Стяжки,IEK,UHH31-D036-150-100,UHH31-D036-150-100,instock,1,12,"62,81","Хомут кабельный 3,6×150 мм нейлон белый (упаковка 100 шт.), IEK","<h2>Описание товара</h2><p>Предназначены для увязки в пучок и монтажа кабелей и проводников.</p><p><strong>Хомуты кабельные</strong> - один из наиболее удобных, быстрых и экономически выгодных способов крепления и бандажирования кабелей при проведении электромонтажных работ.</p><p>Материал хомутов - нейлон. Этот материал сохраняет высокую прочность и пластичность при достаточной жесткости в широком диапазоне температур (от -45 °С до + 85 °С), обладает высокой устойчивостью к органическим растворителям, горюче-смазочным материалам и щелочам, имеет высокие электроизоляционные свойства и не поддерживает горение.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>обычный</td></tr><tr><td>Ширина, мм</td><td>3,6</td></tr><tr><td>Длина, мм</td><td>150</td></tr><tr><td>Цвет</td><td>белый</td></tr></tbody></table>","Хомут кабельний 3,6×150 мм нейлон білий (упаковка 100 шт.), IEK","<h2>Опис товару</h2><p>Призначені для ув'язки в пучок і монтажу кабелів і провідників.</p><p><strong>Хомути кабельні</strong> - один з найбільш зручних, швидких і економічно вигідних способів кріплення та бандажування кабелів при проведенні електромонтажних робіт.</p><p>Матеріал хомутів - нейлон. Цей матеріал зберігає високу міцність і пластичність при достатній жорсткості в широкому діапазоні температур (від -45 °С до + 85 °С), має високу стійкість до органічних розчинників, пально-мастильних матеріалів і лугів, має високі електроізоляційні властивості і не підтримує горіння.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>звичайний</td></tr><tr><td>Ширина, мм</td><td>3,6</td></tr><tr><td>Довжина, мм</td><td>150</td></tr><tr><td>Колір</td><td>білий</td></tr></tbody></table>",Русский ~ Обычный,"Русский ~ 3,6",Русский ~ 150,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/homut-kabelnyy-3-6x250-mm-neylon-chernyy-upakovka-100-sht-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-homut-kabelnyy-neylon-chernyy-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-homut-photo.jpg,"Хомут кабельный 3,6×250 мм нейлон черный (упаковка 100 шт.), IEK",Стяжки,IEK,UHH32-D036-250-100,UHH32-D036-250-100,instock,1,12,"104,73","Хомут кабельный 3,6×250 мм нейлон черный (упаковка 100 шт.), IEK","<h2>Описание товара</h2><p>Предназначены для увязки в пучок и монтажа кабелей и проводников.</p><p><strong>Хомуты кабельные</strong> - один из наиболее удобных, быстрых и экономически выгодных способов крепления и бандажирования кабелей при проведении электромонтажных работ.</p><p>Материал хомутов - нейлон. Этот материал сохраняет высокую прочность и пластичность при достаточной жесткости в широком диапазоне температур (от -45 °С до + 85 °С), обладает высокой устойчивостью к органическим растворителям, горюче-смазочным материалам и щелочам, имеет высокие электроизоляционные свойства и не поддерживает горение.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>обычный</td></tr><tr><td>Ширина, мм</td><td>3,6</td></tr><tr><td>Длина, мм</td><td>250</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table>","Хомут кабельний 3,6×250 мм нейлон чорний (упаковка 100 шт.), IEK","<h2>Опис товару</h2><p>Призначені для ув'язки в пучок і монтажу кабелів і провідників.</p><p><strong>Хомути кабельні</strong> - один з найбільш зручних, швидких і економічно вигідних способів кріплення та бандажування кабелів при проведенні електромонтажних робіт.</p><p>Матеріал хомутів - нейлон. Цей матеріал зберігає високу міцність і пластичність при достатній жорсткості в широкому діапазоні температур (від -45 °С до + 85 °С), має високу стійкість до органічних розчинників, пально-мастильних матеріалів і лугів, має високі електроізоляційні властивості і не підтримує горіння.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>звичайний</td></tr><tr><td>Ширина, мм</td><td>3,6</td></tr><tr><td>Довжина, мм</td><td>250</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table>",Русский ~ Обычный,"Русский ~ 3,6",Русский ~ 250,Русский ~ 100шт,Русский ~ Черный
https://001.com.ua/homut-kabelnyy-e-ct-stand-200-3-black-2-5x200-mm-neylon-chernyy-upakovka-100-sht-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-kabelnaya-styazhka-e-ct-stand-black-photo.jpg,"Хомут кабельный e.ct.stand.200.3.black, 2,5×200 мм нейлон черный (упаковка 100 шт.), E.NEXT",Стяжки,E.NEXT,s015014,s015014,instock,1,12,"48,41","Хомут кабельный e.ct.stand.200.3.black, 2,5×200 мм нейлон черный (упаковка 100 шт.), E.NEXT","<h2>Описание товара</h2><p>Хомуты кабельные (стяжки) предназначены для увязки и крепления кабелей, проводов и т.п.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6, не поддерживающий горения, не стойкий к ультрафиолетовому излучению</td></tr><tr><td>Температура эксплуатации, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Прочность на разрыв, кгс</td><td>8</td></tr><tr><td>Длина, мм</td><td>200</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Диаметр увязки, мм</td><td>3-50</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table> ","Хомут кабельний e.ct.stand.200.3.black, 2,5×200 мм нейлон чорний (упаковка 100 шт.), E.NEXT","<h2>Опис товару</h2><p>Хомути кабельні (стяжки) призначені для ув'язки і кріплення кабелів, проводів і т.п.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6, який не підтримує горіння, не стійкий до ультрафіолетового випромінювання</td></tr><tr><td>Температура експлуатації, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Міцність на розрив, кгс</td><td>8</td></tr><tr><td>Довжина, мм</td><td>200</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Діаметр ув'язки, мм</td><td>3-50</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table> ",Русский ~ Обычный,"Русский ~ 2,5",Русский ~ 200,Русский ~ 100шт,Русский ~ Черный
https://001.com.ua/homut-kabelnyy-e-ct-stand-300-5-black-4-8x300-mm-neylon-chernyy-upakovka-100-sht-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-kabelnaya-styazhka-e-ct-stand-black-photo.jpg,"Хомут кабельный e.ct.stand.300.5.black, 4,8×300 мм нейлон черный (упаковка 100 шт.), E.NEXT",Стяжки,E.NEXT,s015044,s015044,instock,1,12,"150,81","Хомут кабельный e.ct.stand.300.5.black, 4,8×300 мм нейлон черный (упаковка 100 шт.), E.NEXT","<h2>Описание товара</h2><p>Хомуты кабельные (стяжки) предназначены для увязки и крепления кабелей, проводов и т.п.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6, не поддерживающий горения, не стойкий к ультрафиолетовому излучению</td></tr><tr><td>Температура эксплуатации, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Прочность на разрыв, кгс</td><td>22</td></tr><tr><td>Длина, мм</td><td>300</td></tr><tr><td>Ширина, мм</td><td>4,8</td></tr><tr><td>Диаметр увязки, мм</td><td>3-82</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table> ","Хомут кабельний e.ct.stand.300.5.black, 4,8×300 мм нейлон чорний (упаковка 100 шт.), E.NEXT","<h2>Опис товару</h2><p>Хомути кабельні (стяжки) призначені для ув'язки і кріплення кабелів, проводів і т.п.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6, який не підтримує горіння, не стійкий до ультрафіолетового випромінювання</td></tr><tr><td>Температура експлуатації, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Міцність на розрив, кгс</td><td>22</td></tr><tr><td>Довжина, мм</td><td>300</td></tr><tr><td>Ширина, мм</td><td>4,8</td></tr><tr><td>Діаметр ув'язки, мм</td><td>3-82</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table> ",Русский ~ Обычный,"Русский ~ 4,8",Русский ~ 300,Русский ~ 100шт,Русский ~ Черный
https://001.com.ua/homut-kabelnyy-e-ct-stand-100-3-black-2-5x100-mm-neylon-chernyy-upakovka-100-sht-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-kabelnaya-styazhka-e-ct-stand-black-photo.jpg,"Хомут кабельный e.ct.stand.100.3.black, 2,5×100 мм нейлон черный (упаковка 100 шт.), E.NEXT",Стяжки,E.NEXT,s015119,s015119,instock,1,12,"20,93","Хомут кабельный e.ct.stand.100.3.black, 2,5×100 мм нейлон черный (упаковка 100 шт.), E.NEXT","<h2>Описание товара</h2><p>Хомуты кабельные (стяжки) предназначены для увязки и крепления кабелей, проводов и т.п.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6, не поддерживающий горения, не стойкий к ультрафиолетовому излучению</td></tr><tr><td>Температура эксплуатации, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Прочность на разрыв, кгс</td><td>8</td></tr><tr><td>Длина, мм</td><td>100</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Диаметр увязки, мм</td><td>2-22</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table> ","Хомут кабельний e.ct.stand.100.3.black, 2,5×100 мм нейлон чорний (упаковка 100 шт.), E.NEXT","<h2>Опис товару</h2><p>Хомути кабельні (стяжки) призначені для ув'язки і кріплення кабелів, проводів і т.п.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6, який не підтримує горіння, не стійкий до ультрафіолетового випромінювання</td></tr><tr><td>Температура експлуатації, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Міцність на розрив, кгс</td><td>8</td></tr><tr><td>Довжина, мм</td><td>100</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Діаметр ув'язки, мм</td><td>2-22</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table> ",Русский ~ Обычный,"Русский ~ 2,5",Русский ~ 100,Русский ~ 100шт,Русский ~ Черный
https://001.com.ua/homut-kabelnyy-e-ct-stand-60-3-black-2-5x60-mm-neylon-chernyy-upakovka-100-sht-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-kabelnaya-styazhka-e-ct-stand-black-photo.jpg,"Хомут кабельный e.ct.stand.60.3.black, 2,5×60 мм нейлон черный (упаковка 100 шт.), E.NEXT",Стяжки,E.NEXT,s015002,s015002,instock,1,12,"16,24","Хомут кабельный e.ct.stand.60.3.black, 2,5×60 мм нейлон черный (упаковка 100 шт.), E.NEXT","<h2>Описание товара</h2><p>Хомуты кабельные (стяжки) предназначены для увязки и крепления кабелей, проводов и т.п.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6, не поддерживающий горения, не стойкий к ультрафиолетовому излучению</td></tr><tr><td>Температура эксплуатации, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Прочность на разрыв, кгс</td><td>8</td></tr><tr><td>Длина, мм</td><td>60</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Диаметр увязки, мм</td><td>2-11</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table> ","Хомут кабельний e.ct.stand.60.3.black, 2,5×60 мм нейлон чорний (упаковка 100 шт.), E.NEXT","<h2>Опис товару</h2><p>Хомути кабельні (стяжки) призначені для ув'язки і кріплення кабелів, проводів і т.п.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6, який не підтримує горіння, не стійкий до ультрафіолетового випромінювання</td></tr><tr><td>Температура експлуатації, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Міцність на розрив, кгс</td><td>8</td></tr><tr><td>Довжина, мм</td><td>60</td></tr><tr><td>Ширина, мм</td><td>2,5</td></tr><tr><td>Діаметр ув'язки, мм</td><td>2-11</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table> ",Русский ~ Обычный,"Русский ~ 2,5",Русский ~ 60,Русский ~ 100шт,Русский ~ Черный
https://001.com.ua/homut-kabelnyy-e-ct-stand-200-4-black-3-5x200-mm-neylon-chernyy-upakovka-100-sht-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-kabelnaya-styazhka-e-ct-stand-black-photo.jpg,"Хомут кабельный e.ct.stand.200.4.black, 3,5×200 мм нейлон черный (упаковка 100 шт.), E.NEXT",Стяжки,E.NEXT,s015102,s015102,instock,1,12,"70,32","Хомут кабельный e.ct.stand.200.4.black, 3,5×200 мм нейлон черный (упаковка 100 шт.), E.NEXT","<h2>Описание товара</h2><p>Хомуты кабельные (стяжки) предназначены для увязки и крепления кабелей, проводов и т.п.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6, не поддерживающий горения, не стойкий к ультрафиолетовому излучению</td></tr><tr><td>Температура эксплуатации, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Прочность на разрыв, кгс</td><td>18</td></tr><tr><td>Длина, мм</td><td>200</td></tr><tr><td>Ширина, мм</td><td>3,5</td></tr><tr><td>Диаметр увязки, мм</td><td>3-50</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table> ","Хомут кабельний e.ct.stand.200.4.black, 3,5×200 мм нейлон чорний (упаковка 100 шт.), E.NEXT","<h2>Опис товару</h2><p>Хомути кабельні (стяжки) призначені для ув'язки і кріплення кабелів, проводів і т.п.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6, який не підтримує горіння, не стійкий до ультрафіолетового випромінювання</td></tr><tr><td>Температура експлуатації, °C</td><td>-10...+85</td></tr><tr><td>Упаковка, шт.</td><td>100</td></tr><tr><td>Міцність на розрив, кгс</td><td>18</td></tr><tr><td>Довжина, мм</td><td>200</td></tr><tr><td>Ширина, мм</td><td>3,5</td></tr><tr><td>Діаметр ув'язки, мм</td><td>3-50</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table> ",Русский ~ Обычный,"Русский ~ 3,5",Русский ~ 200,Русский ~ 100шт,Русский ~ Черный
