URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Максимальное сечение проводников,Маркировка
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-1-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-1-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «1» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080016,A0150080016,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «1» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>1</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «1» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>1</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 1
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-2-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-2-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «2» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080020,A0150080020,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «2» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>2</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «2» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>2</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 2
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-5-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-5-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «5» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080032,A0150080032,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «5» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>5</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «5» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>5</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 5
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-0-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-0-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «0» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080012,A0150080012,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «0» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>0</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «0» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>0</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 0
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-4-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-4-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «4» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080028,A0150080028,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «4» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>4</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «4» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>4</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 4
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-7-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-7-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «7» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080040,A0150080040,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «7» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>7</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «7» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>7</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 7
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-9-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-9-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «9» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080048,A0150080048,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «9» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>9</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «9» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>9</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 9
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-6-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-6-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «6» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080036,A0150080036,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «6» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>6</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «6» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>6</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 6
https://001.com.ua/markirovka-ec-0-dlya-kabelya-0-75-1-5-mm2-simvol-8-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec0-8-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec0-photo.jpg,"Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «8» (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080044,A0150080044,instock,1,12,"43,37","Маркировка EC-0 для кабеля 0,75-1,5 мм² символ «8» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>1,5</td></tr><tr><td>Маркировка</td><td>8</td></tr></tbody></table>","Маркування ЕС-0 для кабелю 0,75-1,5 мм² символ «8» (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>1,5</td></tr><tr><td>Маркування</td><td>8</td></tr></tbody></table>","Русский ~ 1,5",Русский ~ 8
https://001.com.ua/markirovka-ec-1-dlya-kabelya-1-5-4-0-mm2-chistaya-rulon-1000-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-markirovka-dlya-kabelya-ec1-blank-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-markirovka-dlya-kabelya-ec1-photo.jpg,"Маркировка EC-1 для кабеля 1,5-4,0 мм² (чистая) (рулон 1000 шт.), АСКО-УКРЕМ",Маркер кабельный,АСКО-УКРЕМ,A0150080009,A0150080009,instock,1,12,"43,37","Маркировка EC-1 для кабеля 1,5-4,0 мм² (чистая) (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для удобства маркирования проводов. Маркировка выполнена в виде секционированного кембрика специальной формы.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Максимальное сечение проводников, мм²</td><td>4</td></tr><tr><td>Маркировка</td><td>без маркировки</td></tr></tbody></table>","Маркування ЕС-1 для кабелю 1,5-4,0 мм² (чисте) (рулон 1000 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для зручності маркування проводів. Маркування виконане у вигляді секціонованого кембрика спеціальної форми.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Максимальний перетин провідників, мм²</td><td>4</td></tr><tr><td>Маркування</td><td>без маркування</td></tr></tbody></table>",Русский ~ 4,Русский ~ Без маркировки
