URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип оборудования,Ширина мм,В упаковке,Цвет
https://001.com.ua/skoba-kabelnaya-empty-11-mm-tip-1-2r-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/skoba/asko-skoba-kabelnaya-r-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ukrem-skoba-kabelnaya-1-2-r-photo.jpg,"Скоба кабельная ∅11 мм тип 1/2R (упаковка 100 шт.), АСКО-УКРЕМ",Скобы для крепления кабеля,АСКО-УКРЕМ,A0150140006,A0150140006,instock,1,12,"109,95","Скоба кабельная ∅11 мм тип 1/2R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепежа проводов, жгутов проводов и кабелей посредством винтов и саморезов.</p><p>Материал изготовления – нейлон 66.</p><p>Диапазон рабочих температур -30...+85°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>круглая с отверстием для крепления</td></tr><tr><td>Ширина, мм</td><td>11</td></tr></tbody></table>","Скоба кабельна ∅11 мм тип 1/2R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення проводів, джгутів проводів і кабелів за допомогою гвинтів і саморізів.</p><p>Матеріал виготовлення – нейлон 66.</p><p>Діапазон робочих температур -30...+85°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>кругла з отвором для кріплення</td></tr><tr><td>Ширина, мм</td><td>11</td></tr></tbody></table>",Русский ~ Круглая с отверстием для крепления,Русский ~ 11,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-empty-6-mm-tip-1-4r-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/skoba/asko-skoba-kabelnaya-r-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ukrem-skoba-kabelnaya-1-4-r-photo.jpg,"Скоба кабельная ∅6 мм тип 1/4R (упаковка 100 шт.), АСКО-УКРЕМ",Скобы для крепления кабеля,АСКО-УКРЕМ,A0150140003,A0150140003,instock,1,12,"56,50","Скоба кабельная ∅6 мм тип 1/4R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепежа проводов, жгутов проводов и кабелей посредством винтов и саморезов.</p><p>Материал изготовления – нейлон 66.</p><p>Диапазон рабочих температур -30...+85°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>круглая с отверстием для крепления</td></tr><tr><td>Ширина, мм</td><td>6</td></tr></tbody></table>","Скоба кабельна ∅6 мм тип 1/4R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення проводів, джгутів проводів і кабелів за допомогою гвинтів і саморізів.</p><p>Матеріал виготовлення – нейлон 66.</p><p>Діапазон робочих температур -30...+85°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>кругла з отвором для кріплення</td></tr><tr><td>Ширина, мм</td><td>6</td></tr></tbody></table>",Русский ~ Круглая с отверстием для крепления,Русский ~ 6,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-empty-8-5-mm-tip-3-8r-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/skoba/asko-skoba-kabelnaya-r-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ukrem-skoba-kabelnaya-3-8-r-photo.jpg,"Скоба кабельная ∅8.5 мм тип 3/8R (упаковка 100 шт.), АСКО-УКРЕМ",Скобы для крепления кабеля,АСКО-УКРЕМ,A0150140005,A0150140005,instock,1,12,"77,98","Скоба кабельная ∅8.5 мм тип 3/8R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепежа проводов, жгутов проводов и кабелей посредством винтов и саморезов.</p><p>Материал изготовления – нейлон 66.</p><p>Диапазон рабочих температур -30...+85°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>круглая с отверстием для крепления</td></tr><tr><td>Ширина, мм</td><td>8,5</td></tr></tbody></table>","Скоба кабельна ∅8.5 мм тип 3/8R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення проводів, джгутів проводів і кабелів за допомогою гвинтів і саморізів.</p><p>Матеріал виготовлення – нейлон 66.</p><p>Діапазон робочих температур -30...+85°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>кругла з отвором для кріплення</td></tr><tr><td>Ширина, мм</td><td>8,5</td></tr></tbody></table>",Русский ~ Круглая с отверстием для крепления,"Русский ~ 8,5",Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-s-gvozdem-5-mm-kruglaya-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/skoba/asko-skoba-kruglaya-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ukrem-skoba-kruglaya-5mm-photo.jpg,"Скоба кабельная с гвоздем 5 мм круглая (упаковка 100 шт.), АСКО-УКРЕМ",Скобы для крепления кабеля,АСКО-УКРЕМ,A0150030002,A0150030002,instock,1,12,"22,72","Скоба кабельная с гвоздем 5 мм круглая (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепежа проводов и кабелей различных сечений.</p><p>Материал изготовления – нейлон 66, гвоздь оцинкованный.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>круглая</td></tr><tr><td>Ширина, мм</td><td>5</td></tr></tbody></table>","Скоба кабельна з цвяхом 5 мм кругла (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення проводів і кабелів різних перетинів.</p><p>Матеріал виготовлення – нейлон 66, цвях оцинкований.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>кругла</td></tr><tr><td>Ширина, мм</td><td>5</td></tr></tbody></table>",Русский ~ Круглая,Русский ~ 5,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-10-mm-ploskaya-upakovka-100-sht-e-fcc-stand-10-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-skoba-kabelnaya-ploskaya-e-fcc-stand-photo.jpg ;; https://001.com.ua/media/photos/enext/montazh/gabaritnye-razmery-enext-skoba-kabelnaya-e-fcc-stand-10-photo.jpg,"Скоба кабельная 10 мм плоская (упаковка 100 шт.) e.fcc.stand.10, E.NEXT",Скобы для крепления кабеля,E.NEXT,s013007,s013007,instock,1,12,"34,73","Скоба кабельная 10 мм плоская (упаковка 100 шт.) e.fcc.stand.10, E.NEXT",<h2>Описание товара</h2><p>Предназначены для крепления плоских проводов к поверхностям стен и потолков.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал гвоздя</td><td>каленая сталь</td></tr></tbody></table> ,"Скоба кабельна 10 мм плоска (упаковка 100 шт.) e.fcc.stand.10, E.NEXT",<h2>Опис товару</h2><p>Призначені для кріплення плоских проводів до поверхонь стін і стель.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал цвяха</td><td>гартована сталь</td></tr></tbody></table> ,Русский ~ Плоская,Русский ~ 10,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-empty-3-5-mm-tip-1-8r-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/skoba/asko-skoba-kabelnaya-r-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ukrem-skoba-kabelnaya-1-8-r-photo.jpg,"Скоба кабельная ∅3.5 мм тип 1/8R (упаковка 100 шт.), АСКО-УКРЕМ",Скобы для крепления кабеля,АСКО-УКРЕМ,A0150140001,A0150140001,instock,1,12,"47,40","Скоба кабельная ∅3.5 мм тип 1/8R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепежа проводов, жгутов проводов и кабелей посредством винтов и саморезов.</p><p>Материал изготовления – нейлон 66.</p><p>Диапазон рабочих температур -30...+85°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>круглая с отверстием для крепления</td></tr><tr><td>Ширина, мм</td><td>3,5</td></tr></tbody></table>","Скоба кабельна ∅3.5 мм тип 1/8R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення проводів, джгутів проводів і кабелів за допомогою гвинтів і саморізів.</p><p>Матеріал виготовлення – нейлон 66.</p><p>Діапазон робочих температур -30...+85°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>кругла з отвором для кріплення</td></tr><tr><td>Ширина, мм</td><td>3,5</td></tr></tbody></table>",Русский ~ Круглая с отверстием для крепления,"Русский ~ 3,5",Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-4-mm-kruglaya-upakovka-100-sht-e-ccc-stand-4-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-skoba-kabelnaya-kruglaya-e-ccc-stand-photo.jpg ;; https://001.com.ua/media/photos/enext/montazh/gabaritnye-razmery-enext-skoba-kabelnaya-e-ccc-stand-4-photo.jpg,"Скоба кабельная 4 мм круглая (упаковка 100 шт.) e.ccc.stand.4, E.NEXT",Скобы для крепления кабеля,E.NEXT,s014001,s014001,instock,1,12,"17,04","Скоба кабельная 4 мм круглая (упаковка 100 шт.) e.ccc.stand.4, E.NEXT",<h2>Описание товара</h2><p>Предназначены для крепления проводов и кабелей с оболочкой круглого сечения к поверхностям стен и потолков.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал гвоздя</td><td>каленая сталь</td></tr></tbody></table> ,"Скоба кабельна 4 мм кругла (упаковка 100 шт.) e.ccc.stand.4, E.NEXT",<h2>Опис товару</h2><p>Призначені для кріплення проводів і кабелів з оболонкою круглого перетину до поверхонь стін і стель.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал цвяха</td><td>гартована сталь</td></tr></tbody></table> ,Русский ~ Круглая,Русский ~ 4,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-empty-5-mm-tip-3-16r-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/skoba/asko-skoba-kabelnaya-r-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ukrem-skoba-kabelnaya-3-16-r-photo.jpg,"Скоба кабельная ∅5 мм тип 3/16R (упаковка 100 шт.), АСКО-УКРЕМ",Скобы для крепления кабеля,АСКО-УКРЕМ,A0150140002,A0150140002,instock,1,12,"48,98","Скоба кабельная ∅5 мм тип 3/16R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепежа проводов, жгутов проводов и кабелей посредством винтов и саморезов.</p><p>Материал изготовления – нейлон 66.</p><p>Диапазон рабочих температур -30...+85°C.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>круглая с отверстием для крепления</td></tr><tr><td>Ширина, мм</td><td>5</td></tr></tbody></table>","Скоба кабельна ∅5 мм тип 3/16R (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення проводів, джгутів проводів і кабелів за допомогою гвинтів і саморізів.</p><p>Матеріал виготовлення – нейлон 66.</p><p>Діапазон робочих температур -30...+85°C.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>кругла з отвором для кріплення</td></tr><tr><td>Ширина, мм</td><td>5</td></tr></tbody></table>",Русский ~ Круглая с отверстием для крепления,Русский ~ 5,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-s-gvozdem-7-mm-ploskaya-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/skoba/asko-skoba-ploskaya-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ukrem-skoba-ploskaya-7mm-photo.jpg,"Скоба кабельная с гвоздем 7 мм плоская (упаковка 100 шт.), АСКО-УКРЕМ",Скобы для крепления кабеля,АСКО-УКРЕМ,A0150030018,A0150030018,instock,1,12,"23,27","Скоба кабельная с гвоздем 7 мм плоская (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепежа проводов и кабелей различных сечений.</p><p>Материал изготовления – нейлон 66, гвоздь оцинкованный.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>плоская</td></tr><tr><td>Ширина, мм</td><td>7</td></tr></tbody></table>","Скоба кабельна з цвяхом 7 мм плоска (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення проводів і кабелів різних перетинів.</p><p>Матеріал виготовлення – нейлон 66, цвях оцинкований.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>плоска</td></tr><tr><td>Ширина, мм</td><td>7</td></tr></tbody></table>",Русский ~ Плоская,Русский ~ 7,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/skoba-kabelnaya-s-gvozdem-20-mm-kruglaya-upakovka-50-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/skoba/asko-skoba-kruglaya-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ukrem-skoba-kruglaya-20mm-photo.jpg,"Скоба кабельная с гвоздем 20 мм круглая (упаковка 50 шт.), АСКО-УКРЕМ",Скобы для крепления кабеля,АСКО-УКРЕМ,A0150030012,A0150030012,instock,1,12,"77,21","Скоба кабельная с гвоздем 20 мм круглая (упаковка 50 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепежа проводов и кабелей различных сечений.</p><p>Материал изготовления – нейлон 66, гвоздь оцинкованный.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>круглая</td></tr><tr><td>Ширина, мм</td><td>20</td></tr></tbody></table>","Скоба кабельна з цвяхом 20 мм кругла (упаковка 50 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення проводів і кабелів різних перетинів.</p><p>Матеріал виготовлення – нейлон 66, цвях оцинкований.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>кругла</td></tr><tr><td>Ширина, мм</td><td>20</td></tr></tbody></table>",Русский ~ Круглая,Русский ~ 20,Русский ~ 50шт,Русский ~ Белый
