URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип оборудования,Диаметр до усадки,Диаметр после усадки,Цвет товара
https://001.com.ua/termousazhivaemaya-trubka-na-kleevoy-osnove-tsk-empty-6-4-mm-chernaya-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-tsk-black-photo.jpg,"Термоусаживаемая трубка на клеевой основе ТСК ∅6,4 мм черная, АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040074,A0150040074,instock,1,12,"31,89","Термоусаживаемая трубка на клеевой основе ТСК ∅6,4 мм черная, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для электрической изоляции, защиты от внешних механических и химических воздействий. Может применяться как на открытом воздухе, так и под землей.</p><p><strong>Способ применения:</strong></p><ul><li>внутренний диаметр трубки должен быть немного больше диаметра предмета, на который производится усадка (10-15%);</li><li>при обрезке следует делать ровные срезы на краях трубки;</li><li>термоусадку трубки следует производить с помощью фена по направлению от центра к краям;</li><li>необходимо придерживаться оптимальной температуры нагрева для уменьшения времени стягивания.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура размягчения, °C</td><td>+90</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Коэффициент усадки</td><td>3:1</td></tr><tr><td>Предел прочности на разрыв, МПа</td><td>не менее 10,4</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>не менее 15</td></tr><tr><td>Объемное сопротивление, Ом/см</td><td>не менее 1013</td></tr><tr><td>Адгезия клеевого слоя, кг/см²</td><td>4</td></tr><tr><td>Водопоглощение, %</td><td>не более 0,4</td></tr></tbody></table> ","Термозбіжна трубка на клейовій основі ТСК ∅6,4 мм чорна, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для електричної ізоляції, захисту від зовнішніх механічних і хімічних впливів. Може застосовуватися як на відкритому повітрі, так і під землею.</p><p><strong>Спосіб застосування:</strong></p><ul><li>внутрішній діаметр трубки повинен бути трохи більше діаметру предмета, на який проводиться усадка (10-15%);</li><li>при обрізанні слід робити рівні зрізи на краях трубки;</li><li>термоусадку трубки слід проводити за допомогою фена у напрямку від центру до країв;</li><li>необхідно дотримуватися оптимальної температури нагріву для зменшення часу стягування.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура розм'якшення, °C</td><td>+90</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Коефіцієнт усадки</td><td>3:1</td></tr><tr><td>Межа міцності на розрив, МПа</td><td>не менше 10,4</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>не менше 15</td></tr><tr><td>Об'ємний опір, Ом/см</td><td>не менше 1013</td></tr><tr><td>Адгезія клейового шару, кг/см²</td><td>4</td></tr><tr><td>Водопоглинання, %</td><td>не більше 0,4</td></tr></tbody></table> ",Русский ~ трубка с клеевым слоем,Русский ~ 6,Русский ~ 2,Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-na-kleevoy-osnove-tsk-empty-4-8-mm-chernaya-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-tsk-black-photo.jpg,"Термоусаживаемая трубка на клеевой основе ТСК ∅4,8 мм черная, АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040085,A0150040085,instock,1,12,"25,23","Термоусаживаемая трубка на клеевой основе ТСК ∅4,8 мм черная, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для электрической изоляции, защиты от внешних механических и химических воздействий. Может применяться как на открытом воздухе, так и под землей.</p><p><strong>Способ применения:</strong></p><ul><li>внутренний диаметр трубки должен быть немного больше диаметра предмета, на который производится усадка (10-15%);</li><li>при обрезке следует делать ровные срезы на краях трубки;</li><li>термоусадку трубки следует производить с помощью фена по направлению от центра к краям;</li><li>необходимо придерживаться оптимальной температуры нагрева для уменьшения времени стягивания.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура размягчения, °C</td><td>+90</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Коэффициент усадки</td><td>3:1</td></tr><tr><td>Предел прочности на разрыв, МПа</td><td>не менее 10,4</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>не менее 15</td></tr><tr><td>Объемное сопротивление, Ом/см</td><td>не менее 1013</td></tr><tr><td>Адгезия клеевого слоя, кг/см²</td><td>4</td></tr><tr><td>Водопоглощение, %</td><td>не более 0,4</td></tr></tbody></table> ","Термозбіжна трубка на клейовій основі ТСК ∅4,8 мм чорна, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для електричної ізоляції, захисту від зовнішніх механічних і хімічних впливів. Може застосовуватися як на відкритому повітрі, так і під землею.</p><p><strong>Спосіб застосування:</strong></p><ul><li>внутрішній діаметр трубки повинен бути трохи більше діаметру предмета, на який проводиться усадка (10-15%);</li><li>при обрізанні слід робити рівні зрізи на краях трубки;</li><li>термоусадку трубки слід проводити за допомогою фена у напрямку від центру до країв;</li><li>необхідно дотримуватися оптимальної температури нагріву для зменшення часу стягування.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура розм'якшення, °C</td><td>+90</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Коефіцієнт усадки</td><td>3:1</td></tr><tr><td>Межа міцності на розрив, МПа</td><td>не менше 10,4</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>не менше 15</td></tr><tr><td>Об'ємний опір, Ом/см</td><td>не менше 1013</td></tr><tr><td>Адгезія клейового шару, кг/см²</td><td>4</td></tr><tr><td>Водопоглинання, %</td><td>не більше 0,4</td></tr></tbody></table> ",Русский ~ трубка с клеевым слоем,Русский ~ 4,"Русский ~ 1,5",Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-empty-6-0-3-0-mm-chernaya-otrezok-1-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-k-photo.jpg,"Термоусаживаемая трубка ∅6,0/3,0 мм черная (отрезок 1 м), АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040390,A0150040390,instock,1,12,"6,04","Термоусаживаемая трубка ∅6,0/3,0 мм черная (отрезок 1 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для изоляции мест соединения проводов.</p><p>Материал изготовления: модифицированный термополимер - композит на основе полиэтилена высокого давления.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Устойчивость к растяжению, МПа</td><td>12,5</td></tr><tr><td>Удлинение при разрыве, %</td><td>570</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>25,5</td></tr></tbody></table> ","Термозбіжна трубка ∅6,0/3,0 мм чорна (відрізок 1 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для ізоляції місць з'єднання проводів.</p><p>Матеріал виготовлення: модифікований термополімер - композит на основі поліетилену високого тиску.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Стійкість до розтягування, МПа</td><td>12,5</td></tr><tr><td>Подовження при розриві, %</td><td>570</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>25,5</td></tr></tbody></table> ",Русский ~ трубка,Русский ~ 6,Русский ~ 3,Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-empty-4-0-2-0-mm-chernaya-otrezok-1-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-k-photo.jpg,"Термоусаживаемая трубка ∅4,0/2,0 мм черная (отрезок 1 м), АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040388,A0150040388,instock,1,12,"4,61","Термоусаживаемая трубка ∅4,0/2,0 мм черная (отрезок 1 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для изоляции мест соединения проводов.</p><p>Материал изготовления: модифицированный термополимер - композит на основе полиэтилена высокого давления.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Устойчивость к растяжению, МПа</td><td>12,5</td></tr><tr><td>Удлинение при разрыве, %</td><td>570</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>25,5</td></tr></tbody></table> ","Термозбіжна трубка ∅4,0/2,0 мм чорна (відрізок 1 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для ізоляції місць з'єднання проводів.</p><p>Матеріал виготовлення: модифікований термополімер - композит на основі поліетилену високого тиску.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Стійкість до розтягування, МПа</td><td>12,5</td></tr><tr><td>Подовження при розриві, %</td><td>570</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>25,5</td></tr></tbody></table> ",Русский ~ трубка,Русский ~ 4,Русский ~ 2,Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-na-kleevoy-osnove-tsk-empty-7-9-mm-chernaya-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-tsk-black-photo.jpg,"Термоусаживаемая трубка на клеевой основе ТСК ∅7,9 мм черная, АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040075,A0150040075,instock,1,12,"41,93","Термоусаживаемая трубка на клеевой основе ТСК ∅7,9 мм черная, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для электрической изоляции, защиты от внешних механических и химических воздействий. Может применяться как на открытом воздухе, так и под землей.</p><p><strong>Способ применения:</strong></p><ul><li>внутренний диаметр трубки должен быть немного больше диаметра предмета, на который производится усадка (10-15%);</li><li>при обрезке следует делать ровные срезы на краях трубки;</li><li>термоусадку трубки следует производить с помощью фена по направлению от центра к краям;</li><li>необходимо придерживаться оптимальной температуры нагрева для уменьшения времени стягивания.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура размягчения, °C</td><td>+90</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Коэффициент усадки</td><td>3:1</td></tr><tr><td>Предел прочности на разрыв, МПа</td><td>не менее 10,4</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>не менее 15</td></tr><tr><td>Объемное сопротивление, Ом/см</td><td>не менее 1013</td></tr><tr><td>Адгезия клеевого слоя, кг/см²</td><td>4</td></tr><tr><td>Водопоглощение, %</td><td>не более 0,4</td></tr></tbody></table> ","Термозбіжна трубка на клейовій основі ТСК ∅7,9 мм чорна, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для електричної ізоляції, захисту від зовнішніх механічних і хімічних впливів. Може застосовуватися як на відкритому повітрі, так і під землею.</p><p><strong>Спосіб застосування:</strong></p><ul><li>внутрішній діаметр трубки повинен бути трохи більше діаметру предмета, на який проводиться усадка (10-15%);</li><li>при обрізанні слід робити рівні зрізи на краях трубки;</li><li>термоусадку трубки слід проводити за допомогою фена у напрямку від центру до країв;</li><li>необхідно дотримуватися оптимальної температури нагріву для зменшення часу стягування.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура розм'якшення, °C</td><td>+90</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Коефіцієнт усадки</td><td>3:1</td></tr><tr><td>Межа міцності на розрив, МПа</td><td>не менше 10,4</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>не менше 15</td></tr><tr><td>Об'ємний опір, Ом/см</td><td>не менше 1013</td></tr><tr><td>Адгезія клейового шару, кг/см²</td><td>4</td></tr><tr><td>Водопоглинання, %</td><td>не більше 0,4</td></tr></tbody></table> ",Русский ~ трубка с клеевым слоем,Русский ~ 8,"Русский ~ 2,7",Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-empty-8-0-4-0-mm-chernaya-otrezok-1-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-k-photo.jpg,"Термоусаживаемая трубка ∅8,0/4,0 мм черная (отрезок 1 м), АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040392,A0150040392,instock,1,12,"7,44","Термоусаживаемая трубка ∅8,0/4,0 мм черная (отрезок 1 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для изоляции мест соединения проводов.</p><p>Материал изготовления: модифицированный термополимер - композит на основе полиэтилена высокого давления.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Устойчивость к растяжению, МПа</td><td>12,5</td></tr><tr><td>Удлинение при разрыве, %</td><td>570</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>25,5</td></tr></tbody></table> ","Термозбіжна трубка ∅8,0/4,0 мм чорна (відрізок 1 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для ізоляції місць з'єднання проводів.</p><p>Матеріал виготовлення: модифікований термополімер - композит на основі поліетилену високого тиску.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Стійкість до розтягування, МПа</td><td>12,5</td></tr><tr><td>Подовження при розриві, %</td><td>570</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>25,5</td></tr></tbody></table> ",Русский ~ трубка,Русский ~ 8,Русский ~ 4,Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-na-kleevoy-osnove-tsk-empty-9-5-mm-chernaya-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-tsk-black-photo.jpg,"Термоусаживаемая трубка на клеевой основе ТСК ∅9,5 мм черная, АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040076,A0150040076,instock,1,12,"46,35","Термоусаживаемая трубка на клеевой основе ТСК ∅9,5 мм черная, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для электрической изоляции, защиты от внешних механических и химических воздействий. Может применяться как на открытом воздухе, так и под землей.</p><p><strong>Способ применения:</strong></p><ul><li>внутренний диаметр трубки должен быть немного больше диаметра предмета, на который производится усадка (10-15%);</li><li>при обрезке следует делать ровные срезы на краях трубки;</li><li>термоусадку трубки следует производить с помощью фена по направлению от центра к краям;</li><li>необходимо придерживаться оптимальной температуры нагрева для уменьшения времени стягивания.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура размягчения, °C</td><td>+90</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Коэффициент усадки</td><td>3:1</td></tr><tr><td>Предел прочности на разрыв, МПа</td><td>не менее 10,4</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>не менее 15</td></tr><tr><td>Объемное сопротивление, Ом/см</td><td>не менее 1013</td></tr><tr><td>Адгезия клеевого слоя, кг/см²</td><td>4</td></tr><tr><td>Водопоглощение, %</td><td>не более 0,4</td></tr></tbody></table> ","Термозбіжна трубка на клейовій основі ТСК ∅9,5 мм чорна, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для електричної ізоляції, захисту від зовнішніх механічних і хімічних впливів. Може застосовуватися як на відкритому повітрі, так і під землею.</p><p><strong>Спосіб застосування:</strong></p><ul><li>внутрішній діаметр трубки повинен бути трохи більше діаметру предмета, на який проводиться усадка (10-15%);</li><li>при обрізанні слід робити рівні зрізи на краях трубки;</li><li>термоусадку трубки слід проводити за допомогою фена у напрямку від центру до країв;</li><li>необхідно дотримуватися оптимальної температури нагріву для зменшення часу стягування.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура розм'якшення, °C</td><td>+90</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Коефіцієнт усадки</td><td>3:1</td></tr><tr><td>Межа міцності на розрив, МПа</td><td>не менше 10,4</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>не менше 15</td></tr><tr><td>Об'ємний опір, Ом/см</td><td>не менше 1013</td></tr><tr><td>Адгезія клейового шару, кг/см²</td><td>4</td></tr><tr><td>Водопоглинання, %</td><td>не більше 0,4</td></tr></tbody></table> ",Русский ~ трубка с клеевым слоем,Русский ~ 9,Русский ~ 3,Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-na-kleevoy-osnove-tsk-empty-3-2-mm-chernaya-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-tsk-black-photo.jpg,"Термоусаживаемая трубка на клеевой основе ТСК ∅3,2 мм черная, АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040084,A0150040084,instock,1,12,"17,21","Термоусаживаемая трубка на клеевой основе ТСК ∅3,2 мм черная, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для электрической изоляции, защиты от внешних механических и химических воздействий. Может применяться как на открытом воздухе, так и под землей.</p><p><strong>Способ применения:</strong></p><ul><li>внутренний диаметр трубки должен быть немного больше диаметра предмета, на который производится усадка (10-15%);</li><li>при обрезке следует делать ровные срезы на краях трубки;</li><li>термоусадку трубки следует производить с помощью фена по направлению от центра к краям;</li><li>необходимо придерживаться оптимальной температуры нагрева для уменьшения времени стягивания.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура размягчения, °C</td><td>+90</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Коэффициент усадки</td><td>3:1</td></tr><tr><td>Предел прочности на разрыв, МПа</td><td>не менее 10,4</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>не менее 15</td></tr><tr><td>Объемное сопротивление, Ом/см</td><td>не менее 1013</td></tr><tr><td>Адгезия клеевого слоя, кг/см²</td><td>4</td></tr><tr><td>Водопоглощение, %</td><td>не более 0,4</td></tr></tbody></table> ","Термозбіжна трубка на клейовій основі ТСК ∅3,2 мм чорна, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для електричної ізоляції, захисту від зовнішніх механічних і хімічних впливів. Може застосовуватися як на відкритому повітрі, так і під землею.</p><p><strong>Спосіб застосування:</strong></p><ul><li>внутрішній діаметр трубки повинен бути трохи більше діаметру предмета, на який проводиться усадка (10-15%);</li><li>при обрізанні слід робити рівні зрізи на краях трубки;</li><li>термоусадку трубки слід проводити за допомогою фена у напрямку від центру до країв;</li><li>необхідно дотримуватися оптимальної температури нагріву для зменшення часу стягування.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-20...+125</td></tr><tr><td>Температура усадки, °C</td><td>+125</td></tr><tr><td>Температура розм'якшення, °C</td><td>+90</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Коефіцієнт усадки</td><td>3:1</td></tr><tr><td>Межа міцності на розрив, МПа</td><td>не менше 10,4</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>не менше 15</td></tr><tr><td>Об'ємний опір, Ом/см</td><td>не менше 1013</td></tr><tr><td>Адгезія клейового шару, кг/см²</td><td>4</td></tr><tr><td>Водопоглинання, %</td><td>не більше 0,4</td></tr></tbody></table> ",Русский ~ трубка с клеевым слоем,Русский ~ 3,Русский ~ 1,Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-empty-10-0-5-0-mm-chernaya-otrezok-1-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-k-photo.jpg,"Термоусаживаемая трубка ∅10,0/5,0 мм черная (отрезок 1 м), АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040394,A0150040394,instock,1,12,"8,90","Термоусаживаемая трубка ∅10,0/5,0 мм черная (отрезок 1 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для изоляции мест соединения проводов.</p><p>Материал изготовления: модифицированный термополимер - композит на основе полиэтилена высокого давления.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Устойчивость к растяжению, МПа</td><td>12,5</td></tr><tr><td>Удлинение при разрыве, %</td><td>570</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>25,5</td></tr></tbody></table> ","Термозбіжна трубка ∅10,0/5,0 мм чорна (відрізок 1 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для ізоляції місць з'єднання проводів.</p><p>Матеріал виготовлення: модифікований термополімер - композит на основі поліетилену високого тиску.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Стійкість до розтягування, МПа</td><td>12,5</td></tr><tr><td>Подовження при розриві, %</td><td>570</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>25,5</td></tr></tbody></table> ",Русский ~ трубка,Русский ~ 10,Русский ~ 5,Русский ~ Черный
https://001.com.ua/termousazhivaemaya-trubka-empty-5-0-2-5-mm-chernaya-otrezok-1-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-termousazhyvaemaya-trubka-k-photo.jpg,"Термоусаживаемая трубка ∅5,0/2,5 мм черная (отрезок 1 м), АСКО-УКРЕМ",Термоусаживаемые изделия,АСКО-УКРЕМ,A0150040389,A0150040389,instock,1,12,"5,09","Термоусаживаемая трубка ∅5,0/2,5 мм черная (отрезок 1 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для изоляции мест соединения проводов.</p><p>Материал изготовления: модифицированный термополимер - композит на основе полиэтилена высокого давления.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Температура эксплуатации, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Продольная максимальная усадка, %</td><td>10</td></tr><tr><td>Устойчивость к растяжению, МПа</td><td>12,5</td></tr><tr><td>Удлинение при разрыве, %</td><td>570</td></tr><tr><td>Электрическая прочность, кВ/мм</td><td>25,5</td></tr></tbody></table> ","Термозбіжна трубка ∅5,0/2,5 мм чорна (відрізок 1 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для ізоляції місць з'єднання проводів.</p><p>Матеріал виготовлення: модифікований термополімер - композит на основі поліетилену високого тиску.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Температура експлуатації, °C</td><td>-40...+100</td></tr><tr><td>Температура усадки, °C</td><td>+90...+180</td></tr><tr><td>Поздовжня максимальна усадка, %</td><td>10</td></tr><tr><td>Стійкість до розтягування, МПа</td><td>12,5</td></tr><tr><td>Подовження при розриві, %</td><td>570</td></tr><tr><td>Електрична міцність, кВ/мм</td><td>25,5</td></tr></tbody></table> ",Русский ~ трубка,Русский ~ 5,"Русский ~ 2,5",Русский ~ Черный
