URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Размер,Цвет товара
https://001.com.ua/ploskiy-ugol-e-trunking-blend-angle-stand-25-25-dlya-kabelnogo-koroba-25x25-mm-e-next,new,,,https://001.com.ua/media/photos/enext/cable-trunking/enext-ploskiy-ugol-e-trunking-blend-angle-stand-25-25-s3033015-photo.jpg ;; https://001.com.ua/media/photos/enext/cable-trunking/gabaritnye-razmery-enext-ploskiy-ugol-e-trunking-blend-angle-stand-25-25-s3033015-photo.jpg,"Плоский угол e.trunking.blend.angle.stand.25.25 для кабельного короба 25×25 мм, E.NEXT",Угол плоский,E.NEXT,s3033015,s3033015,instock,1,12,"6,89","Плоский угол e.trunking.blend.angle.stand.25.25 для кабельного короба 25×25 мм, E.NEXT","<h2>Описание товара</h2><p>Служит для соединения двух кабель каналов одинакового типоразмера по углу 90°.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>25×25</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Плоский кут e.trunking.blend.angle.stand.25.25 для кабельного коробу 25×25 мм, E.NEXT","<h2>Опис товару</h2><p>Служить для з'єднання двох кабель каналів однакового типорозміру по куту 90°.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>25×25</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 25×25,Русский ~ Белый
https://001.com.ua/ploskiy-ugol-e-trunking-blend-angle-stand-60-40-dlya-kabelnogo-koroba-60x40-mm-e-next,new,,,https://001.com.ua/media/photos/enext/cable-trunking/enext-ploskiy-ugol-e-trunking-blend-angle-stand-60-40-s3033008-photo.jpg ;; https://001.com.ua/media/photos/enext/cable-trunking/gabaritnye-razmery-enext-ploskiy-ugol-e-trunking-blend-angle-stand-60-40-s3033008-photo.jpg,"Плоский угол e.trunking.blend.angle.stand.60.40 для кабельного короба 60×40 мм, E.NEXT",Угол плоский,E.NEXT,s3033008,s3033008,instock,1,12,"26,71","Плоский угол e.trunking.blend.angle.stand.60.40 для кабельного короба 60×40 мм, E.NEXT","<h2>Описание товара</h2><p>Служит для соединения двух кабель каналов одинакового типоразмера по углу 90°.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>60×40</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Плоский кут e.trunking.blend.angle.stand.60.40 для кабельного коробу 60×40 мм, E.NEXT","<h2>Опис товару</h2><p>Служить для з'єднання двох кабель каналів однакового типорозміру по куту 90°.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>60×40</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 60×40,Русский ~ Белый
https://001.com.ua/ploskiy-ugol-e-trunking-blend-angle-stand-40-16-dlya-kabelnogo-koroba-40x16-mm-e-next,new,,,https://001.com.ua/media/photos/enext/cable-trunking/enext-ploskiy-ugol-e-trunking-blend-angle-stand-40-16-s3033005-photo.jpg ;; https://001.com.ua/media/photos/enext/cable-trunking/gabaritnye-razmery-enext-ploskiy-ugol-e-trunking-blend-angle-stand-40-16-s3033005-photo.jpg,"Плоский угол e.trunking.blend.angle.stand.40.16 для кабельного короба 40×16 мм, E.NEXT",Угол плоский,E.NEXT,s3033005,s3033005,instock,1,12,"6,99","Плоский угол e.trunking.blend.angle.stand.40.16 для кабельного короба 40×16 мм, E.NEXT","<h2>Описание товара</h2><p>Служит для соединения двух кабель каналов одинакового типоразмера по углу 90°.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>40×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Плоский кут e.trunking.blend.angle.stand.40.16 для кабельного коробу 40×16 мм, E.NEXT","<h2>Опис товару</h2><p>Служить для з'єднання двох кабель каналів однакового типорозміру по куту 90°.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>40×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 40×16,Русский ~ Белый
https://001.com.ua/ugol-ploskiy-dlya-kabel-kanala-25x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-ploskiy-dlya-kabel-kanala-photo.jpg,"Угол плоский для кабель-канала 25×16 мм, АСКО-УКРЕМ",Угол плоский,АСКО-УКРЕМ,A0070040034,A0070040034,instock,1,12,"18,17","Угол плоский для кабель-канала 25×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>25×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Кут плоский до кабель-каналу 25×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>25×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 25×16,Русский ~ Белый
https://001.com.ua/ugol-ploskiy-dlya-kabel-kanala-15x10-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-ploskiy-dlya-kabel-kanala-photo.jpg,"Угол плоский для кабель-канала 15×10 мм, АСКО-УКРЕМ",Угол плоский,АСКО-УКРЕМ,A0070040032,A0070040032,instock,1,12,"1,89","Угол плоский для кабель-канала 15×10 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>15×10</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Кут плоский до кабель-каналу 15×10 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>15×10</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 15×10,Русский ~ Белый
https://001.com.ua/ugol-ploskiy-dlya-kabel-kanala-16x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-ploskiy-dlya-kabel-kanala-photo.jpg,"Угол плоский для кабель-канала 16×16 мм, АСКО-УКРЕМ",Угол плоский,АСКО-УКРЕМ,A0070040054,A0070040054,instock,1,12,"2,52","Угол плоский для кабель-канала 16×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>16×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Кут плоский до кабель-каналу 16×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>16×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 16×16,Русский ~ Белый
https://001.com.ua/ugol-ploskiy-dlya-kabel-kanala-20x10-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-ploskiy-dlya-kabel-kanala-photo.jpg,"Угол плоский для кабель-канала 20×10 мм, АСКО-УКРЕМ",Угол плоский,АСКО-УКРЕМ,A0070040033,A0070040033,instock,1,12,"3,03","Угол плоский для кабель-канала 20×10 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>20×10</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Кут плоский до кабель-каналу 20×10 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>20×10</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 20×10,Русский ~ Белый
https://001.com.ua/ugol-ploskiy-dlya-kabel-kanala-40x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-ploskiy-dlya-kabel-kanala-photo.jpg,"Угол плоский для кабель-канала 40×16 мм, АСКО-УКРЕМ",Угол плоский,АСКО-УКРЕМ,A0070040035,A0070040035,instock,1,12,"5,28","Угол плоский для кабель-канала 40×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>40×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Кут плоский до кабель-каналу 40×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>40×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 40×16,Русский ~ Белый
https://001.com.ua/ugol-ploskiy-dlya-kabel-kanala-40x25-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-ploskiy-dlya-kabel-kanala-photo.jpg,"Угол плоский для кабель-канала 40×25 мм, АСКО-УКРЕМ",Угол плоский,АСКО-УКРЕМ,A0070040036,A0070040036,instock,1,12,"13,80","Угол плоский для кабель-канала 40×25 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>40×25</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Кут плоский до кабель-каналу 40×25 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>40×25</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 40×25,Русский ~ Белый
https://001.com.ua/ugol-ploskiy-dlya-kabel-kanala-60x40-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-ploskiy-dlya-kabel-kanala-photo.jpg,"Угол плоский для кабель-канала 60×40 мм, АСКО-УКРЕМ",Угол плоский,АСКО-УКРЕМ,A0070040037,A0070040037,instock,1,12,"37,64","Угол плоский для кабель-канала 60×40 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>60×40</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>","Кут плоский до кабель-каналу 60×40 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>60×40</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>поворот 90°</td></tr></tbody></table>",Русский ~ 60×40,Русский ~ Белый
