URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Размер,Цвет товара
https://001.com.ua/ugol-vneshniy-dlya-kabel-kanala-25x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vneshniy-dlya-kabel-kanala-photo.jpg,"Угол внешний для кабель-канала 25×16 мм, АСКО-УКРЕМ",Угол внешний,АСКО-УКРЕМ,A0070040018,A0070040018,instock,1,12,"6,68","Угол внешний для кабель-канала 25×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>25×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Кут зовнішній до кабель-каналу 25×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>25×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 25×16,Русский ~ Белый
https://001.com.ua/ugol-vneshniy-dlya-kabel-kanala-15x10-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vneshniy-dlya-kabel-kanala-photo.jpg,"Угол внешний для кабель-канала 15×10 мм, АСКО-УКРЕМ",Угол внешний,АСКО-УКРЕМ,A0070040016,A0070040016,instock,1,12,"4,11","Угол внешний для кабель-канала 15×10 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>15×10</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Кут зовнішній до кабель-каналу 15×10 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>15×10</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 15×10,Русский ~ Белый
https://001.com.ua/ugol-vneshniy-dlya-kabel-kanala-16x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vneshniy-dlya-kabel-kanala-photo.jpg,"Угол внешний для кабель-канала 16×16 мм, АСКО-УКРЕМ",Угол внешний,АСКО-УКРЕМ,A0070040052,A0070040052,instock,1,12,"2,30","Угол внешний для кабель-канала 16×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>16×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Кут зовнішній до кабель-каналу 16×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>16×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 16×16,Русский ~ Белый
https://001.com.ua/ugol-vneshniy-dlya-kabel-kanala-20x10-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vneshniy-dlya-kabel-kanala-photo.jpg,"Угол внешний для кабель-канала 20×10 мм, АСКО-УКРЕМ",Угол внешний,АСКО-УКРЕМ,A0070040017,A0070040017,instock,1,12,"2,98","Угол внешний для кабель-канала 20×10 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>20×10</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Кут зовнішній до кабель-каналу 20×10 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>20×10</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 20×10,Русский ~ Белый
https://001.com.ua/ugol-vneshniy-dlya-kabel-kanala-40x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vneshniy-dlya-kabel-kanala-photo.jpg,"Угол внешний для кабель-канала 40×16 мм, АСКО-УКРЕМ",Угол внешний,АСКО-УКРЕМ,A0070040019,A0070040019,instock,1,12,"4,49","Угол внешний для кабель-канала 40×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>40×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Кут зовнішній до кабель-каналу 40×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>40×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 40×16,Русский ~ Белый
https://001.com.ua/ugol-vneshniy-dlya-kabel-kanala-40x25-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vneshniy-dlya-kabel-kanala-photo.jpg,"Угол внешний для кабель-канала 40×25 мм, АСКО-УКРЕМ",Угол внешний,АСКО-УКРЕМ,A0070040020,A0070040020,instock,1,12,"12,95","Угол внешний для кабель-канала 40×25 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>40×25</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Кут зовнішній до кабель-каналу 40×25 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>40×25</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 40×25,Русский ~ Белый
https://001.com.ua/ugol-vneshniy-dlya-kabel-kanala-60x40-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vneshniy-dlya-kabel-kanala-photo.jpg,"Угол внешний для кабель-канала 60×40 мм, АСКО-УКРЕМ",Угол внешний,АСКО-УКРЕМ,A0070040021,A0070040021,instock,1,12,"32,38","Угол внешний для кабель-канала 60×40 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>60×40</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Кут зовнішній до кабель-каналу 60×40 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>60×40</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 60×40,Русский ~ Белый
https://001.com.ua/ugol-vneshniy-dlya-kabel-kanala-100x40-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vneshniy-dlya-kabel-kanala-photo.jpg,"Угол внешний для кабель-канала 100×40 мм, АСКО-УКРЕМ",Угол внешний,АСКО-УКРЕМ,A0070040022,A0070040022,instock,1,12,"25,18","Угол внешний для кабель-канала 100×40 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>100×40</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Кут зовнішній до кабель-каналу 100×40 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>100×40</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 100×40,Русский ~ Белый
https://001.com.ua/vneshniy-ugol-e-trunking-blend-out-stand-15-10-dlya-kabelnogo-koroba-15x10-mm-e-next,new,,,https://001.com.ua/media/photos/enext/cable-trunking/enext-vneshniy-ugol-e-trunking-blend-out-stand-15-10-s2033001-photo.jpg ;; https://001.com.ua/media/photos/enext/cable-trunking/gabaritnye-razmery-enext-vneshniy-ugol-e-trunking-blend-out-stand-15-10-s2033001-photo.jpg,"Внешний угол e.trunking.blend.out.stand.15.10 для кабельного короба 15×10 мм, E.NEXT",Угол внешний,E.NEXT,s2033001,s2033001,instock,1,12,"2,68","Внешний угол e.trunking.blend.out.stand.15.10 для кабельного короба 15×10 мм, E.NEXT","<h2>Описание товара</h2><p>Служит для соединения двух кабель каналов одинакового типоразмера на внешнем углу 90°.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>15×10</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Зовнішній кут e.trunking.blend.out.stand.15.10 для кабельного коробу 15×10 мм, E.NEXT","<h2>Опис товару</h2><p>Служить для з'єднання двох кабель каналів однакового типорозміру на зовнішньому куті 90°.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>15×10</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 15×10,Русский ~ Белый
https://001.com.ua/vneshniy-ugol-e-trunking-blend-out-stand-16-16-dlya-kabelnogo-koroba-16x16-mm-e-next,new,,,https://001.com.ua/media/photos/enext/cable-trunking/enext-vneshniy-ugol-e-trunking-blend-out-stand-16-16-s2033002-photo.jpg ;; https://001.com.ua/media/photos/enext/cable-trunking/gabaritnye-razmery-enext-vneshniy-ugol-e-trunking-blend-out-stand-16-16-s2033002-photo.jpg,"Внешний угол e.trunking.blend.out.stand.16.16 для кабельного короба 16×16 мм, E.NEXT",Угол внешний,E.NEXT,s2033002,s2033002,instock,1,12,"4,19","Внешний угол e.trunking.blend.out.stand.16.16 для кабельного короба 16×16 мм, E.NEXT","<h2>Описание товара</h2><p>Служит для соединения двух кабель каналов одинакового типоразмера на внешнем углу 90°.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>16×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внешний угол</td></tr></tbody></table>","Зовнішній кут e.trunking.blend.out.stand.16.16 для кабельного коробу 16×16 мм, E.NEXT","<h2>Опис товару</h2><p>Служить для з'єднання двох кабель каналів однакового типорозміру на зовнішньому куті 90°.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>16×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>зовнішній кут</td></tr></tbody></table>",Русский ~ 16×16,Русский ~ Белый
