URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Размер,Цвет товара
https://001.com.ua/vnutrenniy-ugol-e-trunking-blend-in-stand-25-25-dlya-kabelnogo-koroba-25x25-mm-e-next,new,,,https://001.com.ua/media/photos/enext/cable-trunking/enext-vnutrenniy-ugol-e-trunking-blend-in-stand-25-25-s4033015-photo.jpg ;; https://001.com.ua/media/photos/enext/cable-trunking/gabaritnye-razmery-enext-vnutrenniy-ugol-e-trunking-blend-in-stand-25-25-s4033015-photo.jpg,"Внутренний угол e.trunking.blend.in.stand.25.25 для кабельного короба 25×25 мм, E.NEXT",Угол внутренний,E.NEXT,s4033015,s4033015,instock,1,12,"6,62","Внутренний угол e.trunking.blend.in.stand.25.25 для кабельного короба 25×25 мм, E.NEXT","<h2>Описание товара</h2><p>Служит для соединения двух кабель каналов одинакового типоразмера на внутреннем углу 90°.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>25×25</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Внутрішній кут e.trunking.blend.in.stand.25.25 для кабельного коробу 25×25 мм, E.NEXT","<h2>Опис товару</h2><p>Служить для з'єднання двох кабель каналів однакового типорозміру на внутрішньому куті 90°.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>25×25</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 25×25,Русский ~ Белый
https://001.com.ua/ugol-vnutrenniy-dlya-kabel-kanala-25x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vnutrenniy-dlya-kabel-kanala-photo.jpg,"Угол внутренний для кабель-канала 25×16 мм, АСКО-УКРЕМ",Угол внутренний,АСКО-УКРЕМ,A0070040026,A0070040026,instock,1,12,"7,11","Угол внутренний для кабель-канала 25×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>25×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Кут внутрішній до кабель-каналу 25×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>25×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 25×16,Русский ~ Белый
https://001.com.ua/ugol-vnutrenniy-dlya-kabel-kanala-15x10-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vnutrenniy-dlya-kabel-kanala-photo.jpg,"Угол внутренний для кабель-канала 15×10 мм, АСКО-УКРЕМ",Угол внутренний,АСКО-УКРЕМ,A0070040024,A0070040024,instock,1,12,"6,57","Угол внутренний для кабель-канала 15×10 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>15×10</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Кут внутрішній до кабель-каналу 15×10 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>15×10</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 15×10,Русский ~ Белый
https://001.com.ua/ugol-vnutrenniy-dlya-kabel-kanala-16x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vnutrenniy-dlya-kabel-kanala-photo.jpg,"Угол внутренний для кабель-канала 16×16 мм, АСКО-УКРЕМ",Угол внутренний,АСКО-УКРЕМ,A0070040053,A0070040053,instock,1,12,"2,15","Угол внутренний для кабель-канала 16×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>16×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Кут внутрішній до кабель-каналу 16×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>16×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 16×16,Русский ~ Белый
https://001.com.ua/ugol-vnutrenniy-dlya-kabel-kanala-20x10-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vnutrenniy-dlya-kabel-kanala-photo.jpg,"Угол внутренний для кабель-канала 20×10 мм, АСКО-УКРЕМ",Угол внутренний,АСКО-УКРЕМ,A0070040025,A0070040025,instock,1,12,"3,28","Угол внутренний для кабель-канала 20×10 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>20×10</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Кут внутрішній до кабель-каналу 20×10 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>20×10</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 20×10,Русский ~ Белый
https://001.com.ua/ugol-vnutrenniy-dlya-kabel-kanala-40x16-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vnutrenniy-dlya-kabel-kanala-photo.jpg,"Угол внутренний для кабель-канала 40×16 мм, АСКО-УКРЕМ",Угол внутренний,АСКО-УКРЕМ,A0070040027,A0070040027,instock,1,12,"3,08","Угол внутренний для кабель-канала 40×16 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>40×16</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Кут внутрішній до кабель-каналу 40×16 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>40×16</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 40×16,Русский ~ Белый
https://001.com.ua/ugol-vnutrenniy-dlya-kabel-kanala-40x25-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vnutrenniy-dlya-kabel-kanala-photo.jpg,"Угол внутренний для кабель-канала 40×25 мм, АСКО-УКРЕМ",Угол внутренний,АСКО-УКРЕМ,A0070040028,A0070040028,instock,1,12,"18,86","Угол внутренний для кабель-канала 40×25 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>40×25</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Кут внутрішній до кабель-каналу 40×25 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>40×25</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 40×25,Русский ~ Белый
https://001.com.ua/ugol-vnutrenniy-dlya-kabel-kanala-60x40-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vnutrenniy-dlya-kabel-kanala-photo.jpg,"Угол внутренний для кабель-канала 60×40 мм, АСКО-УКРЕМ",Угол внутренний,АСКО-УКРЕМ,A0070040029,A0070040029,instock,1,12,"32,96","Угол внутренний для кабель-канала 60×40 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>60×40</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Кут внутрішній до кабель-каналу 60×40 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>60×40</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 60×40,Русский ~ Белый
https://001.com.ua/ugol-vnutrenniy-dlya-kabel-kanala-100x40-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/cabling/asko-ugol-vnutrenniy-dlya-kabel-kanala-photo.jpg,"Угол внутренний для кабель-канала 100×40 мм, АСКО-УКРЕМ",Угол внутренний,АСКО-УКРЕМ,A0070040030,A0070040030,instock,1,12,"16,20","Угол внутренний для кабель-канала 100×40 мм, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для плотного и эстетичного соединения кабель-каналов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>100×40</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Кут внутрішній до кабель-каналу 100×40 мм, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для щільного і естетичного з'єднання кабель-каналів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>100×40</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 100×40,Русский ~ Белый
https://001.com.ua/vnutrenniy-ugol-e-trunking-blend-in-stand-20-10-dlya-kabelnogo-koroba-20x10-mm-e-next,new,,,https://001.com.ua/media/photos/enext/cable-trunking/enext-vnutrenniy-ugol-e-trunking-blend-in-stand-20-10-s4033003-photo.jpg ;; https://001.com.ua/media/photos/enext/cable-trunking/gabaritnye-razmery-enext-vnutrenniy-ugol-e-trunking-blend-in-stand-20-10-s4033003-photo.jpg,"Внутренний угол e.trunking.blend.in.stand.20.10 для кабельного короба 20×10 мм, E.NEXT",Угол внутренний,E.NEXT,s4033003,s4033003,instock,1,12,"4,75","Внутренний угол e.trunking.blend.in.stand.20.10 для кабельного короба 20×10 мм, E.NEXT","<h2>Описание товара</h2><p>Служит для соединения двух кабель каналов одинакового типоразмера на внутреннем углу 90°.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер кабель-канала, Ш×В, мм</td><td>20×10</td></tr><tr><td>Цвет</td><td>белый</td></tr><tr><td>Тип</td><td>внутренний угол</td></tr></tbody></table>","Внутрішній кут e.trunking.blend.in.stand.20.10 для кабельного коробу 20×10 мм, E.NEXT","<h2>Опис товару</h2><p>Служить для з'єднання двох кабель каналів однакового типорозміру на внутрішньому куті 90°.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір кабель-каналу, Ш×В, мм</td><td>20×10</td></tr><tr><td>Колір</td><td>білий</td></tr><tr><td>Тип</td><td>внутрішній кут</td></tr></tbody></table>",Русский ~ 20×10,Русский ~ Белый
