URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип устройства
https://001.com.ua/skoba-na-din-reyku-dlya-va88-32-125a-3p-iek,new,,,https://001.com.ua/media/photos/iek/silovoe/iek-skoba-na-din-reyku-dlya-va88-photo.jpg ;; https://001.com.ua/media/photos/iek/silovoe/gabaritnye-razmery-iek-va88-32-din-photo.jpg,"Скоба на DIN-рейку для ВА88-32 125А 3p, IEK",Аксессуары к автоматическим выключателям,IEK,SVA10D-S35-3,SVA10D-S35-3,instock,1,12,"85,05","Скоба на DIN-рейку для ВА88-32 125А 3p, IEK",<h2>Описание товара</h2><p>Тип автоматического выключателя: ВА88-32</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>скоба на DIN-рейку</td></tr></tbody></table>,"Скоба на DIN-рейку для ВА88-32 125А 3p, IEK",<h2>Опис товару</h2><p>Тип автоматичного вимикача: ВА88-32</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>скоба на DIN-рейку</td></tr></tbody></table>,Русский ~ Скоба на din-рейку
https://001.com.ua/shina-e-industrial-ukm-250s-busbar-e-next,new,,,https://001.com.ua/media/photos/enext/mccb/enext-shina-e-industrial-ukm-250s-busbar-i0050002-photo.jpg ;; https://001.com.ua/media/photos/enext/mccb/gabaritnye-razmery-enext-e-industrial-ukm-250s-busbar-i0050002-photo.jpg,"Шина e.industrial.ukm.250S.busbar, E.NEXT",Аксессуары к автоматическим выключателям,E.NEXT,i0050002,i0050002,instock,1,12,"402,11","Шина e.industrial.ukm.250S.busbar, E.NEXT",<h2>Описание товара</h2><p>Устанавливается на автоматические выключатели E.NEXT e.industrial.ukm.250S.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>наконечник (шина)</td></tr></tbody></table>,"Шина e.industrial.ukm.250S.busbar, E.NEXT",<h2>Опис товару</h2><p>Встановлюється на автоматичні вимикачі E.NEXT e.industrial.ukm.250S.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>накінечник (шина)</td></tr></tbody></table>,Русский ~ Наконечник (шина)
https://001.com.ua/shina-e-industrial-ukm-400s-busbar-e-next,new,,,https://001.com.ua/media/photos/enext/mccb/enext-shina-e-industrial-ukm-400s-busbar-i0050004-photo.jpg ;; https://001.com.ua/media/photos/enext/mccb/gabaritnye-razmery-enext-e-industrial-ukm-400s-busbar-i0050004-photo.jpg,"Шина e.industrial.ukm.400S.busbar, E.NEXT",Аксессуары к автоматическим выключателям,E.NEXT,i0050004,i0050004,instock,1,12,"1717,41","Шина e.industrial.ukm.400S.busbar, E.NEXT",<h2>Описание товара</h2><p>Устанавливается на автоматические выключатели E.NEXT e.industrial.ukm.400S.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>наконечник (шина)</td></tr></tbody></table>,"Шина e.industrial.ukm.400S.busbar, E.NEXT",<h2>Опис товару</h2><p>Встановлюється на автоматичні вимикачі E.NEXT e.industrial.ukm.400S.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>накінечник (шина)</td></tr></tbody></table>,Русский ~ Наконечник (шина)
https://001.com.ua/dopolnitelnyy-mehanizm-blokirovki-e-industrial-ukm-100sm-ml-e-next,new,,,https://001.com.ua/media/photos/enext/mccb/enext-dopolnitelnyy-mehanizm-blokirovki-e-industrial-ukm-100sm-ml-i0740002-photo.jpg,"Дополнительный механизм блокировки e.industrial.ukm.100Sm.ML, E.NEXT",Аксессуары к автоматическим выключателям,E.NEXT,i0740002,i0740002,instock,1,12,"1191,49","Дополнительный механизм блокировки e.industrial.ukm.100Sm.ML, E.NEXT",<h2>Описание товара</h2><p>Устанавливается на автоматические выключатели E.NEXT e.industrial.ukm.100Sm/SL. Предназначен для исключения одновременного включения автоматических выключателей в схемах включения резерва.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>механизм блокировки</td></tr></tbody></table>,"Додатковий механізм блокування e.industrial.ukm.100Sm.ML, E.NEXT",<h2>Опис товару</h2><p>Встановлюється на автоматичні вимикачі E.NEXT e.industrial.ukm.100Sm/SL. Призначений для виключення одночасного включення автоматичних вимикачів в схемах включення резерву.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>механізм блокування</td></tr></tbody></table>,Русский ~ Механизм блокировки
https://001.com.ua/dopolnitelnyy-kontakt-pravyy-e-industrial-ukm-400sm-f-right-e-next,new,,,https://001.com.ua/media/photos/enext/mccb/enext-dopolnitelnyy-kontakt-pravyy-e-industrial-ukm-400sm-f-right-i0680004-photo.jpg,"Дополнительный контакт (правый) e.industrial.ukm.400Sm.F.right, E.NEXT",Аксессуары к автоматическим выключателям,E.NEXT,i0680004,i0680004,instock,1,12,"284,15","Дополнительный контакт (правый) e.industrial.ukm.400Sm.F.right, E.NEXT",<h2>Описание товара</h2><p>Устанавливается на автоматические выключатели E.NEXT e.industrial.ukm.400SL. Предназначен для сигнализации о положении силовых контактов автоматического выключателя (вкл. / откл.).</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>дополнительный контакт</td></tr></tbody></table>,"Додатковий контакт (правий) e.industrial.ukm.400Sm.F.right, E.NEXT",<h2>Опис товару</h2><p>Встановлюється на автоматичні вимикачі E.NEXT e.industrial.ukm.400SL. Призначений для сигналізації про стан силових контактів автоматичного вимикача (вкл./відкл.).</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт
https://001.com.ua/dopolnitelnyy-kontakt-pravyy-e-industrial-ukm-250sm-f-right-e-next,new,,,https://001.com.ua/media/photos/enext/mccb/enext-dopolnitelnyy-kontakt-pravyy-e-industrial-ukm-250sm-f-right-i0680003-photo.jpg,"Дополнительный контакт (правый) e.industrial.ukm.250Sm.F.right, E.NEXT",Аксессуары к автоматическим выключателям,E.NEXT,i0680003,i0680003,instock,1,12,"133,77","Дополнительный контакт (правый) e.industrial.ukm.250Sm.F.right, E.NEXT",<h2>Описание товара</h2><p>Устанавливается на автоматические выключатели E.NEXT e.industrial.ukm.250Sm/SL. Предназначен для сигнализации о положении силовых контактов автоматического выключателя (вкл. / откл.).</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>дополнительный контакт</td></tr></tbody></table>,"Додатковий контакт (правий) e.industrial.ukm.250Sm.F.right, E.NEXT",<h2>Опис товару</h2><p>Встановлюється на автоматичні вимикачі E.NEXT e.industrial.ukm.250Sm/SL. Призначений для сигналізації про стан силових контактів автоматичного вимикача (вкл./відкл.).</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт
https://001.com.ua/privod-ruchnoy-prp-1-125a-iek,new,,,https://001.com.ua/media/photos/iek/silovoe/iek-privod-ruchnoy-prp-photo.jpg ;; https://001.com.ua/media/photos/iek/silovoe/gabaritnye-razmery-iek-va88-32-prp-photo.jpg,"Привод ручной ПРП-1 125A, IEK",Аксессуары к автоматическим выключателям,IEK,SVA10D-PRP-1-1,SVA10D-PRP-1-1,instock,1,12,"895,46","Привод ручной ПРП-1 125A, IEK",<h2>Описание товара</h2><p><strong>Ручной поворотный привод</strong> предназначен для преобразования вращательного движения в поступательное для управления автоматическим выключателем. Привод закрепляется на двери распределительного устройства для оперирования выключателем через дверь или непосредственно на выключателе.</p> <h2>Технические характеристики</h2><p>Тип автоматического выключателя: ВА88-32</p> ,"Привод ручний ПРП-1 125A, IEK",<h2>Опис товару</h2><p><strong>Ручний поворотний привід</strong> призначений для перетворення обертального руху в поступальний для керування автоматичним вимикачем. Привід закріплюється на двері розподільного пристрою для оперування вимикачем через двері або безпосередньо на вимикачі.</p> <h2>Технічні характеристики</h2><p>Тип автоматичного вимикача: ВА88-32</p> ,Русский ~ Рукоятка поворотная
https://001.com.ua/privod-ruchnoy-prp-1-250a-iek,new,,,https://001.com.ua/media/photos/iek/silovoe/iek-privod-ruchnoy-prp-photo.jpg ;; https://001.com.ua/media/photos/iek/silovoe/gabaritnye-razmery-iek-va88-35-prp-photo.jpg,"Привод ручной ПРП-1 250A, IEK",Аксессуары к автоматическим выключателям,IEK,SVA30D-PRP-1-1,SVA30D-PRP-1-1,instock,1,12,"1244,73","Привод ручной ПРП-1 250A, IEK",<h2>Описание товара</h2><p><strong>Ручной поворотный привод</strong> предназначен для преобразования вращательного движения в поступательное для управления автоматическим выключателем. Привод закрепляется на двери распределительного устройства для оперирования выключателем через дверь или непосредственно на выключателе.</p> <h2>Технические характеристики</h2><p>Тип автоматического выключателя: ВА88-35</p> ,"Привод ручний ПРП-1 250A, IEK",<h2>Опис товару</h2><p><strong>Ручний поворотний привід</strong> призначений для перетворення обертального руху в поступальний для керування автоматичним вимикачем. Привід закріплюється на двері розподільного пристрою для оперування вимикачем через двері або безпосередньо на вимикачі.</p> <h2>Технічні характеристики</h2><p>Тип автоматичного вимикача: ВА88-35</p> ,Русский ~ Рукоятка поворотная
https://001.com.ua/privod-ruchnoy-prp-1-400a-iek,new,,,https://001.com.ua/media/photos/iek/silovoe/iek-privod-ruchnoy-prp-photo.jpg ;; https://001.com.ua/media/photos/iek/silovoe/gabaritnye-razmery-iek-va88-37-prp-photo.jpg,"Привод ручной ПРП-1 400A, IEK",Аксессуары к автоматическим выключателям,IEK,SVA40D-PRP-1-1,SVA40D-PRP-1-1,instock,1,12,1348,"Привод ручной ПРП-1 400A, IEK",<h2>Описание товара</h2><p><strong>Ручной поворотный привод</strong> предназначен для преобразования вращательного движения в поступательное для управления автоматическим выключателем. Привод закрепляется на двери распределительного устройства для оперирования выключателем через дверь или непосредственно на выключателе.</p> <h2>Технические характеристики</h2><p>Тип автоматического выключателя: ВА88-37</p> ,"Привод ручний ПРП-1 400A, IEK",<h2>Опис товару</h2><p><strong>Ручний поворотний привід</strong> призначений для перетворення обертального руху в поступальний для керування автоматичним вимикачем. Привід закріплюється на двері розподільного пристрою для оперування вимикачем через двері або безпосередньо на вимикачі.</p> <h2>Технічні характеристики</h2><p>Тип автоматичного вимикача: ВА88-37</p> ,Русский ~ Рукоятка поворотная
https://001.com.ua/shina-e-industrial-ukm-100s-busbar-e-next,new,,,https://001.com.ua/media/photos/enext/mccb/enext-shina-e-industrial-ukm-100s-busbar-i0050003-photo.jpg ;; https://001.com.ua/media/photos/enext/mccb/gabaritnye-razmery-enext-e-industrial-ukm-100s-busbar-i0050003-photo.jpg,"Шина e.industrial.ukm.100S.busbar, E.NEXT",Аксессуары к автоматическим выключателям,E.NEXT,i0050003,i0050003,instock,1,12,"318,92","Шина e.industrial.ukm.100S.busbar, E.NEXT",<h2>Описание товара</h2><p>Устанавливается на автоматические выключатели E.NEXT e.industrial.ukm.100S.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>наконечник (шина)</td></tr></tbody></table>,"Шина e.industrial.ukm.100S.busbar, E.NEXT",<h2>Опис товару</h2><p>Встановлюється на автоматичні вимикачі E.NEXT e.industrial.ukm.100S.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>накінечник (шина)</td></tr></tbody></table>,Русский ~ Наконечник (шина)
https://001.com.ua/dopolnitelnyy-kontakt-e-industrial-ukm-60-f-e-next,new,,,https://001.com.ua/media/photos/enext/mccb/enext-dopolnitelnyy-kontakt-e-industrial-ukm-60-f-i0030001-photo.jpg ;; https://001.com.ua/media/photos/enext/mccb/gabaritnye-razmery-enext-e-industrial-ukm-60-f-i0030001-photo.jpg,"Дополнительный контакт e.industrial.ukm.60.F, E.NEXT",Аксессуары к автоматическим выключателям,E.NEXT,i0030001,i0030001,instock,1,12,"330,51","Дополнительный контакт e.industrial.ukm.60.F, E.NEXT",<h2>Описание товара</h2><p>Устанавливается на автоматические выключатели E.NEXT e.industrial.ukm.60S. Предназначен для сигнализации положения силовых контактов автоматических выключателей e.industrial.ukm.S (вкл./откл.). Дополнительно для присоединения сигнальных проводов применяется контактная планка JX.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>дополнительный контакт</td></tr></tbody></table>,"Додатковий контакт e.industrial.ukm.60.F, E.NEXT",<h2>Опис товару</h2><p>Встановлюється на автоматичні вимикачі E.NEXT e.industrial.ukm.60S. Призначений для сигналізації положення силових контактів автоматичних вимикачів e.industrial.ukm.S (вкл./відкл.). Додатково для приєднання сигнальних проводів застосовується контактна планка JX.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт
