URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип устройства,Количество полюсов,Номинальный ток,Номинальное напряжение,Степень защиты
https://001.com.ua/rozetka-ssi-125-statsionarnaya-3p-pe-n-32a-380v-ip44-iek,new,,,https://001.com.ua/media/photos/iek/connectors/iek-rozetka-ssi-125-photo.jpg ;; https://001.com.ua/media/photos/iek/connectors/gabaritnye-razmery-iek-ssi-125-photo.jpg,"Розетка ССИ-125 стационарная 3P+PE+N 32А 380В IP44, IEK",Силовые разъемы,IEK,PSR12-032-5,PSR12-032-5,instock,1,12,"166,58","Розетка ССИ-125 стационарная 3P+PE+N 32А 380В IP44, IEK","<h2>Описание товара</h2><p>Силовые штепсельные разъемы незаменимы при эксплуатации внутри помещений и на открытом воздухе совместно с мобильным электрооборудованием с кабельной системой питания и стационарным электрооборудованием однофазного и трехфазного исполнения. Подходят для подключения строительного электрооборудования и электроинструмента, станков и другого промышленного оборудования, для электроснабжения бытовок и киосков, для использования в гостиницах, домах отдыха, турбазах и т.д.</p><h3>Преимущества</h3><ul><li>Корпуса и изолирующие детали, несущие токоведущие части силовых разъемов выполнены из термостойких и самозатухающих материалов.</li><li>Крышки обеспечивают защиту от попадания внутрь разъема пыли, влаги и надежно закреплены.</li><li>Пружины защищены от коррозии.</li><li>Винты, применяемые для механических и электротехнических соединений, защищены от самоотвинчивания.</li><li>Возможность эксплуатировать во влажной среде (IP44, IP54).</li><li>Наличие специального сальника для кабеля различного сечения.</li></ul> <h2>Технические характеристики</h2><ul><li>Номинальный ток, А: 32</li><li>Диапазон рабочего напряжения, В: 380÷415</li><li>Номинальное напряжение по изоляции, В: 500</li><li>Номинальная частота сети, Гц: 50</li><li>Положение заземляющего контакта, ч: 6</li><li>Рабочая температура: от -25 °С до + 40 °С</li><li>Степень защиты по ГОСТ 14254-96: IP44</li></ul><p><b>Расположение контактов</b></p><img alt=""Схема расположения контактов силового разъема 3P+PE+N ССИ IEK"" src=""/media/images/products/iek/connectors/schema-iek-5p.jpg"" title=""Схема расположения контактов силового разъема 3P+PE+N ССИ IEK""/> ","Розетка ССИ-125 стаціонарна 3P+PE+N 32А 380В IP44, IEK","<h2>Опис товару</h2><p>Силові штепсельні роз'єми незамінні при експлуатації усередині приміщень і на відкритому повітрі спільно з мобільним електроустаткуванням з кабельною системою живлення і стаціонарним електроустаткуванням однофазного і трифазного виконання. Підходять для підключення будівельного електрообладнання та електроінструменту, верстатів і іншого промислового устаткування, для електропостачання побутівок і кіосків, для використання в готелях, будинках відпочинку, турбазах і т.д.</p><h3>Переваги</h3><ul><li>Корпуси та ізолюючі деталі, несучі струмопровідні частини силових роз'ємів виконані з термостійких і самозатухаючих матеріалів.</li><li>Кришки забезпечують захист від попадання всередину роз'єму пилу, вологи і надійно закріплені.</li><li>Пружини захищені від корозії.</li><li>Гвинти, застосовувані для механічних і електротехнічних з'єднань, захищені від самовідвинчування.</li><li>Можливість експлуатувати у вологому середовищі (IP44, IP54).</li><li>Наявність спеціального сальника для кабелю різного перерізу.</li></ul> <h2>Технічні характеристики</h2><ul><li>Номінальний струм, А: 32</li><li>Діапазон робочої напруги, В: 380÷415</li><li>Номінальна напруга по ізоляції, В: 500</li><li>Номінальна частота мережі, Гц: 50</li><li>Положення заземлюючого контакту, год: 6</li><li>Робоча температура: від -25 °С до +40 °С</li><li>Ступінь захисту за ГОСТ 14254-96: IP44</li></ul><p><b>Розташування контактів</b></p><img alt=""Схема розташування контактів силового роз'єму 3P+PE+N ССИ IEK"" src=""/media/images/products/iek/connectors/schema-iek-5p.jpg"" title=""Схема розташування контактів силового роз'єму 3P+PE+N ССИ IEK""/> ",Русский ~ Стационарная розетка,Русский ~ 3P+PE+N,Русский ~ 32,Русский ~ 380 (400),Русский ~ IP44
https://001.com.ua/rozetka-nastennaya-ez-3253-ip44-32a-400v-3p-n-pe-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/eticee/eti-rozetka-nastennaya-statsionarnaya-ez-3253-4482039-photo.jpg ;; https://001.com.ua/media/photos/eti/eticee/gabaritnye-razmery-eti-rozetka-nastennaya-statsionarnaya-ez-3253-4482039-photo.jpg,"Розетка настенная EZ-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словения)",Силовые разъемы,ETI,4482039,4482039,instock,1,12,320,"Розетка настенная EZ-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словения)","<h2>Описание товара</h2><p>Силовые разъемы предназначены для подключения электрических низковольтных потребителей в промышленности, строительстве и т.п.</p><h3>Особенности</h3><ul><li>рабочий диапазон температур -25°C ... +40°C</li><li>высокая термостойкость до 125°C</li><li>соответствие номинального напряжения цветам соответствующих стандартов</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальная частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Рабочая температура, °C</td><td>-25 ... +40</td></tr><tr><td>Соответствие стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ","Розетка настінна EZ-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словенія)","<h2>Опис товару</h2><p>Силові роз'єми призначені для підключення електричних низьковольтних споживачів в промисловості, будівництві тощо.</p><h3>Особливості</h3><ul><li>робочий діапазон температур -25°C ... + 40°C</li><li>висока термостійкість до 125 °C</li><li>відповідність номінальної напруги кольорам відповідних стандартів</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Робоча температура, °C</td><td>-25 ... +40</td></tr><tr><td>Відповідність стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ",Русский ~ Стационарная розетка,Русский ~ 3P+PE+N,Русский ~ 32,Русский ~ 380 (400),Русский ~ IP44
https://001.com.ua/vilka-kabelnaya-ev-3253-ip44-32a-400v-3p-n-pe-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/eticee/eti-vilka-kabelnaya-perenosnaya-ev-3253-4482021-photo.jpg ;; https://001.com.ua/media/photos/eti/eticee/gabaritnye-razmery-eti-vilka-kabelnaya-perenosnaya-ev-3253-4482021-photo.jpg,"Вилка кабельная EV-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словения)",Силовые разъемы,ETI,4482021,4482021,instock,1,12,240,"Вилка кабельная EV-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словения)","<h2>Описание товара</h2><p>Силовые разъемы предназначены для подключения электрических низковольтных потребителей в промышленности, строительстве и т.п.</p><h3>Особенности</h3><ul><li>рабочий диапазон температур -25°C ... +40°C</li><li>высокая термостойкость до 125°C</li><li>соответствие номинального напряжения цветам соответствующих стандартов</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальная частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Рабочая температура, °C</td><td>-25 ... +40</td></tr><tr><td>Соответствие стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ","Вилка кабельна EV-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словенія)","<h2>Опис товару</h2><p>Силові роз'єми призначені для підключення електричних низьковольтних споживачів в промисловості, будівництві тощо.</p><h3>Особливості</h3><ul><li>робочий діапазон температур -25°C ... + 40°C</li><li>висока термостійкість до 125 °C</li><li>відповідність номінальної напруги кольорам відповідних стандартів</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Робоча температура, °C</td><td>-25 ... +40</td></tr><tr><td>Відповідність стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ",Русский ~ Переносная вилка,Русский ~ 3P+PE+N,Русский ~ 32,Русский ~ 380 (400),Русский ~ IP44
https://001.com.ua/vilka-kabelnaya-ev-1653-ip44-16a-400v-3p-n-pe-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/eticee/eti-vilka-kabelnaya-perenosnaya-ev-1653-4482018-photo.jpg ;; https://001.com.ua/media/photos/eti/eticee/gabaritnye-razmery-eti-vilka-kabelnaya-perenosnaya-ev-1653-4482018-photo.jpg,"Вилка кабельная EV-1653 IP44 (16A, 400V, 3P+N+PE), ETI (Словения)",Силовые разъемы,ETI,4482018,4482018,instock,1,12,176,"Вилка кабельная EV-1653 IP44 (16A, 400V, 3P+N+PE), ETI (Словения)","<h2>Описание товара</h2><p>Силовые разъемы предназначены для подключения электрических низковольтных потребителей в промышленности, строительстве и т.п.</p><h3>Особенности</h3><ul><li>рабочий диапазон температур -25°C ... +40°C</li><li>высокая термостойкость до 125°C</li><li>соответствие номинального напряжения цветам соответствующих стандартов</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальная частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Рабочая температура, °C</td><td>-25 ... +40</td></tr><tr><td>Соответствие стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ","Вилка кабельна EV-1653 IP44 (16A, 400V, 3P+N+PE), ETI (Словенія)","<h2>Опис товару</h2><p>Силові роз'єми призначені для підключення електричних низьковольтних споживачів в промисловості, будівництві тощо.</p><h3>Особливості</h3><ul><li>робочий діапазон температур -25°C ... + 40°C</li><li>висока термостійкість до 125 °C</li><li>відповідність номінальної напруги кольорам відповідних стандартів</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Робоча температура, °C</td><td>-25 ... +40</td></tr><tr><td>Відповідність стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ",Русский ~ Переносная вилка,Русский ~ 3P+PE+N,Русский ~ 16,Русский ~ 380 (400),Русский ~ IP44
https://001.com.ua/vilka-kabelnaya-ev-3243-ip44-32a-400v-3p-pe-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/eticee/eti-vilka-kabelnaya-perenosnaya-ev-3243-4482020-photo.jpg ;; https://001.com.ua/media/photos/eti/eticee/gabaritnye-razmery-eti-vilka-kabelnaya-perenosnaya-ev-3243-4482020-photo.jpg,"Вилка кабельная EV-3243 IP44 (32A, 400V, 3P+PE), ETI (Словения)",Силовые разъемы,ETI,4482020,4482020,instock,1,12,228,"Вилка кабельная EV-3243 IP44 (32A, 400V, 3P+PE), ETI (Словения)","<h2>Описание товара</h2><p>Силовые разъемы предназначены для подключения электрических низковольтных потребителей в промышленности, строительстве и т.п.</p><h3>Особенности</h3><ul><li>рабочий диапазон температур -25°C ... +40°C</li><li>высокая термостойкость до 125°C</li><li>соответствие номинального напряжения цветам соответствующих стандартов</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальная частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Рабочая температура, °C</td><td>-25 ... +40</td></tr><tr><td>Соответствие стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ","Вилка кабельна EV-3243 IP44 (32A, 400V, 3P+PE), ETI (Словенія)","<h2>Опис товару</h2><p>Силові роз'єми призначені для підключення електричних низьковольтних споживачів в промисловості, будівництві тощо.</p><h3>Особливості</h3><ul><li>робочий діапазон температур -25°C ... + 40°C</li><li>висока термостійкість до 125 °C</li><li>відповідність номінальної напруги кольорам відповідних стандартів</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Робоча температура, °C</td><td>-25 ... +40</td></tr><tr><td>Відповідність стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ",Русский ~ Переносная вилка,Русский ~ 3P+PE,Русский ~ 32,Русский ~ 380 (400),Русский ~ IP44
https://001.com.ua/rozetka-kabelnaya-es-3243-ip44-32a-400v-3p-pe-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/eticee/eti-rozetka-kabelnaya-perenosnaya-es-3243-4482004-photo.jpg ;; https://001.com.ua/media/photos/eti/eticee/gabaritnye-razmery-eti-rozetka-kabelnaya-perenosnaya-es-3243-4482004-photo.jpg,"Розетка кабельная ES-3243 IP44 (32A, 400V, 3P+PE), ETI (Словения)",Силовые разъемы,ETI,4482004,4482004,instock,1,12,312,"Розетка кабельная ES-3243 IP44 (32A, 400V, 3P+PE), ETI (Словения)","<h2>Описание товара</h2><p>Силовые разъемы предназначены для подключения электрических низковольтных потребителей в промышленности, строительстве и т.п.</p><h3>Особенности</h3><ul><li>рабочий диапазон температур -25°C ... +40°C</li><li>высокая термостойкость до 125°C</li><li>соответствие номинального напряжения цветам соответствующих стандартов</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальная частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Рабочая температура, °C</td><td>-25 ... +40</td></tr><tr><td>Соответствие стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ","Розетка кабельна ES-3243 IP44 (32A, 400V, 3P+PE), ETI (Словенія)","<h2>Опис товару</h2><p>Силові роз'єми призначені для підключення електричних низьковольтних споживачів в промисловості, будівництві тощо.</p><h3>Особливості</h3><ul><li>робочий діапазон температур -25°C ... + 40°C</li><li>висока термостійкість до 125 °C</li><li>відповідність номінальної напруги кольорам відповідних стандартів</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Робоча температура, °C</td><td>-25 ... +40</td></tr><tr><td>Відповідність стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ",Русский ~ Переносная розетка,Русский ~ 3P+PE,Русский ~ 32,Русский ~ 380 (400),Русский ~ IP44
https://001.com.ua/rozetka-kabelnaya-es-3253-ip44-32a-400v-3p-n-pe-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/eticee/eti-rozetka-kabelnaya-perenosnaya-es-3253-4482005-photo.jpg ;; https://001.com.ua/media/photos/eti/eticee/gabaritnye-razmery-eti-rozetka-kabelnaya-perenosnaya-es-3253-4482005-photo.jpg,"Розетка кабельная ES-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словения)",Силовые разъемы,ETI,4482005,4482005,instock,1,12,332,"Розетка кабельная ES-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словения)","<h2>Описание товара</h2><p>Силовые разъемы предназначены для подключения электрических низковольтных потребителей в промышленности, строительстве и т.п.</p><h3>Особенности</h3><ul><li>рабочий диапазон температур -25°C ... +40°C</li><li>высокая термостойкость до 125°C</li><li>соответствие номинального напряжения цветам соответствующих стандартов</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальная частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Рабочая температура, °C</td><td>-25 ... +40</td></tr><tr><td>Соответствие стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ","Розетка кабельна ES-3253 IP44 (32A, 400V, 3P+N+PE), ETI (Словенія)","<h2>Опис товару</h2><p>Силові роз'єми призначені для підключення електричних низьковольтних споживачів в промисловості, будівництві тощо.</p><h3>Особливості</h3><ul><li>робочий діапазон температур -25°C ... + 40°C</li><li>висока термостійкість до 125 °C</li><li>відповідність номінальної напруги кольорам відповідних стандартів</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Робоча температура, °C</td><td>-25 ... +40</td></tr><tr><td>Відповідність стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ",Русский ~ Переносная розетка,Русский ~ 3P+PE+N,Русский ~ 32,Русский ~ 380 (400),Русский ~ IP44
https://001.com.ua/rozetka-nastennaya-ez-1653-ip44-16a-400v-3p-n-pe-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/eticee/eti-rozetka-nastennaya-statsionarnaya-ez-1653-4482036-photo.jpg ;; https://001.com.ua/media/photos/eti/eticee/gabaritnye-razmery-eti-rozetka-nastennaya-statsionarnaya-ez-1653-4482036-photo.jpg,"Розетка настенная EZ-1653 IP44 (16A, 400V, 3P+N+PE), ETI (Словения)",Силовые разъемы,ETI,4482036,4482036,instock,1,12,248,"Розетка настенная EZ-1653 IP44 (16A, 400V, 3P+N+PE), ETI (Словения)","<h2>Описание товара</h2><p>Силовые разъемы предназначены для подключения электрических низковольтных потребителей в промышленности, строительстве и т.п.</p><h3>Особенности</h3><ul><li>рабочий диапазон температур -25°C ... +40°C</li><li>высокая термостойкость до 125°C</li><li>соответствие номинального напряжения цветам соответствующих стандартов</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальная частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Рабочая температура, °C</td><td>-25 ... +40</td></tr><tr><td>Соответствие стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ","Розетка настінна EZ-1653 IP44 (16A, 400V, 3P+N+PE), ETI (Словенія)","<h2>Опис товару</h2><p>Силові роз'єми призначені для підключення електричних низьковольтних споживачів в промисловості, будівництві тощо.</p><h3>Особливості</h3><ul><li>робочий діапазон температур -25°C ... + 40°C</li><li>висока термостійкість до 125 °C</li><li>відповідність номінальної напруги кольорам відповідних стандартів</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна частота f<sub>n</sub>, Гц</td><td>50-60</td></tr><tr><td>Робоча температура, °C</td><td>-25 ... +40</td></tr><tr><td>Відповідність стандартам</td><td>IEC 60309 - 1, 2</td></tr></tbody></table> ",Русский ~ Стационарная розетка,Русский ~ 3P+PE+N,Русский ~ 16,Русский ~ 380 (400),Русский ~ IP44
https://001.com.ua/vilka-perenosnaya-kauchukovaya-pryamaya-e-plug-rubber-028-16-2p-pe-schuko-16a-250v-ip44-e-next-mutlusan,new,,,https://001.com.ua/media/photos/enext/rubber-plugs/enext-vilka-kauchukovaya-s9100023-photo.jpg ;; https://001.com.ua/media/photos/enext/rubber-plugs/enext-silovye-kauchukovye-razyomy-1-photo.jpg ;; https://001.com.ua/media/photos/enext/rubber-plugs/enext-silovye-kauchukovye-razyomy-2-photo.jpg,"Вилка переносная каучуковая прямая e.plug.rubber.028.16 2P+PE (Schuko) 16А 250В IP44, E.NEXT (Mutlusan)",Силовые разъемы,E.NEXT,s9100023,s9100023,instock,1,12,"52,08","Вилка переносная каучуковая прямая e.plug.rubber.028.16 2P+PE (Schuko) 16А 250В IP44, E.NEXT (Mutlusan)","<h2>Описание товара</h2><p>Каучуковые силовые разъемы E.NEXT предназначены для использования в сложных эксплуатационных условиях.</p><p>Благодаря своему корпусу, препятствующему попаданию воды, пыли, масел, обладающему антикоррозийным эффектом, разъемы используются при высокой и низкой температуре, в пыли, в помещениях с повышенной влажностью и других неблагоприятных условиях.</p><p>Широко применяются в производстве, строительстве и машиностроении.</p><h3>Преимущества</h3><ul><li>Эластичность</li><li>Износостойкость</li><li>Ударопрочность</li><li>Высокая стойкость к воздействию агрессивных сред, а также к УФ</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>переносная вилка</td></tr><tr><td>Количество полюсов</td><td>2P+PE (Schuko)</td></tr><tr><td>Номинальный ток, А</td><td>16</td></tr><tr><td>Номинальное напряжение (≤), В</td><td>220 (250)</td></tr><tr><td>Степень защиты</td><td>IP44</td></tr><tr><td>Цвет</td><td>черный</td></tr><tr><td>Материал</td><td>каучук</td></tr></tbody></table>","Вилка переносна каучукова пряма e.plug.rubber.028.16 2P+PE (Schuko) 16А 250В IP44, E.NEXT (Mutlusan)","<h2>Опис товару</h2><p>Каучукові силові роз'єми E.NEXT призначені для використання в складних експлуатаційних умовах.</p><p>Завдяки своєму корпусу, що перешкоджає попаданню води, пилу, масел, і володіє антикорозійним ефектом, роз'єми використовуються при високій і низькій температурі, в пилу, в приміщеннях з підвищеною вологістю і інших несприятливих умовах.</p><p>Широко застосовуються у виробництві, будівництві та машинобудуванні.</p><h3>Переваги</h3><ul><li>Еластичність</li><li>Зносостійкість</li><li>Удароміцність</li><li>Висока стійкість до впливу агресивних середовищ, а також до УФ</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>переносна вилка</td></tr><tr><td>Кількість полюсів</td><td>2P+PE (Schuko)</td></tr><tr><td>Номінальний струм, А</td><td>16</td></tr><tr><td>Номінальна напруга (≤), В</td><td>220 (250)</td></tr><tr><td>Ступінь захисту</td><td>IP44</td></tr><tr><td>Колір</td><td>чорний</td></tr><tr><td>Матеріал</td><td>каучук</td></tr></tbody></table>",Русский ~ Переносная вилка,Русский ~ 2P+PE (Schuko),Русский ~ 16,Русский ~ 220 (250),Русский ~ IP44
https://001.com.ua/silovaya-vilka-perenosnaya-e-plug-pro-4-16-014-3p-pe-16a-380v-ip44-e-next,new,,,https://001.com.ua/media/photos/enext/plugs-sockets/enext-silovaya-vilka-perenosnaya-e-plug-pro-4-16-014-p011004-photo.jpg ;; https://001.com.ua/media/photos/enext/plugs-sockets/gabaritnye-razmery-enext-e-plug-pro-4-16-014-p011004-photo.jpg,"Силовая вилка переносная e.plug.pro.4.16 (014) 3P+PE 16А 380В IP44, E.NEXT",Силовые разъемы,E.NEXT,p011004,p011004,instock,1,12,"73,28","Силовая вилка переносная e.plug.pro.4.16 (014) 3P+PE 16А 380В IP44, E.NEXT","<h2>Описание товара</h2><p><strong>Силовые вилки E.NEXT e.plug.pro</strong> предназначены для подключения строительного электрооборудования, электроинструмента, промышленного оборудования и др.</p><p><strong>Корпус:</strong> термостойкий самозатухающий ПВХ;</p><p><strong>Номинальное напряжение изоляции:</strong> 500 В;</p><p><strong>Температура эксплуатации:</strong> -25...+40 °С;</p><p><strong>Степень защиты:</strong> IP44.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>переносная вилка</td></tr><tr><td>Количество полюсов</td><td>3P+PE</td></tr><tr><td>Номинальный ток, А</td><td>16</td></tr><tr><td>Номинальное напряжение (≤), В</td><td>380 (400)</td></tr><tr><td>Степень защиты</td><td>IP44</td></tr></tbody></table>","Силова вилка переносна e.plug.pro.4.16 (014) 3P+PE 16А 380В IP44, E.NEXT","<h2>Опис товару</h2><p><strong>Силові вилки E.NEXT e.plug.pro</strong> призначені для підключення будівельного електрообладнання, електроінструменту, промислового обладнання та ін.</p><p><strong>Корпус:</strong> термостійкий самозатухаючий ПВХ;</p><p><strong>Номінальна напруга ізоляції:</strong> 500 В;</p><p><strong>Температура експлуатації:</strong> -25...+40 °С;</p><p><strong>Ступінь захисту:</strong> IP44.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>переносна вилка</td></tr><tr><td>Кількість полюсів</td><td>3P+PE</td></tr><tr><td>Номінальний струм, А</td><td>16</td></tr><tr><td>Номінальна напруга (≤), В</td><td>380 (400)</td></tr><tr><td>Ступінь захисту</td><td>IP44</td></tr></tbody></table>",Русский ~ Переносная вилка,Русский ~ 3P+PE,Русский ~ 16,Русский ~ 380 (400),Русский ~ IP44
