URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description
https://001.com.ua/korpus-metallicheskiy-pr-2-3-36-uhl3-ip31-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-2-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-panel-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/gabaritnye-razmery-iek-pr2-photo.jpg,"Корпус металлический ПР-2-3 36 УХЛ3 IP31, IEK",Щитки металлические,IEK,YKM14-02-3-31,YKM14-02-3-31,instock,1,12,"13 073,25","Корпус металлический ПР-2-3 36 УХЛ3 IP31, IEK","<h2>Описание товара</h2><p>Используются для сборки пунктов распределительных серии ПР11, предназначенных для приема и распределения электроэнергии, защиты электроустановок напряжением 380/220В при перегрузках и коротких замыканиях, а также нечастых (не более 6 в час) включений и отключений электрических цепей.</p><h3>Преимущества</h3><ul><li>Универсальная конструкция</li><li>Повышенная антикоррозийная стойкость</li><li>Высококачественное наружное покрытие</li><li>Набор дополнительных аксессуаров</li><li>Комплект знаков электробезопасности</li><li>Высокая технологичность и простота сборки</li><li>Удобство монтажа</li><li>Высокий уровень электробезопасности</li><li>Сертификат качества</li><li>Эстетика и дизайн</li></ul> <h2>Технические характеристики</h2><ul><li>Номинальный ток: до 630 А</li><li>Толщина металла: 1,0÷1,5 мм</li><li>Тип покрытия: порошковое, шагрень</li><li>Цвет: RAL 7035</li><li>Степень защиты по ГОСТ 14254: IP31</li><li>Угол открытия двери: 105°</li></ul><h3>Расшифровка обозначений</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпуса</li><li><strong>1</strong> - габарит корпуса</li><li><strong>0</strong> - номер модификации</li><li><strong>3</strong> - тип покрытия<ul><li><strong>3</strong> - ЭПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - цвет краски<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - климатическое исполнение по ГОСТ 15150-69</li><li><strong>IP31</strong> - степень защиты по ГОСТ 14254</li></ul> ","Корпус металевий ПР-2-3 36 УХЛ3 IP31, IEK","<h2>Опис товару</h2><p>Використовуються для збірки пунктів розподільних серії ПР11, призначених для прийому і розподілу електроенергії, захисту електроустановок напругою 380/220В при перевантаженнях і коротких замиканнях, а також нечастих (не більше 6 на годину) включень і відключень електричних кіл.</p><h3>Переваги</h3><ul><li>Універсальна конструкція</li><li>Підвищена антикорозійна стійкість</li><li>Високоякісне зовнішнє покриття</li><li>Набір додаткових аксесуарів</li><li>Комплект знаків електробезпеки</li><li>Висока технологічність і простота збірки</li><li>Зручність монтажу</li><li>Високий рівень електробезпеки</li><li>Сертифікат якості</li><li>Естетика і дизайн</li></ul> <h2>Технічні характеристики</h2><ul><li>Номінальний струм: до 630 А</li><li>Товщина металу: 1,0÷1,5 мм</li><li>Тип покриття: порошкове, шагрень</li><li>Колір: RAL 7035</li><li>Ступінь захисту за ГОСТ 14254: IP31</li><li>Кут відкриття дверей: 105°</li></ul><h3>Розшифровка позначень</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпусу</li><li><strong>1</strong> - габарит корпусу</li><li><strong>0</strong> - номер модифікації</li><li><strong>3</strong> - тип покриття<ul><li><strong>3</strong> - ЕПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - колір фарби<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - кліматичне виконання за ГОСТ 15150-69</li><li><strong>IP31</strong> - ступінь захисту за ГОСТ 14254</li></ul> "
https://001.com.ua/korpus-metallicheskiy-pr-2-3-74-u2-ip54-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-2-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-panel-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/gabaritnye-razmery-iek-pr2-photo.jpg,"Корпус металлический ПР-2-3 74 У2 IP54, IEK",Щитки металлические,IEK,YKM14-02-3-54,YKM14-02-3-54,instock,1,12,"14 025,64","Корпус металлический ПР-2-3 74 У2 IP54, IEK","<h2>Описание товара</h2><p>Используются для сборки пунктов распределительных серии ПР11, предназначенных для приема и распределения электроэнергии, защиты электроустановок напряжением 380/220В при перегрузках и коротких замыканиях, а также нечастых (не более 6 в час) включений и отключений электрических цепей.</p><h3>Преимущества</h3><ul><li>Универсальная конструкция</li><li>Повышенная антикоррозийная стойкость</li><li>Высококачественное наружное покрытие</li><li>Набор дополнительных аксессуаров</li><li>Комплект знаков электробезопасности</li><li>Высокая технологичность и простота сборки</li><li>Удобство монтажа</li><li>Высокий уровень электробезопасности</li><li>Сертификат качества</li><li>Эстетика и дизайн</li></ul> <h2>Технические характеристики</h2><ul><li>Номинальный ток: до 630 А</li><li>Толщина металла: 1,0÷1,5 мм</li><li>Тип покрытия: порошковое, шагрень</li><li>Цвет: RAL 7032</li><li>Степень защиты по ГОСТ 14254: IP54</li><li>Угол открытия двери: 105°</li></ul><h3>Расшифровка обозначений</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпуса</li><li><strong>1</strong> - габарит корпуса</li><li><strong>0</strong> - номер модификации</li><li><strong>3</strong> - тип покрытия<ul><li><strong>3</strong> - ЭПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - цвет краски<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - климатическое исполнение по ГОСТ 15150-69</li><li><strong>IP31</strong> - степень защиты по ГОСТ 14254</li></ul> ","Корпус металевий ПР-2-3 74 У2 IP54, IEK","<h2>Опис товару</h2><p>Використовуються для збірки пунктів розподільних серії ПР11, призначених для прийому і розподілу електроенергії, захисту електроустановок напругою 380/220В при перевантаженнях і коротких замиканнях, а також нечастих (не більше 6 на годину) включень і відключень електричних кіл.</p><h3>Переваги</h3><ul><li>Універсальна конструкція</li><li>Підвищена антикорозійна стійкість</li><li>Високоякісне зовнішнє покриття</li><li>Набір додаткових аксесуарів</li><li>Комплект знаків електробезпеки</li><li>Висока технологічність і простота збірки</li><li>Зручність монтажу</li><li>Високий рівень електробезпеки</li><li>Сертифікат якості</li><li>Естетика і дизайн</li></ul> <h2>Технічні характеристики</h2><ul><li>Номінальний струм: до 630 А</li><li>Товщина металу: 1,0÷1,5 мм</li><li>Тип покриття: порошкове, шагрень</li><li>Колір: RAL 7032</li><li>Ступінь захисту за ГОСТ 14254: IP54</li><li>Кут відкриття дверей: 105°</li></ul><h3>Розшифровка позначень</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпусу</li><li><strong>1</strong> - габарит корпусу</li><li><strong>0</strong> - номер модифікації</li><li><strong>3</strong> - тип покриття<ul><li><strong>3</strong> - ЕПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - колір фарби<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - кліматичне виконання за ГОСТ 15150-69</li><li><strong>IP31</strong> - ступінь захисту за ГОСТ 14254</li></ul> "
https://001.com.ua/korpus-metallicheskiy-pr-3-3-36-uhl3-ip31-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-3-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-panel-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/gabaritnye-razmery-iek-pr3-photo.jpg,"Корпус металлический ПР-3-3 36 УХЛ3 IP31, IEK",Щитки металлические,IEK,YKM14-03-3-31,YKM14-03-3-31,instock,1,12,"15 148,06","Корпус металлический ПР-3-3 36 УХЛ3 IP31, IEK","<h2>Описание товара</h2><p>Используются для сборки пунктов распределительных серии ПР11, предназначенных для приема и распределения электроэнергии, защиты электроустановок напряжением 380/220В при перегрузках и коротких замыканиях, а также нечастых (не более 6 в час) включений и отключений электрических цепей.</p><h3>Преимущества</h3><ul><li>Универсальная конструкция</li><li>Повышенная антикоррозийная стойкость</li><li>Высококачественное наружное покрытие</li><li>Набор дополнительных аксессуаров</li><li>Комплект знаков электробезопасности</li><li>Высокая технологичность и простота сборки</li><li>Удобство монтажа</li><li>Высокий уровень электробезопасности</li><li>Сертификат качества</li><li>Эстетика и дизайн</li></ul> <h2>Технические характеристики</h2><ul><li>Номинальный ток: до 630 А</li><li>Толщина металла: 1,0÷1,5 мм</li><li>Тип покрытия: порошковое, шагрень</li><li>Цвет: RAL 7035</li><li>Степень защиты по ГОСТ 14254: IP31</li><li>Угол открытия двери: 105°</li></ul><h3>Расшифровка обозначений</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпуса</li><li><strong>1</strong> - габарит корпуса</li><li><strong>0</strong> - номер модификации</li><li><strong>3</strong> - тип покрытия<ul><li><strong>3</strong> - ЭПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - цвет краски<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - климатическое исполнение по ГОСТ 15150-69</li><li><strong>IP31</strong> - степень защиты по ГОСТ 14254</li></ul> ","Корпус металевий ПР-3-3 36 УХЛ3 IP31, IEK","<h2>Опис товару</h2><p>Використовуються для збірки пунктів розподільних серії ПР11, призначених для прийому і розподілу електроенергії, захисту електроустановок напругою 380/220В при перевантаженнях і коротких замиканнях, а також нечастих (не більше 6 на годину) включень і відключень електричних кіл.</p><h3>Переваги</h3><ul><li>Універсальна конструкція</li><li>Підвищена антикорозійна стійкість</li><li>Високоякісне зовнішнє покриття</li><li>Набір додаткових аксесуарів</li><li>Комплект знаків електробезпеки</li><li>Висока технологічність і простота збірки</li><li>Зручність монтажу</li><li>Високий рівень електробезпеки</li><li>Сертифікат якості</li><li>Естетика і дизайн</li></ul> <h2>Технічні характеристики</h2><ul><li>Номінальний струм: до 630 А</li><li>Товщина металу: 1,0÷1,5 мм</li><li>Тип покриття: порошкове, шагрень</li><li>Колір: RAL 7035</li><li>Ступінь захисту за ГОСТ 14254: IP31</li><li>Кут відкриття дверей: 105°</li></ul><h3>Розшифровка позначень</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпусу</li><li><strong>1</strong> - габарит корпусу</li><li><strong>0</strong> - номер модифікації</li><li><strong>3</strong> - тип покриття<ul><li><strong>3</strong> - ЕПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - колір фарби<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - кліматичне виконання за ГОСТ 15150-69</li><li><strong>IP31</strong> - ступінь захисту за ГОСТ 14254</li></ul> "
https://001.com.ua/panel-dlya-ustanovki-va88-32-33-dlya-pr-3-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-panel-dlya-ustanovki-va88-32-33-dlya-pr-photo.jpg,"Панель для установки ВА88-32(33) для ПР-3, IEK",Щитки металлические,IEK,YKI10-03-31,YKI10-03-31,instock,1,12,"233,46","Панель для установки ВА88-32(33) для ПР-3, IEK",<h2>Описание товара</h2><p>Предназначены для установки автоматов серии ВА88</p> ,"Панель для установки ВА88-32(33) для ПР-3, IEK",<h2>Опис товару</h2><p>Призначені для установки автоматів серії ВА88</p> 
https://001.com.ua/korpus-metallicheskiy-pr-1-0-74-u2-ip54-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-1-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-panel-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/gabaritnye-razmery-iek-pr1-photo.jpg,"Корпус металлический ПР-1-0 74 У2 IP54, IEK",Щитки металлические,IEK,YKM14-01-54,YKM14-01-54,outofstock,1,12,"7 419,83","Корпус металлический ПР-1-0 74 У2 IP54, IEK","<h2>Описание товара</h2><p>Используются для сборки пунктов распределительных серии ПР11, предназначенных для приема и распределения электроэнергии, защиты электроустановок напряжением 380/220В при перегрузках и коротких замыканиях, а также нечастых (не более 6 в час) включений и отключений электрических цепей.</p><h3>Преимущества</h3><ul><li>Универсальная конструкция</li><li>Повышенная антикоррозийная стойкость</li><li>Высококачественное наружное покрытие</li><li>Набор дополнительных аксессуаров</li><li>Комплект знаков электробезопасности</li><li>Высокая технологичность и простота сборки</li><li>Удобство монтажа</li><li>Высокий уровень электробезопасности</li><li>Сертификат качества</li><li>Эстетика и дизайн</li></ul> <h2>Технические характеристики</h2><ul><li>Номинальный ток: до 630 А</li><li>Толщина металла: 1,0÷1,5 мм</li><li>Тип покрытия: порошковое, шагрень</li><li>Цвет: RAL 7032</li><li>Степень защиты по ГОСТ 14254: IP54</li><li>Угол открытия двери: 105°</li></ul><h3>Расшифровка обозначений</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпуса</li><li><strong>1</strong> - габарит корпуса</li><li><strong>0</strong> - номер модификации</li><li><strong>3</strong> - тип покрытия<ul><li><strong>3</strong> - ЭПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - цвет краски<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - климатическое исполнение по ГОСТ 15150-69</li><li><strong>IP31</strong> - степень защиты по ГОСТ 14254</li></ul> ","Корпус металевий ПР-1-0 74 У2 IP54, IEK","<h2>Опис товару</h2><p>Використовуються для збірки пунктів розподільних серії ПР11, призначених для прийому і розподілу електроенергії, захисту електроустановок напругою 380/220В при перевантаженнях і коротких замиканнях, а також нечастих (не більше 6 на годину) включень і відключень електричних кіл.</p><h3>Переваги</h3><ul><li>Універсальна конструкція</li><li>Підвищена антикорозійна стійкість</li><li>Високоякісне зовнішнє покриття</li><li>Набір додаткових аксесуарів</li><li>Комплект знаків електробезпеки</li><li>Висока технологічність і простота збірки</li><li>Зручність монтажу</li><li>Високий рівень електробезпеки</li><li>Сертифікат якості</li><li>Естетика і дизайн</li></ul> <h2>Технічні характеристики</h2><ul><li>Номінальний струм: до 630 А</li><li>Товщина металу: 1,0÷1,5 мм</li><li>Тип покриття: порошкове, шагрень</li><li>Колір: RAL 7032</li><li>Ступінь захисту за ГОСТ 14254: IP54</li><li>Кут відкриття дверей: 105°</li></ul><h3>Розшифровка позначень</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпусу</li><li><strong>1</strong> - габарит корпусу</li><li><strong>0</strong> - номер модифікації</li><li><strong>3</strong> - тип покриття<ul><li><strong>3</strong> - ЕПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - колір фарби<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - кліматичне виконання за ГОСТ 15150-69</li><li><strong>IP31</strong> - ступінь захисту за ГОСТ 14254</li></ul> "
https://001.com.ua/korpus-metallicheskiy-pr-1-0-36-uhl3-ip31-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-1-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-pr-panel-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/gabaritnye-razmery-iek-pr1-photo.jpg,"Корпус металлический ПР-1-0 36 УХЛ3 IP31, IEK",Щитки металлические,IEK,YKM14-01-31,YKM14-01-31,outofstock,1,12,"4 251,69","Корпус металлический ПР-1-0 36 УХЛ3 IP31, IEK","<h2>Описание товара</h2><p>Используются для сборки пунктов распределительных серии ПР11, предназначенных для приема и распределения электроэнергии, защиты электроустановок напряжением 380/220В при перегрузках и коротких замыканиях, а также нечастых (не более 6 в час) включений и отключений электрических цепей.</p><h3>Преимущества</h3><ul><li>Универсальная конструкция</li><li>Повышенная антикоррозийная стойкость</li><li>Высококачественное наружное покрытие</li><li>Набор дополнительных аксессуаров</li><li>Комплект знаков электробезопасности</li><li>Высокая технологичность и простота сборки</li><li>Удобство монтажа</li><li>Высокий уровень электробезопасности</li><li>Сертификат качества</li><li>Эстетика и дизайн</li></ul> <h2>Технические характеристики</h2><ul><li>Номинальный ток: до 630 А</li><li>Толщина металла: 1,0÷1,5 мм</li><li>Тип покрытия: порошковое, шагрень</li><li>Цвет: RAL 7035</li><li>Степень защиты по ГОСТ 14254: IP31</li><li>Угол открытия двери: 105°</li></ul><h3>Расшифровка обозначений</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпуса</li><li><strong>1</strong> - габарит корпуса</li><li><strong>0</strong> - номер модификации</li><li><strong>3</strong> - тип покрытия<ul><li><strong>3</strong> - ЭПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - цвет краски<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - климатическое исполнение по ГОСТ 15150-69</li><li><strong>IP31</strong> - степень защиты по ГОСТ 14254</li></ul> ","Корпус металевий ПР-1-0 36 УХЛ3 IP31, IEK","<h2>Опис товару</h2><p>Використовуються для збірки пунктів розподільних серії ПР11, призначених для прийому і розподілу електроенергії, захисту електроустановок напругою 380/220В при перевантаженнях і коротких замиканнях, а також нечастих (не більше 6 на годину) включень і відключень електричних кіл.</p><h3>Переваги</h3><ul><li>Універсальна конструкція</li><li>Підвищена антикорозійна стійкість</li><li>Високоякісне зовнішнє покриття</li><li>Набір додаткових аксесуарів</li><li>Комплект знаків електробезпеки</li><li>Висока технологічність і простота збірки</li><li>Зручність монтажу</li><li>Високий рівень електробезпеки</li><li>Сертифікат якості</li><li>Естетика і дизайн</li></ul> <h2>Технічні характеристики</h2><ul><li>Номінальний струм: до 630 А</li><li>Товщина металу: 1,0÷1,5 мм</li><li>Тип покриття: порошкове, шагрень</li><li>Колір: RAL 7035</li><li>Ступінь захисту за ГОСТ 14254: IP31</li><li>Кут відкриття дверей: 105°</li></ul><h3>Розшифровка позначень</h3><p><strong>ПР-1-0 36 УХЛ3 IP31</strong></p><ul><li><strong>ПР</strong> - марка корпусу</li><li><strong>1</strong> - габарит корпусу</li><li><strong>0</strong> - номер модифікації</li><li><strong>3</strong> - тип покриття<ul><li><strong>3</strong> - ЕПК/шагрень</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - колір фарби<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li></ul></li><li><strong>УХЛ3</strong> - кліматичне виконання за ГОСТ 15150-69</li><li><strong>IP31</strong> - ступінь захисту за ГОСТ 14254</li></ul> "
https://001.com.ua/komplekt-silovyh-shin-med-gab-6-k-pr-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-komplekt-silovyh-shin-k-pr-photo.jpg,"Комплект силовых шин (медь, габ. 6) к ПР, IEK",Щитки металлические,IEK,YKM10-SS-06,YKM10-SS-06,outofstock,1,12,"3 727,78","Комплект силовых шин (медь, габ. 6) к ПР, IEK","<h2>Описание товара</h2><p>Предназначены для передачи электроэнергии от вводного аппарата к групповым</p><table><tbody><tr><td colspan=""3"">Размеры шин, мм</td><td> </td><td> </td></tr><tr><td>Длина L1</td><td>L2</td><td>L3</td><td>Толщина</td><td>Ширина</td></tr><tr><td>334</td><td>361</td><td>388</td><td>5</td><td>50</td></tr></tbody></table> ","Комплект силових шин (мідь, габ. 6) до ПР, IEK","<h2>Опис товару</h2><p>Призначені для передачі електроенергії від ввідного апарата до групових</p><table><tbody><tr><td colspan=""3"">Розміри шин, мм</td><td> </td><td> </td></tr><tr><td>Довжина L1</td><td>L2</td><td>L3</td><td>Товщина</td><td>Ширина</td></tr><tr><td>334</td><td>361</td><td>388</td><td>5</td><td>50</td></tr></tbody></table> "
https://001.com.ua/panel-dlya-ustanovki-va88-32-33-dlya-pr-2-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-panel-dlya-ustanovki-va88-32-33-dlya-pr-photo.jpg,"Панель для установки ВА88-32(33) для ПР-2, IEK",Щитки металлические,IEK,YKI10-02-31,YKI10-02-31,outofstock,1,12,"316,77","Панель для установки ВА88-32(33) для ПР-2, IEK",<h2>Описание товара</h2><p>Предназначены для установки автоматов серии ВА88</p> ,"Панель для установки ВА88-32(33) для ПР-2, IEK",<h2>Опис товару</h2><p>Призначені для установки автоматів серії ВА88</p> 
https://001.com.ua/komplekt-shin-n-pe-med-gab-4-k-pr-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-komplekt-shin-n-pe-k-pr-photo.jpg,"Комплект шин N(PE) (медь, габ. 4) к ПР, IEK",Щитки металлические,IEK,YKM10-NP-04,YKM10-NP-04,outofstock,1,12,"4 389,82","Комплект шин N(PE) (медь, габ. 4) к ПР, IEK","<h2>Описание товара</h2><p>Предназначены для присоединения нулевого рабочего и нулевого защитного проводников</p><table><tbody><tr><td colspan=""2"">Размеры шин, мм</td><td> </td><td> </td></tr><tr><td>Длина N</td><td>PE</td><td>Толщина</td><td>Ширина</td></tr><tr><td>418</td><td>418</td><td>5</td><td>50</td></tr></tbody></table> ","Комплект шин N(PE) (мідь, габ. 4) до ПР, IEK","<h2>Опис товару</h2><p>Призначені для приєднання нульового робочого та нульового захисного провідників</p><table><tbody><tr><td colspan=""2"">Розміри шин, мм</td><td> </td><td> </td></tr><tr><td>Довжина N</td><td>PE</td><td>Товщина</td><td>Ширина</td></tr><tr><td>418</td><td>418</td><td>5</td><td>50</td></tr></tbody></table> "
https://001.com.ua/komplekt-shin-n-pe-med-gab-3-k-pr-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-komplekt-shin-n-pe-k-pr-photo.jpg,"Комплект шин N(PE) (медь, габ. 3) к ПР, IEK",Щитки металлические,IEK,YKM10-NP-03,YKM10-NP-03,outofstock,1,12,"2 664,30","Комплект шин N(PE) (медь, габ. 3) к ПР, IEK","<h2>Описание товара</h2><p>Предназначены для присоединения нулевого рабочего и нулевого защитного проводников</p><table><tbody><tr><td colspan=""2"">Размеры шин, мм</td><td> </td><td> </td></tr><tr><td>Длина N</td><td>PE</td><td>Толщина</td><td>Ширина</td></tr><tr><td>418</td><td>418</td><td>4</td><td>30</td></tr></tbody></table> ","Комплект шин N(PE) (мідь, габ. 3) до ПР, IEK","<h2>Опис товару</h2><p>Призначені для приєднання нульового робочого та нульового захисного провідників</p><table><tbody><tr><td colspan=""2"">Розміри шин, мм</td><td> </td><td> </td></tr><tr><td>Довжина N</td><td>PE</td><td>Товщина</td><td>Ширина</td></tr><tr><td>418</td><td>418</td><td>4</td><td>30</td></tr></tbody></table> "
