URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип устройства
https://001.com.ua/kontakt-sostoyaniya-ks47-signalnyy-na-din-reyku-iek,new,,,https://001.com.ua/media/photos/iek/modulnoe/iek-kontakt-sostoyaniya-ks-47-signalnyy-na-din-reyku-new-photo.jpg ;; https://001.com.ua/media/photos/iek/modulnoe/gabaritnye-razmery-iek-ks47-new-photo.jpg ;; https://001.com.ua/media/photos/iek/modulnoe/schema-iek-ks47-photo.jpg ;; https://001.com.ua/media/photos/iek/modulnoe/schema-iek-ks47-connection-photo.jpg,"Контакт состояния КС47 (сигнальный) на DIN-рейку, IEK",Дополнительные устройства модульной серии,IEK,MVA01D-KS-1,MVA01D-KS-1,instock,1,12,"165,94","Контакт состояния КС47 (сигнальный) на DIN-рейку, IEK","<h2>Описание товара</h2><p>КС47 и КСВ47 служат для получения информации о состоянии автоматических выключателей ВА47-29 и ВА47-100 в системах автоматизации технологических процессов или защиты конкретных объектов. <br/> КС47 выполняет функцию контакта состояния автоматического выключателя: включен – выключен. Переключение контактов КС47 происходит, даже если рукоятка управления выключателя удерживается во взведенном положении.</p> <h2>Технические характеристики</h2><table><tbody><tr><td colspan=""2""><strong>Характеристики </strong></td><td> </td></tr><tr><td colspan=""2"">Номинальное напряжение, В</td><td>~230</td></tr><tr><td colspan=""2"">Номинальный ток, А</td><td>4</td></tr><tr><td rowspan=""2"">Номинальный рабочий ток в зависимости от категории использования, А</td><td>AC-15</td><td>6</td></tr><tr><td>DC-13</td><td>1</td></tr><tr><td colspan=""2"">Визуальная индикация срабатывания, вкл/электр.откл.</td><td>нет</td></tr><tr><td colspan=""2"">Износостойкость, циклов В-О, не менее</td><td>10 000</td></tr><tr><td colspan=""2"">Диапазон сечений присоединяемых проводов, мм²</td><td>0,5÷2,5</td></tr><tr><td colspan=""2"">Присоединение к автоматическому выключателю</td><td>слева</td></tr><tr><td colspan=""2"">Ширина модуля, мм</td><td>9</td></tr></tbody></table> ","Контакт стану КС47 (сигнальний) на DIN-рейку, IEK","<h2>Опис товару</h2><p>КС47 і КСВ47 служать для отримання інформації про стан автоматичних вимикачів ВА47-29 і ВА47-100 в системах автоматизації технологічних процесів або захисту конкретних об'єктів.</p><p>КС47 виконує функцію контакту стану автоматичного вимикача: увімкнений-вимкнений. Перемикання контактів КС47 відбувається, навіть якщо рукоятка керування вимикача утримується в зведеному положенні.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td colspan=""2""><strong>Характеристики</strong></td><td> </td></tr><tr><td colspan=""2"">Номінальна напруга, В</td><td>~230</td></tr><tr><td colspan=""2"">Номінальний струм, А</td><td>4</td></tr><tr><td rowspan=""2"">Номінальний робочий струм в залежності від категорії використання, А</td><td>AC-15</td><td>6</td></tr><tr><td>DC-13</td><td>1</td></tr><tr><td colspan=""2"">Візуальна індикація спрацьовування, вкл./електр.відкл.</td><td>немає</td></tr><tr><td colspan=""2"">Зносостійкість, циклів Вкл-Відкл, не менше</td><td>10000</td></tr><tr><td colspan=""2"">Діапазон перетинів приєднуваних проводів, мм²</td><td>0,5÷2,5</td></tr><tr><td colspan=""2"">Приєднання до автоматичного вимикача</td><td>зліва</td></tr><tr><td colspan=""2"">Ширина модуля, мм</td><td>9</td></tr></tbody></table> ",Русский ~ Дополнительный контакт ;; Украинский ~ Додатковий контакт
https://001.com.ua/frontalnye-dopolnitelnye-kontakty-gv-ae11-1no-1nz-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/azd/asko-frontalnye-dopkontakty-gv-ae11-photo.jpg ;; https://001.com.ua/media/photos/asko/azd/gabaritnye-razmery-asko-ukrem-va-2005-photo.jpg,"Фронтальные дополнительные контакты GV-AE11 1НО+1НЗ, АСКО-УКРЕМ",Дополнительные устройства модульной серии,АСКО-УКРЕМ,A0010050011,A0010050011,instock,1,12,"202,35","Фронтальные дополнительные контакты GV-AE11 1НО+1НЗ, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Дополнительная контактная группа для автоматов защиты двигателя АСКО-УКРЕМ ВА-2005.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение, Ue, В</td><td>110, 220</td></tr><tr><td>Номинальное напряжение изоляции, Ui, В</td><td>250</td></tr><tr><td>Номинальный ток, Ie, А</td><td>1, 0,5</td></tr><tr><td>Категория применения</td><td>АС-15</td></tr><tr><td>Износостойкость, циклов ВО, не менее</td><td>10000</td></tr><tr><td>Сечение присоединяемых проводов, мм²</td><td>0,75-1,5</td></tr><tr><td>Сторона монтажа</td><td>сверху</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table> ","Фронтальні додаткові контакти GV-AE11 1НО+1НЗ, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Додаткова контактна група для автоматів захисту двигуна АСКО-УКРЕМ ВА-2005.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга, Ue, В</td><td>110, 220</td></tr><tr><td>Номінальна напруга ізоляції, Ui, В</td><td>250</td></tr><tr><td>Номінальний струм, Ie, А</td><td>1, 0,5</td></tr><tr><td>Категорія застосування</td><td>АС-15</td></tr><tr><td>Зносостійкість, циклів Вкл-Відкл, не менше</td><td>10000</td></tr><tr><td>Перетин приєднуваних проводів, мм²</td><td>0,75-1,5</td></tr><tr><td>Сторона монтажу</td><td>зверху</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table> ",Русский ~ Дополнительный контакт ;; Украинский ~ Додатковий контакт
https://001.com.ua/nezavisimyy-rastsepitel-da-etimat-10-230-v-ac-k-avtomaticheskim-vyklyuchatelyam-etimat-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/etimat-acc/eti-nezavisimyy-rastsepitel-2159301-photo.jpg,"Независимый расцепитель DA ETIMAT 10 (230 В AC) к автоматическим выключателям ETIMAT, ETI (Словения)",Дополнительные устройства модульной серии,ETI,2159301,2159301,instock,1,12,332,"Независимый расцепитель DA ETIMAT 10 (230 В AC) к автоматическим выключателям ETIMAT, ETI (Словения)","<h2>Описание товара</h2><p><strong>Независимый расцепитель DA ETIMAT 10</strong> применяется для дистанционного отключения автоматических выключателей серии ETIMAT 6, ETIMAT 10, ETIMAT 10 DC с номиналами от 0,5 до 63 А и монтируется с правой стороны.</p><p>Размеры DA ETIMAT 10 идентичны размерам автоматических выключателей серии ETIMAT 6, ETIMAT 10, ETIMAT 10 DC.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение U<sub>N</sub>, В</td><td>~230</td></tr><tr><td>Номинальная частота f<sub>N</sub>, Гц</td><td>50</td></tr><tr><td>Длительность управляющего импульса, с</td><td>&lt;0,5</td></tr><tr><td>Сечение подключаемых проводников, мм²</td><td>1-25</td></tr><tr><td>Совместимость</td><td>ETIMAT 6 (0.5...63A) / ETIMAT 10 (0.5...63A) /<br/>ETIMAT 10 DC (0.5...63A) /<br/>OSP-6 (6...63A), OSP-10 (6...63A)</td></tr><tr><td>Вес, г</td><td>110</td></tr></tbody></table> ","Незалежний розчеплювач DA ETIMAT 10 (230 В AC) до автоматичних вимикачів ETIMAT, ETI (Словенія)","<h2>Опис товару</h2><p><strong>Незалежний розчеплювач DA ETIMAT 10</strong> застосовується для дистанційного відключення автоматичних вимикачів серії ETIMAT 6, ETIMAT 10, ETIMAT 10 DC з номіналами від 0,5 до 63 А і монтується з правого боку.</p><p>Розміри DA ETIMAT 10 ідентичні розмірам автоматичних вимикачів серії ETIMAT 6, ETIMAT 10, ETIMAT 10 DC.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга U<sub>N</sub>, В</td><td>~230</td></tr><tr><td>Номінальна частота f<sub>N</sub>, Гц</td><td>50</td></tr><tr><td>Тривалість імпульсу, с</td><td>&lt;0,5</td></tr><tr><td>Перетин приєднуваних провідників, мм²</td><td>1-25</td></tr><tr><td>Сумісність</td><td>ETIMAT 6 (0.5...63A) / ETIMAT 10 (0.5...63A) / <br/>ETIMAT 10 DC (0.5...63A) / <br/>OSP-6 (6...63A ), OSP-10 (6...63A)</td></tr><tr><td>Вага, г</td><td>110</td></tr></tbody></table> ",Русский ~ Независимый расцепитель ;; Украинский ~ Незалежний розчеплювач
https://001.com.ua/rastsepitel-minimalnogo-napryazheniya-e-industrial-acs-zu-400-400-v-e-next,new,,,https://001.com.ua/media/photos/enext/modulnoe/enext-rastsepitel-minimalnogo-napryazheniya-e-industrial-i0260002-photo.jpg ;; https://001.com.ua/media/photos/enext/modulnoe/gabaritnye-razmery-enext-e-industrial-acs-zu-i0260002-photo.jpg,"Расцепитель минимального напряжения e.industrial.acs.zu.400, 400 В, E.NEXT",Дополнительные устройства модульной серии,E.NEXT,i0260002,i0260002,instock,1,12,"226,31","Расцепитель минимального напряжения e.industrial.acs.zu.400, 400 В, E.NEXT","<h2>Описание товара</h2><p>Предназначен для отключения автоматических выключателей серии e.industrial при снижении сетевого напряжения ниже уровня 0,8Uном.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>расцепитель минимального напряжения</td></tr></tbody></table>","Розчеплювач мінімальної напруги e.industrial.acs.zu.400, 400 В, E.NEXT","<h2>Опис товару</h2><p>Призначений для відключення автоматичних вимикачів серії e.industrial при зниженні напруги нижче рівня 0,8Uном.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>розчеплювач мінімальної напруги</td></tr></tbody></table>",Русский ~ Расцепитель минимального напряжения ;; Украинский ~ Розчеплювач мінімальної напруги
https://001.com.ua/dopolnitelnyy-kontakt-poperechnyy-dkp32-11-1z-1r-iek,new,,,https://001.com.ua/media/photos/iek/engine_protection/iek-dopolnitelnyy-kontakt-poperechnyy-dkp32-photo.jpg ;; https://001.com.ua/media/photos/iek/engine_protection/gabaritnye-razmery-iek-prk-photo.jpg ;; https://001.com.ua/media/photos/iek/engine_protection/schema-iek-dkp32-11-photo.jpg,"Дополнительный контакт поперечный ДКП32-11 1з+1р, IEK",Дополнительные устройства модульной серии,IEK,DMS11D-AE11,DMS11D-AE11,instock,1,12,"129,6","Дополнительный контакт поперечный ДКП32-11 1з+1р, IEK","<h2>Описание товара</h2><p>Дополнительные контакты поперечной установки ДКП32 и доп.контакты ДК32 предназначены для увеличения количества вспомогательных контактов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td colspan=""2"">Номинальное рабочее напряжение U<sub>е</sub>, В</td><td>24</td><td>48</td><td>60</td><td>110</td><td>230</td></tr><tr><td rowspan=""2"">Номинальный ток, А</td><td>АС-15</td><td>2,0</td><td>1,25</td><td>—</td><td>1,0</td><td>0,5</td></tr><tr><td>DC-13</td><td>1,0</td><td>0,3</td><td>0,15</td><td>—</td><td>—</td></tr><tr><td rowspan=""2"">Условный тепловой ток I<sub>th</sub>, А</td><td>дополнительный контакт</td><td colspan=""5"">2,5</td></tr><tr><td>аварийный контакт</td><td colspan=""5"">—</td></tr><tr><td colspan=""2"">Номинальное напряжение изоляции U<sub>i</sub>, B</td><td colspan=""5"">250</td></tr><tr><td colspan=""2"">Износостойкость, циклов В-О, не менее раз</td><td colspan=""5"">10000</td></tr><tr><td colspan=""2"">Визуальная индикация срабатывания</td><td colspan=""5"">—</td></tr><tr><td colspan=""2"">Степень защиты</td><td colspan=""5"">IP20</td></tr><tr><td colspan=""2"">Сечение присоединяемых проводов, мм<sup>2</sup></td><td colspan=""5"">0,75÷1,5</td></tr><tr><td colspan=""2"">Сторона присоединения к пускателю ПРК32</td><td colspan=""5"">сверху со стороны вводных зажимов</td></tr><tr><td colspan=""2"">Масса, кг</td><td colspan=""5"">не более 0,1</td></tr></tbody></table> ","Додатковий контакт поперечний ДКП32-11 1з+1р, IEK","<h2>Опис товару</h2><p>Додаткові контакти поперечної установки ДКП32 і дод.контакти ДК32 призначені для збільшення кількості допоміжних контактів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td colspan=""2"">Номінальна робоча напруга U<sub>е</sub>, В</td><td>24</td><td>48</td><td>60</td><td>110</td><td>230</td></tr><tr><td rowspan=""2"">Номінальний струм, А</td><td>АС-15</td><td>2,0</td><td>1,25</td><td>—</td><td>1,0</td><td>0,5</td></tr><tr><td>DC-13</td><td>1,0</td><td>0,3</td><td>0,15</td><td>—</td><td>—</td></tr><tr><td rowspan=""2"">Умовний тепловий струм I<sub>th</sub>, А</td><td>додатковий контакт</td><td colspan=""5"">2,5</td></tr><tr><td>аварійний контакт</td><td colspan=""5"">—</td></tr><tr><td colspan=""2"">Номінальна напруга ізоляції U<sub>i</sub>, B</td><td colspan=""5"">250</td></tr><tr><td colspan=""2"">Зносостійкість, циклів Вкл-Відкл, не менше разів</td><td colspan=""5"">10000</td></tr><tr><td colspan=""2"">Візуальна індикація спрацьовування</td><td colspan=""5"">—</td></tr><tr><td colspan=""2"">Ступінь захисту</td><td colspan=""5"">IP20</td></tr><tr><td colspan=""2"">Перетин приєднуваних проводів, мм<sup>2</sup></td><td colspan=""5"">0,75÷1,5</td></tr><tr><td colspan=""2"">Сторона приєднання до пускача ПРК32</td><td colspan=""5"">зверху з боку ввідних затискачів</td></tr><tr><td colspan=""2"">Маса, кг</td><td colspan=""5"">не більше 0,1</td></tr></tbody></table> ",Русский ~ Дополнительный контакт ;; Украинский ~ Додатковий контакт
https://001.com.ua/blok-kontakt-ps-etimat-10-1no-1nz-k-avtomaticheskim-vyklyuchatelyam-etimat-eti-sloveniya,new,,,https://001.com.ua/media/photos/eti/etimat-acc/eti-block-contact-2159031-photo.jpg,"Блок-контакт PS ETIMAT 10 (1НО+1НЗ) к автоматическим выключателям ETIMAT, ETI (Словения)",Дополнительные устройства модульной серии,ETI,2159031,2159031,instock,1,12,272,"Блок-контакт PS ETIMAT 10 (1НО+1НЗ) к автоматическим выключателям ETIMAT, ETI (Словения)","<h2>Описание товара</h2><p><strong>Блок контактов PS ETIMAT 10</strong> применяется с серией автоматических выключателей ETIMAT 6, ETIMAT 10 (0,5-63 А), ETIMAT 10 DC и монтируется с левой стороны. Во время монтажа блока контактов ручка автоматического выключателя должна быть в положении OFF.</p><p>Блок контактов служит для дистанционной сигнализации состояния контактной группы автоматического выключателя (включен/выключен).</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальный ток I<sub>N</sub>, А</td><td>6 (230 В AC ), 1 (110 В DC)</td></tr><tr><td>Сечение подключаемых проводников, мм²</td><td>1-4</td></tr><tr><td>Ширина модуля, мм</td><td>9</td></tr><tr><td>Количество и вид контактов</td><td>1 НО + 1 НЗ</td></tr><tr><td>Совместимость</td><td>ETIMAT 6 (0.5...63A) / ETIMAT 10 (0.5...63A) / <br/>ETIMAT 10 DC (0.5...63A) / <br/>OSP-6 (6...63A), OSP-10 (6...63A)</td></tr><tr><td>Вес, г</td><td>35</td></tr></tbody></table> ","Блок-контакт PS ETIMAT 10 (1НВ+1НЗ) до автоматичних вимикачів ETIMAT, ETI (Словенія)","<h2>Опис товару</h2><p><strong>Блок контактів PS ETIMAT 10</strong> застосовується з серією автоматичних вимикачів ETIMAT 6, ETIMAT 10 (0,5-63 А), ETIMAT 10 DC і монтується з лівої сторони. Під час монтажу блоку контактів ручка автоматичного вимикача повинна бути в положенні OFF.</p><p>Блок контактів служить для дистанційної сигналізації стану контактної групи автоматичного вимикача (вкл./ вимк.).</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальний струм I<sub>N</sub>, А</td><td>6 (230 В AC), 1 (110 В DC)</td></tr><tr><td>Перетин приєднуваних провідників, мм²</td><td>1-4</td></tr><tr><td>Ширина модуля, мм</td><td>9</td></tr><tr><td>Кількість і вид контактів</td><td>1 НВ + 1 НЗ</td></tr><tr><td>Сумісність</td><td>ETIMAT 6 (0.5...63A) / ETIMAT 10 (0.5...63A) / <br/>ETIMAT 10 DC (0.5...63A) / <br/>OSP-6 (6...63A), OSP-10 (6...63A)</td></tr><tr><td>Вага, г</td><td>35</td></tr></tbody></table> ",Русский ~ Дополнительный контакт ;; Украинский ~ Додатковий контакт
https://001.com.ua/dopolnitelnyy-kontakt-e-mp-pro-dz11-1z-1r-1no-1nz-e-next,new,,,https://001.com.ua/media/photos/enext/modulnoe/enext-dopolnitelnyy-kontakt-e-mp-pro-dz11-p004029-photo.jpg ;; https://001.com.ua/media/photos/enext/modulnoe/gabaritnye-razmery-enext-e-mp-pro-40-80-photo.jpg,"Дополнительный контакт e.mp.pro.dz11, 1з+1р (1НО+1НЗ), E.NEXT",Дополнительные устройства модульной серии,E.NEXT,p004029,p004029,instock,1,12,"174,32","Дополнительный контакт e.mp.pro.dz11, 1з+1р (1НО+1НЗ), E.NEXT",<h2>Описание товара</h2><p>Устанавливается на автоматы защиты двигателя E.NEXT серии e.mp.pro.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>дополнительный контакт</td></tr></tbody></table>,"Додатковий контакт e.mp.pro.dz11, 1з+1р (1НО+1НЗ), E.NEXT",<h2>Опис товару</h2><p>Встановлюється на автомати захисту двигуна E.NEXT серії e.mp.pro.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт ;; Украинский ~ Додатковий контакт
https://001.com.ua/zaschitnaya-obolochka-ip55-s-knopkoy-stop-dlya-prk32-iek,new,,,https://001.com.ua/media/photos/iek/engine_protection/iek-zaschitnaya-obolochka-ip55-s-knopkoy-stop-dlya-prk32-photo.jpg ;; https://001.com.ua/media/photos/iek/engine_protection/gabaritnye-razmery-iek-obolochka-ip54-photo.jpg ;; https://001.com.ua/media/photos/iek/engine_protection/gabaritnye-razmery-iek-obolochka-ip54-2-photo.jpg,"Защитная оболочка IP55 с кнопкой «Стоп» для ПРК32, IEK",Дополнительные устройства модульной серии,IEK,DMS11D-PC55,DMS11D-PC55,instock,1,12,"656,71","Защитная оболочка IP55 с кнопкой «Стоп» для ПРК32, IEK",<h2>Описание товара</h2><p>Защитная оболочка служит для обеспечения степени защиты IP55 по ГОСТ 14254-96.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип устройства</td><td>защитная оболочка</td></tr></tbody></table>,"Захисна оболонка IP55 з кнопкою «Стоп» для ПРК32, IEK",<h2>Опис товару</h2><p>Захисна оболонка служить для забезпечення ступеня захисту IP55 за ГОСТ 14254-96.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип пристрою</td><td>захисна оболонка</td></tr></tbody></table>,Русский ~ Защитная оболочка ;; Украинский ~ Захисна оболонка
https://001.com.ua/rastsepitel-nezavisimyy-rn60-na-din-reyku-iek,new,,,https://001.com.ua/media/photos/iek/modulnoe/iek-rastsepitel-nezavisimyy-rn60-na-din-reyku-photo.jpg ;; https://001.com.ua/media/photos/iek/modulnoe/gabaritnye-razmery-iek-rn60-photo.jpg ;; https://001.com.ua/media/photos/iek/modulnoe/schema-iek-rn60-photo.jpg,"Расцепитель независимый РН60 на DIN-рейку, IEK",Дополнительные устройства модульной серии,IEK,MVA30D-RN,MVA30D-RN,instock,1,12,"420,17","Расцепитель независимый РН60 на DIN-рейку, IEK","<h2>Описание товара</h2><p><strong>Расцепитель независимый РН 60</strong> предназначен для дистанционного отключения одно-, двух-, трех- и четырехполюсных автоматических выключателей серии ВА47-60.</p> <h2>Технические характеристики</h2><table><tbody><tr><td rowspan=""2"">Номинальное рабочее напряжение питания, В</td><td>переменного тока</td><td>110…415</td></tr><tr><td>постоянного тока</td><td>110…220</td></tr><tr><td colspan=""2"">Частота переменного тока, Гц</td><td>50</td></tr><tr><td colspan=""2"">Номинально напряжение изоляции не менее Ui, В</td><td>415</td></tr><tr><td colspan=""2"">Потребляемая импульсная мощность, не более, Вт</td><td>3</td></tr><tr><td colspan=""2"">Степень Защиты по ГОСТ 14254</td><td>IP20</td></tr><tr><td colspan=""2"">Электрическая износостойкость не менее, циклов В-О</td><td>6000</td></tr><tr><td colspan=""2"">Сечение присоединяемых проводов, мм²</td><td>от 1 до 25</td></tr><tr><td colspan=""2"">Масса не более, кг</td><td>0,1</td></tr><tr><td colspan=""2"">Сторона присоединения к автоматическому выключателю</td><td>левая</td></tr><tr><td colspan=""2"">Климатическое исполнение по ГОСТ 15150</td><td>УХЛ4</td></tr></tbody></table> ","Розчеплювач незалежний РН60 на DIN-рейку, IEK","<h2>Опис товару</h2><p><strong>Розчеплювач незалежний РН 60</strong> призначений для дистанційного відключення одно-, дво-, три- і чотириполюсних автоматичних вимикачів серії ВА47-60.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td rowspan=""2"">Номінальна робоча напруга живлення, В</td><td>змінного струму</td><td>110 … 415</td></tr><tr><td>постійного струму</td><td>110 … 220</td></tr><tr><td colspan=""2"">Частота змінного струму, Гц</td><td>50</td></tr><tr><td colspan=""2"">Номінально напруга ізоляції не менше Ui, В</td><td>415</td></tr><tr><td colspan=""2"">Споживана імпульсна потужність, не більше, Вт</td><td>3</td></tr><tr><td colspan=""2"">Ступінь захисту за ГОСТ 14254</td><td>IP20</td></tr><tr><td colspan=""2"">Електрична зносостійкість не менше, циклів Вкл-Відкл</td><td>6000</td></tr><tr><td colspan=""2"">Перетин приєднуваних проводів, мм²</td><td>від 1 до 25</td></tr><tr><td colspan=""2"">Маса не більше, кг</td><td>0,1</td></tr><tr><td colspan=""2"">Сторона приєднання до автоматичного вимикача</td><td>ліва</td></tr><tr><td colspan=""2"">Кліматичне виконання за ГОСТ 15150</td><td>УХЛ4</td></tr></tbody></table> ",Русский ~ Независимый расцепитель ;; Украинский ~ Незалежний розчеплювач
https://001.com.ua/rastsepitel-minimalnogo-maksimalnogo-napryazheniya-rmm47-na-din-reyku-iek,new,,,https://001.com.ua/media/photos/iek/modulnoe/iek-rastsepitel-minimalnogo-maksimalnogo-napryazheniya-rmm47-na-din-reyku-new-photo.jpg ;; https://001.com.ua/media/photos/iek/modulnoe/gabaritnye-razmery-iek-rmm47-new-photo.jpg ;; https://001.com.ua/media/photos/iek/modulnoe/schema-iek-rmm47-photo.jpg ;; https://001.com.ua/media/photos/iek/modulnoe/schema-iek-rmm47-connection-photo.jpg,"Расцепитель минимального/максимального напряжения РММ47 на DIN-рейку, IEK",Дополнительные устройства модульной серии,IEK,MVA01D-RMM,MVA01D-RMM,instock,1,12,"478,08","Расцепитель минимального/максимального напряжения РММ47 на DIN-рейку, IEK","<h2>Описание товара</h2><p><strong>Расцепитель минимального/максимального напряжения РММ47</strong> предназначен для отключения одно-, двух- или трехполюсного автоматического выключателя серии ВА47 при недопустимом снижении или повышении напряжения сети.</p> <h2>Технические характеристики</h2><table><tbody><tr><td><strong>Характеристики </strong></td><td></td></tr><tr><td>Номинальное напряжение, В</td><td>~230</td></tr><tr><td>Напряжение срабатывания, В, минимальное/максимальное</td><td>165±10/265±10</td></tr><tr><td>Износостойкость, циклов В-О, не менее</td><td>10000</td></tr><tr><td>Диапазон сечений присоединяемых проводов, мм<sup>2 </sup></td><td>1÷2,5 </td></tr><tr><td>Типы совместимых автоматических выключателей</td><td>одно-, двух-, трехполюсные <br/> ВА47-29, ВА47-100</td></tr><tr><td>Присоединение к автоматическому выключателю</td><td>справа</td></tr><tr><td>Ширина модуля, мм</td><td>18</td></tr></tbody></table> ","Розчеплювач мінімальної/максимальної напруги РММ47 на DIN-рейку, IEK","<h2>Опис товару</h2><p><strong>Розчеплювач мінімальної/максимальної напруги РММ47</strong> призначений для відключення одно-, дво- або триполюсного автоматичного вимикача серії ВА47 при неприпустимому зниженні або підвищенні напруги мережі.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td><strong>Характеристики</strong></td><td></td></tr><tr><td>Номінальна напруга, В</td><td>~230</td></tr><tr><td>Напруга спрацьовування, В, мінімальна/максимальна</td><td>165±10/265±10</td></tr><tr><td>Зносостійкість, циклів Вкл-Відкл, не менше</td><td>10000</td></tr><tr><td>Діапазон перетинів приєднуваних проводів, мм<sup>2</sup></td><td>1÷2,5 </td></tr><tr><td>Типи сумісних автоматичних вимикачів</td><td>одно-, дво-, триполюсні <br/>ВА47-29, ВА47-100</td></tr><tr><td>Приєднання до автоматичного вимикача</td><td>праворуч</td></tr><tr><td>Ширина модуля, мм</td><td>18</td></tr></tbody></table> ",Русский ~ Расцепитель минимального/максимального напряжения ;; Украинский ~ Розчеплювач мінімальної/максимальної напруги
