product_id,h1,sku
23388,"Устройство защитного отключения (УЗО) PF6-40/4/003 4P 40 А 30 мА тип AC, Eaton (Moeller)",286508
23387,"Устройство защитного отключения (УЗО) PF6-25/4/003 4P 25 А 30 мА тип AC, Eaton (Moeller)",286504
23386,"Устройство защитного отключения (УЗО) PF6-16/2/003 2P 16 А 30 мА тип AC, Eaton (Moeller)",119429
23385,"Устройство защитного отключения (УЗО) ВД1-63S 4P 32 А 300 мА тип S, IEK",MDV12-4-032-300
23384,"Устройство защитного отключения (УЗО) ВД1-63S 4P 25 А 300 мА тип S, IEK",MDV12-4-025-300
23383,"Устройство защитного отключения (УЗО) ВД1-63S 4P 63 А 100 мА тип S, IEK",MDV12-4-063-100
23382,"Устройство защитного отключения (УЗО) ВД1-63S 4P 50 А 100 мА тип S, IEK",MDV12-4-050-100
23381,"Устройство защитного отключения (УЗО) ВД1-63S 4P 40 А 100 мА тип S, IEK",MDV12-4-040-100
23380,"Устройство защитного отключения (УЗО) ВД1-63S 4P 32 А 100 мА тип S, IEK",MDV12-4-032-100
23379,"Устройство защитного отключения (УЗО) ВД1-63S 4P 25 А 100 мА тип S, IEK",MDV12-4-025-100
23378,"Устройство защитного отключения (УЗО) ВД1-63S 2P 80 А 300 мА тип S, IEK",MDV12-2-080-300
23377,"Устройство защитного отключения (УЗО) ВД1-63S 2P 50 А 300 мА тип S, IEK",MDV12-2-050-300
23376,"Устройство защитного отключения (УЗО) ВД1-63S 2P 80 А 100 мА тип S, IEK",MDV12-2-080-100
23375,"Устройство защитного отключения (УЗО) ВД1-63 4P 63 А 100 мА тип A, IEK",MDV11-4-063-100
23374,"Устройство защитного отключения (УЗО) ВД1-63 4P 50 А 100 мА тип A, IEK",MDV11-4-050-100
23373,"Устройство защитного отключения (УЗО) ВД1-63 4P 50 А 30 мА тип A, IEK",MDV11-4-050-030
23372,"Устройство защитного отключения (УЗО) ВД1-63 4P 25 А 10 мА тип A, IEK",MDV11-4-025-010
